"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","+5.31","+3.39","+4.76","+9.76","+15.4","+21.9","+18.9","+4.82","-23.1","-37.1"
="2330","台積電","1475","+15","+1.03","26,579","11/10","+0.59","+0.06","+0.64","+13","+10.6","+18.1","+19.9","-9.15","-43","-28.1"
="2308","台達電","982","+17","+1.76","11,544","11/10","+0.34","-0.13","+2.39","+8.17","+31.1","+32.4","+166","+277","+122","+285"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","+2.04","+4.38","+9.17","+4.46","+9.68","+8.34","+12.5","+20.2","+25.5","+50.5"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","+2.79","+2.78","+2.03","-5.95","+0.61","+3.66","+32.5","+30.1","-35.2","-33.8"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","-0.58","-0.14","-2.93","-1.22","+2.35","-1.1","-3.85","+17.2","-14","-1.71"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","+4.77","+3.75","+8.31","+7.01","-2.26","+6.51","-8.19","-28.2","-36.8","-14.2"
="3008","大立光","2245","+40","+1.81","421","11/10","-2.5","+1.3","+1.9","+5.54","+9.87","+14.6","+14.3","+26.4","-35.5","-33.4"
="3443","創意","1890","+170","+9.88","7,066","11/10","+12.7","+16.4","+28.4","+36.5","+32.6","+54","+111","+221","+91.5","+66.5"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","-2.43","-4.12","-1.28","-1.28","-2.07","+3.06","+6.32","+22.2","+2.04","+27.6"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","-0.63","-0.93","-1.13","-3.4","-0.67","+17.2","+38","+196","+19.2","+26.9"
="4967","十銓","149","+12","+8.76","37,275","11/10","+24.2","+33.5","+42.4","+26.4","+8.57","+18.5","+60.4","+80.2","+12.6","+24.3"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","-0.23","-5.94","-8.74","-13.6","-29","-32.1","+96.8","+107","+75.1","+76.2"
="3711","日月光投控","228.5","0","0","22,657","11/10","-1.06","-4.51","+2.68","-1.5","+7.58","+3.16","+28.8","+45.2","-24.6","-8.7"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","+7.5","+10.8","+16.8","+19.6","+37.9","+51","+185","+284","+493","+389"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","+0.3","+4.61","+3.52","+3.76","+10.6","+13.5","-3.28","-45.5","-46.5","-43.4"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","-5.62","-0.8","-5.3","-6.95","-8.25","-12.2","-20.4","-61.3","-80.1","-75.2"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","+1.84","+2.88","+3.28","-1.56","+23.2","+1,015","+614","+364","+216","+237"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","+6.18","+5.71","+7.37","+3.89","-1.64","-5.87","-58.9","-40","-81.4","-80.8"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","-0.7","+4.92","+4.71","+11.8","+9.22","+37.7","+57.4","+173","+715","+857"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","+2.65","+4","+2.24","+13.5","+29.4","+19.7","-48.6","-48.4","-40.9","-38.9"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","+0.89","+0.29","-1.45","+1.49","-0.58","+9.68","-11.9","-78.2","-69.9","-66"
