"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","249.5","+5.5","+2.25","11/10","56↗","59.2↗","72↗","73↗","77.7↘","71.8↘","76.9↗","72.2↗","86.5↗","70.9↗"
="2330","台積電","1475","+15","+1.03","11/10","50.1↗","57.4↗","78.5↗","78.5↗","83.6↘","78.9↘","84.6↗","81↗","91.5↗","88.8↗"
="2308","台達電","982","+17","+1.76","11/10","45.1↗","51.1↗","73.6↗","79.4↗","90.5↘","85.2↘","91.3↗","86.7↗","97.1↗","91.8↗"
="2454","聯發科","1250","-10","-0.79","11/10","25.8↘","33.8↘","28.9↘","38.4↘","40↘","50.9↘","56↘","59.4↘","64.7↘","63.3↘"
="3231","緯創","138.5","+1","+0.73","11/10","39.4↗","46.2↗","53↗","57↗","62.5↘","62.4↘","76.6↘","75.3↘","91.3↗","80.3↗"
="3491","昇達科","429.5","-1.5","-0.35","11/10","45.6↘","46.6↘","50.4↘","56.1↘","63↘","63.8↘","78.4↘","76.8↘","85.1↗","81.5↗"
="6669","緯穎","4295","+220","+5.4","11/10","59↗","63.3↗","73.3↗","72.4↗","84.7↘","76.8↘","76.3↗","73.3↗","94.9↗",""
="3008","大立光","2245","+40","+1.81","11/10","57.1↗","48.1↗","43.2↗","44.4↗","38↗","44.9↗","40.7↘","44.6↘","45↘","51.5↘"
="3443","創意","1890","+170","+9.88","11/10","82.3↗","75↗","82.8↗","76.3↗","81.4↗","68.7↗","68.7↗","65.9↗","81.7↗","81.3↗"
="3661","世芯-KY","3715","+150","+4.21","11/10","69.8↗","62.1↗","60.1↗","56.1↗","60.9↗","59.4↗","69.8↗","68.9↗","94.5↗","93.6"
="2301","光寶科","169","+2.5","+1.5","11/10","40.6↗","47.6↗","59.7↗","65.5↗","76.6↘","71.8↘","81.5↘","77.5↘","84.8↗","76.6↗"
="4967","十銓","149","+12","+8.76","11/10","72.6↗","70.4↗","95.5↗","88.5↗","86.9↗","73.7↗","72.9↗","68↗","86.1↗",""
="2344","華邦電","63.9","+5.8","+9.98","11/10","81↗","78.4↗","96.8↗","92.9↗","92.1↗","83.4↗","85.2↗","75.5↗","72.4↗","63.8↗"
="3711","日月光投控","228.5","0","0","11/10","56.5→","66→","74.8→","73.9→","74.3↘","70.2↘","83.2↗","76.8↗","89.3↗",""
="2408","南亞科","161.5","+14.5","+9.86","11/10","87.4↗","84.1↗","95.3↗","89.8↗","93.2↗","84.4↗","83.5↗","73.1↗","70.5↗","65.8↗"
="2882","國泰金","63.8","+0.3","+0.47","11/10","38.8↗","41.1↗","43.6↗","48.8↗","55↘","57.3↘","62.6↘","60.4↘","58.8↘","47.7↘"
="2891","中信金","42.4","+0.5","+1.19","11/10","55.1↗","51.6↗","52.5↗","52.5↗","63.2↗","66.1↗","74.5↘","70.9↘","79.4↗","61.9↗"
="2884","玉山金","29.5","-0.1","-0.34","11/10","21.9↘","26.1↘","17.6↘","33.8↘","43.2↘","51.4↘","52.2↘","55.2↘","68.7↗","62.1↗"
="2880","華南金","29.65","-0.1","-0.34","11/10","54.4↘","54.6↘","59↘","59.2↘","69.3↗","67↗","79.9↗","72.4↗","71.6↗","42.4↗"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","50.9↗","57.8↗","54↗","33.7↗","24.6↘","29.1↘","29.3↗","37.2↗","40↘","46↘"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","31.2↗","43.6↗","52.1↗","52.7↗","50.4↘","51.2↘","55.8↘","61.7↘","70.6",""
="006208","富邦台50","148","+1.75","+1.2","11/10","49.3↗","56.7↗","73.3↗","75.9↗","80.1↘","76.4↘","84.1↗","79.3↗","87.7↗","85.7↗"
