"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","+0.14","+1.33","+3.66","-3.2","+5.62","+57.2","+53.4","+54","-20.8","+94.1"
="2330","台積電","1475","+15","+1.03","26,579","11/10","-2.44","+0.95","+1.27","-14.2","-15.1","-5.33","-31.8","-84.9","-39.6","-26.8"
="2308","台達電","982","+17","+1.76","11,544","11/10","-2.45","-1.65","+0.97","-4.99","-23","-20.8","+13.4","+485","+209","+109"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","-0.61","+2.53","-0.61","-11","-6.36","-10.5","+55.8","+145","-16.1",""
="3231","緯創","138.5","+1","+0.73","38,781","11/10","+0.82","-3.65","+3.71","+9.17","+5.61","-21.2","+2.78","-64.7","-35.5","+5.25"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","+6.37","+13.6","-20.1","-31.8","-68","+3.73","+92","-45.4","-41","-29.8"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","0","+8.93","+8.93","+5.17","+7.02","+69.4","+18.4","+7.02","+87.7","-18.1"
="3008","大立光","2245","+40","+1.81","421","11/10","0","0","0","-11.1","-11.1","-33.3","","-11.1","+300","-57.9"
="3443","創意","1890","+170","+9.88","7,066","11/10","+40.4","+36.7","+83.6","+114","+58.6","+127","+168","+26","+114","+25.4"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","+18.6","-14.8","+85.5","+47.4","+117","+76.9","-78.1","-49.1","-36.5","-71"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","+4.43","+5.1","-1.59","+6","-47.9","-21.8","-0.2","-24.1","+241","+338"
="4967","十銓","149","+12","+8.76","37,275","11/10","+19.9","+18","+19.6","+14.8","+5.95","+26.4","+1,012","+805","-16.8","-0.93"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","-6.48","-9.1","-14.1","-33.6","-23","-33.6","+803","+763","+1,090","+2,249"
="3711","日月光投控","228.5","0","0","22,657","11/10","+0.77","-2.72","-7.75","-33.3","+14.6","+140","+216","+977","+230","+36.9"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","+17.7","+15.5","+25.4","+25.6","+26.6","+81.7","+237","+54","+3,576","+530"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","-0.9","-6.61","-4.99","-5.4","-87","-34.2","-65.1","-80.1","-67.4","-64.2"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","+7.14","+5.47","+9.76","-3.57","-2.88","-2.17","-74.3","-88.1","-48.5","-62.2"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","+40.8","+18.9","+70.6","+83.5","+174","-31.9","-44.7","+46.5","-84","-14.7"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","0","0","+2.17","+2.17","0","-4.08","","-38.2","-55.7","-26.6"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","+1.43","+2.52","+2.09","-5.69","-0.81","+11","+177","+55.2","+629","+705"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","-8.7","-30","-27.6","-25","-30","-55.3","-16","-74.7","+90.9","-60.4"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","-20","-20","-33.3","-42.9","-66.7","-74.2","-63.6","-52.9","-81.8","-42.9"
