"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","246.5↘","251.4↗","247.9↗","239.7↗","224.3↗","221↗","200.2↗","192.6↗","179.6↗","181.6↗"
="2330","台積電","1475","+15","+1.03","26,579","11/10","1473↘","1486↘","1481↗","1472↗","1350↗","1320↗","1237↗","1197↗","1113↗","1104↗"
="2308","台達電","982","+17","+1.76","11,544","11/10","973.4↘","999↘","1008↘","1009↘","901.1↗","862.2↗","717↗","661.7↗","546.9↗","523.8↗"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","1289↘","1298↘","1308↘","1311↘","1363↘","1366↘","1357↘","1345↘","1376↘","1373↗"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","138.9↘","144.4↘","144.1↗","143↘","132.3↗","129.3↗","125.7↗","123.8↗","116.2↗","115.4↗"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","427.6↘","429.2↘","437.8↘","438.8↘","436.8↗","421.8↗","388.4↗","379.5↗","390.3↗","379.2↗"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","4231↘","4233↗","4167↗","4044↗","3512↗","3459↗","3118↗","3005↗","2614↗","2577↗"
="3008","大立光","2245","+40","+1.81","421","11/10","2215→","2218↘","2232↗","2236↘","2314↘","2324↘","2330↘","2326↗","2380↘","2404↘"
="3443","創意","1890","+170","+9.88","7,066","11/10","1717↗","1608↗","1611↗","1578↗","1438↗","1402↗","1328↗","1296↗","1251↗","1256↗"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","3547↗","3435↗","3358↗","3304↗","3547↘","3622↘","3558↗","3433↗","3176↗","3109↗"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","168.7↘","176.8↘","174.5↗","172.1↘","162.4↗","156.8↗","141.4↗","135.2↗","121.6↗","118.4↗"
="4967","十銓","149","+12","+8.76","37,275","11/10","136.9↗","134.4↗","132.9↗","131.2↗","102.7↗","97.66↗","87.96↗","85.52↗","83.55↗","83.45↗"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","58.06↗","56.43↗","53.19↗","50.48↗","37.74↗","34.52↗","28.09↗","26.41↗","22.63↗","21.49↗"
="3711","日月光投控","228.5","0","0","22,657","11/10","233↘","230.8↗","219.6↗","210.1↗","183.2↗","177.2↗","166↗","162↗","158.7↗","158.8↗"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","145.2↗","139.3↗","129.7↗","120.7↗","88.29↗","81.31↗","67.71↗","64.47↗","53.22↗","49.67↗"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","64.14↘","64.28↘","64.73↘","64.96↘","64.82↗","64.7↗","64.13↘","64.25↗","63.52↘","64.29↘"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","42.3↗","42.12↘","42.18↘","42.24↘","42.38↗","42.46↘","42.73↘","42.62↗","41.31↗","40.88↗"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","29.93↘","29.96↘","30.66↘","31.16↘","32.53↘","32.76↘","32.93↘","32.56↘","31.01↗","30.4↗"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","29.66↗","29.52↘","29.6↘","29.6↗","29.31↗","29.09↗","28.76↗","28.43↗","28.05↗","27.77↗"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","63.26↘","63.74↘","63.5↗","63.05↗","58.92↗","57.89↗","54.67↘","75.76↘","118.6↘","131.2↘"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","21.45↘","21.58↘","21.57↘","21.5↘","21.18↗","21.1↗","21.09↗","21↗","21.15↘","21.33↘"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","148↘","149.2↘","148.6↗","147.5↗","137.7↗","135.3↗","127.8↗","124.4↗","117.3↗","116.6↗"
