"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","249.5","+5.5","+2.25","11/10","-2,117","-1,601","-489","-9,044","-3,251","+97,924","+750,992","+922,842","+25,746","-392,424","-1,551,876","+385,050"
="2330","台積電","1475","+15","+1.03","11/10","-3,911","-7,164","-9,261","-37,156","-45,356","-101,982","-78,313","+229,311","-29,042","+676,671","-888,869","-3,572"
="2308","台達電","982","+17","+1.76","11/10","-1,091","-2,925","-4,169","-8,194","-28,803","-26,565","-63,135","-649","-15,419","-23,897","-126,348","-33,996"
="2454","聯發科","1250","-10","-0.79","11/10","-1,498","-5,131","-8,347","-4,548","-10,615","-17,313","-36,128","-20,034","-25,589","-58,987","-18,562","-35,224"
="3231","緯創","138.5","+1","+0.73","11/10","-2,543","-8,559","-5,662","-2,540","-4,249","-99,520","-39,373","+72,689","-54,237","-71,355","-32,013","-3,024"
="3491","昇達科","429.5","-1.5","-0.35","11/10","-174","-220","+108","-297","-60","+619","+4,296","-1,589","+1,180","+8,175","+8,089","+1,582"
="6669","緯穎","4295","+220","+5.4","11/10","+209","-331","-486","-747","-777","-1,264","-2,738","+4,936","-1,622","-1,107","","-128"
="3008","大立光","2245","+40","+1.81","11/10","+53","+109","+38","-54","-411","-1,507","-1,024","-3,327","-2,082","-5,907","-22,007","-1,115"
="3443","創意","1890","+170","+9.88","11/10","+129","-410","-183","-564","+235","+2,892","+8,315","+6,605","+7,219","-9,529","+28,821","+7,176"
="3661","世芯-KY","3715","+150","+4.21","11/10","-194","-275","+270","+86","-193","-1,727","-4,164","-1,631","+2,082","+1,370","+4,338","-5,640"
="2301","光寶科","169","+2.5","+1.5","11/10","-1,287","-2,448","-4,550","-7,369","-33,373","-28,838","-46,160","+10,395","+77,817","-374,458","-386,437","+59,312"
="4967","十銓","149","+12","+8.76","11/10","-342","+1,112","-16","-1,896","-2,659","+4,178","+6,444","+6,367","+6,196","+2,784","","+6,284"
="2344","華邦電","63.9","+5.8","+9.98","11/10","+930","+6,809","+11,710","+22,518","+27,849","+131,202","+498,190","+511,464","+399,149","-61,886","+332,887","+446,793"
="3711","日月光投控","228.5","0","0","11/10","+4,027","+5,023","+7,663","+20,056","+51,640","+99,622","+163,680","+134,883","+124,797","+174,503","","+92,777"
="2408","南亞科","161.5","+14.5","+9.86","11/10","+8,675","-17,916","-14,674","-32,486","-36,809","+845","+210,694","+242,145","+171,754","-21,560","-116,113","+169,513"
="2882","國泰金","63.8","+0.3","+0.47","11/10","+570","-5,550","-3,923","-6,096","-18,137","-9,728","+61,538","-1,011,267","-1,073,201","-347,308","-980,350","-1,108,583"
="2891","中信金","42.4","+0.5","+1.19","11/10","+4,577","-2,138","+13,123","+15,214","-8,315","-18,942","-61,976","-109,904","+257,504","-1,367,313","-1,489,816","+24,993"
="2884","玉山金","29.5","-0.1","-0.34","11/10","-8,912","-38,621","-80,595","-69,068","-179,605","-283,847","-246,973","+100,184","+462,131","+180,244","-2,577,290","+342,028"
="2880","華南金","29.65","-0.1","-0.34","11/10","-1,416","+773","+892","+3,516","+12,063","+34,487","+109,968","+126,186","+10,955","-15,629","+64,587","+147,327"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","-26,654","-87,005","-105,004","-231,352","-371,277","-931,620","-1,477,322","-1,953,921","-2,525,746","-2,388,445","-2,784,824","-2,451,732"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","-2,530","-24,322","-20,863","-93,437","-93,391","-78,545","+133,932","+163,437","-554,875","-1,631,160","","-251,747"
="006208","富邦台50","148","+1.75","+1.2","11/10","-6,101","-7,401","-10,477","-16,520","-20,848","-34,701","-7,086","+104,294","+5,914","-139,014","-205,620","+50,013"
