"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","249.5","5.5","+2.25","51,629","11/10","44.6↗","41.5↗","49.8↘","25↗","43.8↗","即將交叉",""
="2330","台積電","市","1475","15","+1.03","26,579","11/10","28.6↗","31.4↘","45.8↘","2.62↗","","",""
="2308","台達電","市","982","17","+1.76","11,544","11/10","33.5↗","26.9↗","27.6↘","25.6↗","27.5↗","即將交叉",""
="2454","聯發科","市","1250","-10","-0.79","5,623","11/10","0→","18.1↘","30.2↘","-6.03↘","40.8↘","1日前",""
="3231","緯創","市","138.5","1","+0.73","38,781","11/10","26.5↗","29.6↘","36.4↘","16↗","","",""
="3491","昇達科","櫃","429.5","-1.5","-0.35","788","11/10","48.3↘","42.7↗","36↗","56.2↗","27.2↗","2日前",""
="6669","緯穎","市","4295","220","+5.4","3,458","11/10","75.8↗","64.5↗","70↘","53.6↗","68.2↗","即將交叉",""
="3008","大立光","市","2245","40","+1.81","421","11/10","73.1↗","48.3↗","36.5↗","71.7↗","","",""
="3443","創意","市","1890","170","+9.88","7,066","11/10","100↗","82.8↗","68.5↗","111↗","","",""
="3661","世芯-KY","市","3715","150","+4.21","2,599","11/10","98.5↗","87.3↗","79.5↗","103↗","","",""
="2301","光寶科","市","169","2.5","+1.5","12,470","11/10","15.2↗","19.5↘","30.5↘","-2.51↗","","",""
="4967","十銓","市","149","12","+8.76","37,275","11/10","95.4↗","75.4↗","65.9↗","94.2↗","58.7↗","2日前",""
="2344","華邦電","市","63.9","5.8","+9.98","32,006","11/10","100↗","93↗","89.3↗","100↗","85.2↗","2日前",""
="3711","日月光投控","市","228.5","0","0","22,657","11/10","51.1↘","64.5↘","75.1↘","43.2↘","","",""
="2408","南亞科","市","161.5","14.5","+9.86","180,212","11/10","100↗","89.1↗","85.9↗","95.4↗","84.6↗","今日","是"
="2882","國泰金","市","63.8","0.3","+0.47","14,149","11/10","15.8↗","17.2↘","19.4↘","12.9↗","20.8↘","1日前",""
="2891","中信金","市","42.4","0.5","+1.19","21,598","11/10","59.1↗","39.4↗","32.3↗","53.6↗","","",""
="2884","玉山金","市","29.5","-0.1","-0.34","43,628","11/10","7.69↘","13.8↘","16.7↘","7.98↘","18.4↘","1日前",""
="2880","華南金","市","29.65","-0.1","-0.34","8,296","11/10","68.7↘","62.2↗","53.7↗","79.1↗","","",""
="0050","元大台灣50","市","63.35","0.8","+1.28","83,131","11/10","41.2↗","42.4↘","56.3↘","14.4↗","","",""
="00878","國泰永續高股息","市","21.34","0.01","+0.05","41,049","11/10","20.3↗","34.3↘","47.3↘","8.41↘","","",""
="006208","富邦台50","市","148","1.75","+1.2","10,842","11/10","33.3↗","38↘","53.9↘","6.28↗","","",""
