"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","249.5","+5.5","+2.25","11/10","8.01↘","8.91↘","-1.8↘","20.1↗","15.9↗","8.48↘","23.5↗","17.7↗","11.6↗"
="2330","台積電","1475","+15","+1.03","11/10","34.5↘","45.2↘","-21.6↘","117↗","95.3↗","42.8↘","173↗","136↗","74.9↗"
="2308","台達電","982","+17","+1.76","11/10","20.3↘","35.7↘","-30.8↗","148↘","133↗","31.1↘","135↗","71.7↗","127↗"
="2454","聯發科","1250","-10","-0.79","11/10","-21.3↘","-18.3↘","-6.06↘","-17.8↘","-3.67↘","-28.2↘","95↘","119↘","-47.1↘"
="3231","緯創","138.5","+1","+0.73","11/10","1.57↘","3.42↘","-3.71↘","8.27↘","6.9↗","2.75↘","13.9↗","12.4↗","3.06↗"
="3491","昇達科","429.5","-1.5","-0.35","11/10","-2.61↘","0.1↘","-5.43↗","21.4↘","19.1↗","4.5↘","57.1↗","54.7↗","4.93↘"
="6669","緯穎","4295","+220","+5.4","11/10","227↘","241↘","-29.5↘","459↗","352↗","212↘","523↗","340↗","366↗"
="3008","大立光","2245","+40","+1.81","11/10","-31.8↗","-32.7↗","1.72↗","-37.6↘","-26.2↘","-22.8↗","-36.5↘","-3.93↘","-65↘"
="3443","創意","1890","+170","+9.88","11/10","86.4↗","64.5↗","43.8↗","127↗","75.1↗","105↗","90.4↗","58.6↗","63.7↗"
="3661","世芯-KY","3715","+150","+4.21","11/10","24.4↗","-41.6↗","132↗","101↗","153↘","-103↗","377↗","345↗","65.1↘"
="2301","光寶科","169","+2.5","+1.5","11/10","2.08↘","4.04↘","-3.92↘","17↘","15.4↗","3.26↘","16.6↗","9.45↗","14.3↗"
="4967","十銓","149","+12","+8.76","11/10","10.4↗","10.7↘","-0.57↗","15↗","7.57↗","14.8↗","8.17↗","5.2↗","5.95↗"
="2344","華邦電","63.9","+5.8","+9.98","11/10","6.33↗","5.87↗","0.93↗","9.79↗","6.04↗","7.5↗","4.16↗","-0.03↗","8.37↗"
="3711","日月光投控","228.5","0","0","11/10","16.6↘","15.6↗","2.08↘","18.7↗","10.3↗","16.9↘","18↗","12.1↗","11.7↗"
="2408","南亞科","161.5","+14.5","+9.86","11/10","18.1↗","16↗","4.18↗","24.2↗","14.3↗","19.8↗","9.67↗","-1.32↗","22↗"
="2882","國泰金","63.8","+0.3","+0.47","11/10","-0.32↘","-0.14↘","-0.36↗","0.4↘","0.45↘","-0.1↘","3.28↘","3.67↘","-0.78↘"
="2891","中信金","42.4","+0.5","+1.19","11/10","-0.09↗","-0.11↗","0.04↗","0.41↘","0.6↘","-0.39↗","3.69↘","3.73↘","-0.09↘"
="2884","玉山金","29.5","-0.1","-0.34","11/10","-0.86↘","-0.76↘","-0.19↗","-0.02↘","0.6↘","-1.24↘","1.35↘","1.15↗","0.4↘"
="2880","華南金","29.65","-0.1","-0.34","11/10","0.09↗","0.1↘","-0.02↗","0.58↘","0.55↗","0.05↘","1.6↗","1.45↗","0.3↗"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","1.18↘","1.51↘","-0.66↘","-17.4↗","-23↗","11.2↗","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","0.06↘","0.11↘","-0.1↘","0.08↘","-0.01↗","0.17↘","0.22↘","0.43↘","-0.41↗"
="006208","富邦台50","148","+1.75","+1.2","11/10","2.97↘","3.83↘","-1.72↘","9.82↗","8.05↗","3.55↘","14↗","10.9↗","6.35↗"
