"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/10","","249.5","+5.5","+2.25","51,629","12,765","244","245","250","244","2.46","19","2.37","","","","",""
="2330","台積電","市","11/10","","1475","+15","+1.03","26,579","39,203","1460","1470","1485","1465","1.37","26.2","8.35","","","","",""
="2308","台達電","市","11/10","","982","+17","+1.76","11,544","11,343","965","980","994","968","2.69","51.1","10.6","","","","",""
="2454","聯發科","市","11/10","","1250","-10","-0.79","5,623","7,044","1260","1250","1260","1250","0.79","18.7","5.29","","","","",""
="3231","緯創","市","11/10","","138.5","+1","+0.73","38,781","5,377","137.5","139","141","137","2.91","18.9","2.91","","","","",""
="3491","昇達科","櫃","11/10","","429.5","-1.5","-0.35","788","336","431","437","437","421","3.71","55.6","11.47","","","","",""
="6669","緯穎","市","11/10","","4295","+220","+5.4","3,458","14,716","4075","4250","4335","4155","4.42","18","7.39","","","","",""
="3008","大立光","市","11/10","","2245","+40","+1.81","421","944","2205","2245","2255","2210","2.04","12.9","1.65","","","","",""
="3443","創意","市","11/10","","1890","+170","+9.88","7,066","13,199","1720","1830","1890","1815","4.36","73.3","21.63","","","","",""
="3661","世芯-KY","市","11/10","","3715","+150","+4.21","2,599","9,480","3565","3635","3725","3545","5.05","46.8","8.56","","","","",""
="2301","光寶科","市","11/10","","169","+2.5","+1.5","12,470","2,109","166.5","168.5","170.5","167.5","1.8","26.9","4.59","","","","",""
="4967","十銓","市","11/10","","149","+12","+8.76","37,275","5,431","137","142","150.5","139.5","8.03","62.3","3.3","","","","",""
="2344","華邦電","市","11/10","","63.9","+5.8","+9.98","32,006","2,006","58.1","61.4","63.9","60.8","5.34","","3.03","","","","",""
="3711","日月光投控","市","11/10","","228.5","0","0","22,657","5,190","228.5","229","232","227","2.19","29","3.38","","","","",""
="2408","南亞科","市","11/10","","161.5","+14.5","+9.86","180,212","28,261","147","153","161.5","151","7.14","","3.18","","","","",""
="2882","國泰金","市","11/10","","63.8","+0.3","+0.47","14,149","904","63.5","63.6","64.4","63.6","1.26","11.1","1.35","","","","",""
="2891","中信金","市","11/10","","42.4","+0.5","+1.19","21,598","917","41.9","42.2","42.65","42.2","1.07","11.7","1.93","","","","",""
="2884","玉山金","市","11/10","","29.5","-0.1","-0.34","43,628","1,291","29.6","29.6","29.8","29.4","1.35","15.8","1.9","","","","",""
="2880","華南金","市","11/10","","29.65","-0.1","-0.34","8,296","246","29.75","29.75","29.85","29.6","0.84","17.4","1.9","","","","",""
="0050","元大台灣50","市","11/10","","63.35","+0.8","+1.28","83,131","5,235","62.55","62.8","63.35","62.6","1.2","","1.0067","","","","",""
="00878","國泰永續高股息","市","11/10","","21.34","+0.01","+0.05","41,049","877","21.33","21.34","21.39","21.3","0.42","","1.0023","","","","",""
="006208","富邦台50","市","11/10","","148","+1.75","+1.2","10,842","1,600","146.25","147.3","148.3","146.85","0.99","","1.0026","","","","",""
