"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","271.9↗","-8.24","239.7↗","+4.09","207.5↗","+20.2","64.4↘","0.65↗","0.27↘"
="2330","台積電","1475","+15","+1.03","26,579","11/10","1523↘","-3.16","1472↗","+0.17","1422↗","+3.74","101↘","0.52↗","0.07↘"
="2308","台達電","982","+17","+1.76","11,544","11/10","1072↗","-8.37","1009↘","-2.7","946.9↘","+3.71","125↗","0.28↗","0.12↗"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","1358↗","-7.94","1311↘","-4.63","1264↘","-1.08","94.1↗","-0.15↗","0.07↗"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","153.3↘","-9.67","143↘","-3.11","132.6↘","+4.47","20.7↘","0.29↗","0.15↘"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","465.4↘","-7.72","438.8↘","-2.12","412.2↗","+4.2","53.3↘","0.33↘","0.12↘"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","4559↘","-5.79","4044↗","+6.21","3529↗","+21.7","1030↘","0.74↗","0.25↘"
="3008","大立光","2245","+40","+1.81","421","11/10","2301↘","-2.42","2236↘","+0.41","2171↗","+3.42","130↘","0.57↗","0.06↘"
="3443","創意","1890","+170","+9.88","7,066","11/10","1807↗","+4.59","1578↗","+19.8","1348↘","+40.2","459↗","1.18↗","0.29↗"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","3706↗","+0.25","3304↗","+12.4","2902↘","+28","803↗","1.01↗","0.24↗"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","190↘","-11","172.1↘","-1.79","154.2↘","+9.63","35.8↗","0.41↗","0.21↗"
="4967","十銓","149","+12","+8.76","37,275","11/10","144↗","+3.48","131.2↗","+13.6","118.4↗","+25.9","25.6↗","1.2↗","0.2↗"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","63.81↗","+0.15","50.48↗","+26.6","37.15↘","+72","26.7↗","1↗","0.53↗"
="3711","日月光投控","228.5","0","0","22,657","11/10","257.6↗","-11.3","210.1↗","+8.76","162.6↗","+40.5","94.9↘","0.69↘","0.45↘"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","162.6↗","-0.69","120.7↗","+33.8","78.87↘","+105","83.7↗","0.99↗","0.69↗"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","66.52↘","-4.08","64.96↘","-1.78","63.39↘","+0.64","3.12↘","0.13↗","0.05↘"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","42.76↘","-0.85","42.24↘","+0.37","41.72↗","+1.62","1.04↘","0.65↗","0.02↘"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","33.78↘","-12.7","31.16↘","-5.31","28.53↘","+3.41","5.26↘","0.19↗","0.17↗"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","29.96↘","-1.05","29.6↗","+0.19","29.22↗","+1.45","0.74↘","0.57↘","0.03↘"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","65.18↗","-2.8","63.05↗","+0.47","60.93↗","+3.97","4.25↘","0.57↗","0.07↘"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","21.85↘","-2.34","21.5↘","-0.73","21.15↘","+0.92","0.71↗","0.28↗","0.03↗"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","152.8↘","-3.15","147.5↗","+0.33","142.2↗","+4.08","10.6↘","0.55↗","0.07↘"
