"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","249.5","+5.5","+2.25","11/10","+642","+215","-605","-300","-4,453","-15,379","+11,656","+87,614","-10,317","+98,456","+211,439","+92,539"
="2330","台積電","1475","+15","+1.03","11/10","+206","+308","+767","+2,244","+3,295","+9,509","+3,499","-2,092","+27,671","+61,998","+135,659","+20,048"
="2308","台達電","982","+17","+1.76","11/10","+251","+301","+745","+920","-1,976","-4,110","-2,097","+11,810","+7,761","+3,059","+38,988","+8,673"
="2454","聯發科","1250","-10","-0.79","11/10","-82","-20","+16","+69","-708","-2,808","-7,232","-59,618","-60,669","+6,638","+41,482","-56,396"
="3231","緯創","138.5","+1","+0.73","11/10","+327","+147","-782","-13,686","-24,324","-10,411","-17,335","-575","+22,689","+110,785","+82,290","+57,943"
="3491","昇達科","429.5","-1.5","-0.35","11/10","+38","+128","+137","+137","-562","-1,340","-729","-2,396","-1,204","+3,027","+148","-1,689"
="6669","緯穎","4295","+220","+5.4","11/10","+164","+215","+260","+431","+643","+1,269","-300","-71","+3,702","+2,108","","-1,292"
="3008","大立光","2245","+40","+1.81","11/10","+4","+6","+11","+33","+34","+14","-454","-464","-1,069","-495","-1,362","-2,360"
="3443","創意","1890","+170","+9.88","11/10","+558","+568","+723","+1,159","+851","+783","+2,045","-371","+448","-10,102","+6,130","-1,239"
="3661","世芯-KY","3715","+150","+4.21","11/10","+100","+203","+490","+527","+1,040","+254","-1,691","+535","+2,441","-5,261","+6,054","+1,635"
="2301","光寶科","169","+2.5","+1.5","11/10","+177","-1,126","-1,366","-3,340","-5,352","-15,347","-10,452","-6,382","-25,639","+42,684","+189,048","-4,603"
="4967","十銓","149","+12","+8.76","11/10","+93","+93","+93","+92","+91","+513","+513","+513","+513","+427","","+513"
="2344","華邦電","63.9","+5.8","+9.98","11/10","0","-120","-2,440","-4,695","-12,681","-6,754","+162,343","+172,984","+166,285","+171,906","+173,232","+172,467"
="3711","日月光投控","228.5","0","0","11/10","+553","+576","-267","+1,963","+915","+1,710","-4,343","-97,810","-152,447","+163,060","","-110,550"
="2408","南亞科","161.5","+14.5","+9.86","11/10","+157","+690","+2,222","+3,853","+1,806","+34,821","+67,493","+55,451","+75,618","-17,823","+61,014","+77,961"
="2882","國泰金","63.8","+0.3","+0.47","11/10","+614","+289","+782","+1,514","-1,088","-9,580","+6,085","+1,465,267","+1,467,261","+1,663,134","+1,742,585","+1,462,376"
="2891","中信金","42.4","+0.5","+1.19","11/10","+387","-2,104","-5,464","-6,236","-10,235","-47,857","-8,854","+831,706","+1,029,296","+2,722,872","+2,908,104","+988,066"
="2884","玉山金","29.5","-0.1","-0.34","11/10","-1,119","+274","+1,389","+971","-6,050","-22,979","-46,447","-19,968","-130,568","+283,173","+325,123","+60,877"
="2880","華南金","29.65","-0.1","-0.34","11/10","+201","+574","+988","+2,412","+2,174","-34","+32,184","-109,995","+190,861","+483,831","+520,950","-13,353"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","-1,737","+813","-8,987","-8,113","-5,065","+14,440","-26,984","-11,994","+27,015","+88,091","+129,721","+15,639"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","0","0","0","0","+560","+560","+7,170","+7,217","+11,030","+25,048","","+11,030"
="006208","富邦台50","148","+1.75","+1.2","11/10","0","-432","-432","-230","-525","-675","-959","+4,018","+8,615","+9,526","+9,526","+8,216"
