"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","249.5","+5.5","+2.25","11/10","30.4↘","23.3↘","29.8↘","27↘","36.4↘","16.1↘","35.8↗","29.9↗","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1475","+15","+1.03","11/10","35.8↗","23.6↘","37.5↘","43.1↘","35.8↘","8.84↘","40.2↗","30.7↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","982","+17","+1.76","11/10","30.1↗","24.7↘","41.2↘","49.6↘","44↘","9.07↘","61.2↗","45.3↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1250","-10","-0.79","11/10","13.4↘","25.2↗","16.7↗","17↘","21.7↘","25.5↗","10.1↘","13.8↘","23.4↘","16.4↗","21.2↘","23.5↘"
="3231","緯創","138.5","+1","+0.73","11/10","26.4↘","25.1↘","27↘","32.6↘","29.9↘","22↘","17.6↘","13.3↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","429.5","-1.5","-0.35","11/10","21.2↘","21.8↘","17.3↘","26.4↘","23.6↘","17.5↘","23.8↘","21.2↘","27.9↘","11.6↗","38.1↗","38↗"
="6669","緯穎","4295","+220","+5.4","11/10","31.3↘","16.6↘","38↘","29.9↗","35.8↘","8.07↘","41.6↗","32.3↗","39.9↘","10.3↘","39.4↗","41↘"
="3008","大立光","2245","+40","+1.81","11/10","19.8↗","25.2↘","15.5↘","16.7↗","16.7↘","23.7↘","15.7↗","19.4↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1890","+170","+9.88","11/10","46.9↗","14.7↘","33.8↗","31.5↗","35.5↗","14.1↘","22.1↗","17↗","29.8↗","15.6↘","17.9↗","24.1↘"
="3661","世芯-KY","3715","+150","+4.21","11/10","30.6↘","20.8↘","17.9↗","21.2↗","21.2↗","19.7↘","17.3↘","18.6↘","30.3↗","18.4↘","29.9↘","34.2↘"
="2301","光寶科","169","+2.5","+1.5","11/10","26.1↗","26.3↘","21.4↘","25.6↘","38.5↘","13.2↘","42.7↗","31.5↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","149","+12","+8.76","11/10","34.1↗","16.4↘","49↘","50.9↗","38.2↗","9.62↘","36.3↗","27.6↗","41.3↗","11.4↘","36.5↗","40.4↗"
="2344","華邦電","63.9","+5.8","+9.98","11/10","46.2↗","16↘","58↘","58.8↘","53.3↗","2.81↘","50.5↗","33.8↗","49.7↘","9.54↘","24.4↗","19.8↗"
="3711","日月光投控","228.5","0","0","11/10","42↘","18.1↘","48.4↘","40.8↗","44↘","7.75↘","30.8↗","23↗","38.1↘","10.4↘","34.7↗","35.6↗"
="2408","南亞科","161.5","+14.5","+9.86","11/10","43.4↗","12.9↘","55↘","53.6↗","54.4↗","3.51↘","48.6↗","34.3↗","51.4↗","10.4↘","23.2↗","16.8↗"
="2882","國泰金","63.8","+0.3","+0.47","11/10","18.6↘","21.1↘","14.6↘","18.9↘","16.3↘","17.8↘","8.82↘","12.5↘","20↘","18.4↗","18.9↘","23↗"
="2891","中信金","42.4","+0.5","+1.19","11/10","24.5↘","22.1↘","7.83↘","9.9↘","17.1↘","19.2↘","11.7↘","14.5↘","26.4↘","12.9↘","36.4↘","34.1↗"
="2884","玉山金","29.5","-0.1","-0.34","11/10","14.7↘","37.1↗","43↗","33.8↗","16.3↘","32.4↘","17.2↗","18.4↗","23.7↘","23.5↘","12.5↘","12.6↘"
="2880","華南金","29.65","-0.1","-0.34","11/10","14.5↘","17.2↘","12.9↘","15↘","23.8↘","18.1↘","16↘","15.9↗","22.7↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","36.8↗","29.6↘","30.1↘","33.8↘","20↘","50.6↘","50.1↘","48.2↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","29↘","35.4↘","20.2↘","21.2↘","24.5↘","31.2↘","20.8↘","25.7↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","148","+1.75","+1.2","11/10","37.7↗","29↘","36.2↘","41.5↘","39.5↘","11.5↘","37.4↗","28.4↗","43.1↘","15.9↘","31.7↗","31.4↗"
