"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","+3,108","+2,020","+2,804","+5,483","+8,233","+11,090","+9,813","+2,834","-18,568","-36,350"
="2330","台積電","1475","+15","+1.03","26,579","11/10","+110","+12","+120","+2,164","+1,799","+2,885","+3,128","-1,894","-14,174","-7,354"
="2308","台達電","982","+17","+1.76","11,544","11/10","+24","-9","+164","+530","+1,666","+1,719","+4,375","+5,158","+3,856","+5,194"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","+131","+275","+551","+280","+579","+505","+728","+1,104","+1,334","+2,201"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","+1,526","+1,521","+1,122","-3,558","+343","+1,985","+13,790","+13,013","-30,621","-28,753"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","-24","-6","-125","-51","+95","-46","-166","+607","-676","-72"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","+73","+58","+123","+105","-37","+98","-143","-631","-932","-265"
="3008","大立光","2245","+40","+1.81","421","11/10","-22","+11","+16","+45","+77","+109","+107","+179","-472","-429"
="3443","創意","1890","+170","+9.88","7,066","11/10","+620","+778","+1,222","+1,476","+1,356","+1,937","+2,904","+3,800","+2,638","+2,206"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","-128","-221","-67","-67","-109","+153","+306","+935","+103","+1,115"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","-156","-231","-281","-868","-167","+3,621","+6,789","+16,341","+3,971","+5,230"
="4967","十銓","149","+12","+8.76","37,275","11/10","+1,850","+2,379","+2,825","+1,981","+749","+1,481","+3,571","+4,223","+1,064","+1,857"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","-242","-6,614","-10,030","-16,437","-42,795","-49,456","+51,528","+54,222","+44,934","+45,304"
="3711","日月光投控","228.5","0","0","22,657","11/10","-63","-279","+154","-90","+416","+181","+1,322","+1,838","-1,929","-563"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","+10,034","+14,023","+20,700","+23,600","+39,523","+48,589","+93,344","+106,384","+119,570","+114,439"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","+19","+281","+217","+231","+610","+756","-216","-5,331","-5,549","-4,894"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","-296","-40","-278","-371","-447","-693","-1,273","-7,857","-20,030","-15,070"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","+304","+472","+535","-268","+3,172","+15,357","+14,508","+13,234","+11,531","+11,865"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","+28","+26","+33","+18","-8","-30","-690","-320","-2,107","-2,020"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","-65","+430","+413","+966","+774","+2,513","+3,345","+5,813","+8,048","+8,214"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","+144","+214","+122","+662","+1,265","+915","-5,261","-5,220","-3,859","-3,544"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","+3","+1","-5","+5","-2","+30","-46","-1,217","-788","-659"
