"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","252","+1","+0.4","11/13","7.09↘","8.11↘","-2.04↗","20.4↗","16↗","8.83↘","23.6↗","17.7↗","11.7↗"
="2330","台積電","1460","-15","-1.02","11/13","26.1↘","37.1↘","-22↘","116↗","95.2↗","42↘","173↗","136↗","74↗"
="2308","台達電","958","-9","-0.93","11/13","11.7↘","25.3↘","-27.1↗","147↘","132↗","29.3↘","134↗","71.5↗","126↗"
="2454","聯發科","1245","0","0","11/13","-26.7↘","-21.8↘","-9.81↘","-18.1↘","-3.73↘","-28.6↘","94.5↘","118↘","-47.9↘"
="3231","緯創","144","+5","+3.6","11/13","1.35↗","2.43↘","-2.17↗","8.63↘","6.97↗","3.33↘","14.1↗","12.4↗","3.41↗"
="3491","昇達科","467.5","+4","+0.86","11/13","2.31↗","0.03↗","4.54↗","24↗","19.7↗","8.77↗","59.7↗","55.2↗","9.05↗"
="6669","緯穎","4460","-100","-2.19","11/13","255↘","248↗","13.9↘","473↗","355↗","235↗","536↗","342↗","388↗"
="3008","大立光","2235","0","0","11/13","-24.7↗","-29.9↗","10.4↗","-37.9↘","-26.2↘","-23.3↘","-36.9↘","-4.01↘","-65.7↘"
="3443","創意","1875","-10","-0.53","11/13","118↗","88↗","59.7↘","129↗","75.5↗","108↗","92.4↗","59↗","66.9↗"
="3661","世芯-KY","3525","+5","+0.14","11/13","42.4↘","-0.88↗","86.6↘","92.1↗","151↘","-118↗","370↘","343↗","52.9↘"
="2301","光寶科","164.5","-2","-1.2","11/13","0.59↘","2.59↘","-3.99↘","16.8↘","15.3↗","3.01↘","16.4↗","9.41↗","14↗"
="4967","十銓","149","+0.5","+0.34","11/13","10.8↗","10.6↗","0.39↗","15.1↗","7.59↗","15↗","8.31↗","5.22↗","6.17↗"
="2344","華邦電","64.2","-0.6","-0.93","11/13","6.9↗","6.33↗","1.14↘","9.91↗","6.06↗","7.69↗","4.28↗","0↗","8.56↗"
="3711","日月光投控","231.5","+4.5","+1.98","11/13","14.1↘","15.2↘","-2.1↘","18.8↗","10.3↗","17↘","18.1↗","12.1↗","11.8↗"
="2408","南亞科","163.5","+0.5","+0.31","11/13","20↗","17.8↗","4.36↘","24.6↗","14.4↗","20.4↗","10.1↗","-1.23↗","22.6↗"
="6584","南俊國際","300.5","-6.5","-2.12","11/13","14.4↗","11.6↗","5.51↘","29.7↗","24.8↗","9.82↗","35.2↗","23.9↗","22.6↗"
="2882","國泰金","65.9","+1","+1.54","11/13","-0.1↗","-0.16↗","0.11↗","0.52↗","0.48↗","0.09↗","3.38↘","3.69↘","-0.62↗"
="2891","中信金","42.9","-0.15","-0.35","11/13","0.09↗","-0.03↗","0.24↗","0.45↗","0.61↘","-0.33↗","3.73↘","3.74↘","-0.03↘"
="2884","玉山金","30.1","-0.1","-0.33","11/13","-0.72↗","-0.76↗","0.08↗","0.02↘","0.61↘","-1.18↘","1.37↘","1.16↗","0.44↘"
="2880","華南金","29.2","-0.05","-0.17","11/13","0.04↘","0.08↘","-0.08↘","0.55↘","0.55↗","0.01↘","1.58↗","1.45↗","0.27↘"
="0050","元大台灣50","62.9","-0.3","-0.47","11/13","0.89↘","1.25↘","-0.71↘","-17.4↗","-23↗","11.2↘","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.41","+0.01","+0.05","11/13","0.03↘","0.08↘","-0.09↗","0.08↗","0↗","0.18↘","0.23↘","0.43↘","-0.41↗"
="006208","富邦台50","147.05","-1","-0.68","11/13","2.27↘","3.17↘","-1.8↘","9.8↗","8.04↗","3.5↘","14↗","10.8↗","6.29↗"
