"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","252","1","+0.4","90,542","11/13","76.9↗","55.4↗","48.9↗","68.4↗","46.1↗","今日",""
="2330","台積電","市","1460","-15","-1.02","22,779","11/13","7.14↘","20.2↘","30↘","0.41↘","","",""
="2308","台達電","市","958","-9","-0.93","11,008","11/13","35↘","33.8↗","30.9↗","39.4↘","27.7↗","2日前",""
="2454","聯發科","市","1245","0","0","3,040","11/13","10.5↗","10.1↗","16.3↘","-2.3↗","10.5↗","即將交叉",""
="3231","緯創","市","144","5","+3.6","85,473","11/13","66.7↗","45.2↗","38.9↗","57.6↗","36.4↗","今日","是"
="3491","昇達科","櫃","467.5","4","+0.86","5,825","11/13","68.2↘","62.1↗","50.2↗","85.8↘","","",""
="6669","緯穎","市","4460","-100","-2.19","1,935","11/13","60.7↘","71↘","72.6↘","67.7↘","72.9↘","今日","是"
="3008","大立光","市","2235","0","0","245","11/13","65.4→","58↗","49.5↗","75.1↗","","",""
="3443","創意","市","1875","-10","-0.53","2,947","11/13","68.8↘","76.4↘","75.8↗","77.5↘","75.8↘","即將交叉",""
="3661","世芯-KY","市","3525","5","+0.14","949","11/13","57.4↗","69.8↘","76.5↘","56.6↘","80.7↘","1日前",""
="2301","光寶科","市","164.5","-2","-1.2","18,193","11/13","2.86↘","12.3↘","19.6↘","-2.42↘","","",""
="4967","十銓","市","149","0.5","+0.34","30,182","11/13","78.5↘","77.8↗","73.6↗","86.4↘","","",""
="2344","華邦電","市","64.2","-0.6","-0.93","32,553","11/13","76.1↘","87↘","89.6↘","81.6↘","90.5↘","今日",""
="3711","日月光投控","市","231.5","4.5","+1.98","20,997","11/13","24.5↗","33.1↘","49.3↘","0.55↗","","",""
="2408","南亞科","市","163.5","0.5","+0.31","362,941","11/13","73.5↘","81.4↘","84.5↘","75.2↘","86.2↘","1日前",""
="6584","南俊國際","櫃","300.5","-6.5","-2.12","2,181","11/13","59.7↘","67.4↘","66.8↗","68.5↘","66.9↘","即將交叉",""
="2882","國泰金","市","65.9","1","+1.54","30,989","11/13","96↗","58.8↗","38.9↗","98.7↗","20.2↗","2日前",""
="2891","中信金","市","42.9","-0.15","-0.35","31,157","11/13","55.3↘","58.1↘","50.7↗","72.9↘","56↘","即將交叉",""
="2884","玉山金","市","30.1","-0.1","-0.33","43,971","11/13","53.8↘","44.3↗","32.7↗","67.4↗","17.7↗","2日前",""
="2880","華南金","市","29.2","-0.05","-0.17","6,455","11/13","11.1↘","38.8↘","51↘","14.4↘","57.8↘","1日前",""
="0050","元大台灣50","市","62.9","-0.3","-0.47","80,483","11/13","23.5↘","31.7↘","40.6↘","14↘","","",""
="00878","國泰永續高股息","市","21.41","0.01","+0.05","40,610","11/13","34.5↗","33.3↗","37.2↘","25.4↗","34.2↗","即將交叉",""
="006208","富邦台50","市","147.05","-1","-0.68","4,684","11/13","17.5↘","27.4↘","37↘","8.31↘","","",""
