"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","252","+1","+0.4","11/13","60.1↗","60.3↗","73.3↗","73.7↗","79.6↘","72.8↘","77.3↗","72.5↗","86.7↗","71.1↗"
="2330","台積電","1460","-15","-1.02","11/13","41.6↘","52.2↘","76.6→","77.6→","81.1↘","77.5↘","84.3↗","80.8↗","91.4↗","88.7↗"
="2308","台達電","958","-9","-0.93","11/13","32.9↘","45↘","68.2↘","77↘","86.1↘","82.3↘","91↗","86.3↗","97.1↗","91.6↗"
="2454","聯發科","1245","0","0","11/13","27.5→","33.9→","28.1↘","38↘","39.4↘","50.6↘","55.6↘","59.2↘","64.5↘","63.2↘"
="3231","緯創","144","+5","+3.6","11/13","54.3↗","53.1↗","58.2↗","59.9↗","68.2↘","65.5↘","79.8↗","77.2↗","91.7↗","81↗"
="3491","昇達科","467.5","+4","+0.86","11/13","72.3↗","61.8↗","69.1↗","64↗","71↗","68.2↗","86.1↗","81.6↗","86.4↗","82.8↗"
="6669","緯穎","4460","-100","-2.19","11/13","57.3↘","61.7↘","76.1↗","74.2↗","88.2↗","78.9↗","77.2↗","74.1↗","95.1↗",""
="3008","大立光","2235","0","0","11/13","53→","47.1→","41.7↗","43.7↗","36.9↗","44.6↗","40.3↘","44.5↘","44.9↘","51.4↘"
="3443","創意","1875","-10","-0.53","11/13","74.6↘","71.5↘","82.4↗","75.9↗","81.1↗","68.5↗","68.5↗","65.7↗","81.6↗","81.2↗"
="3661","世芯-KY","3525","+5","+0.14","11/13","52.3↗","53.4↗","52.5↘","52.5↘","57.2↗","57.5↗","67.6↗","67.6↗","94↗","93.2"
="2301","光寶科","164.5","-2","-1.2","11/13","31↘","42.8↘","54.4↘","62.7↘","72.2↘","69.3↘","77.9↘","75.2↘","84.3↗","76.1↗"
="4967","十銓","149","+0.5","+0.34","11/13","65.9↗","66.1↗","95.5↗","88.5↗","86.9↗","73.7↗","72.9↗","68↗","86.1↗",""
="2344","華邦電","64.2","-0.6","-0.93","11/13","77.6↘","77↘","96.9↗","92.9↗","92.2↗","83.5↗","85.2↗","75.6↗","72.5↗","63.9↗"
="3711","日月光投控","231.5","+4.5","+1.98","11/13","62.2↗","67.2↗","75.8↗","74.6↗","76.1↘","71.4↘","83.6↗","77.2↗","89.5↗",""
="2408","南亞科","163.5","+0.5","+0.31","11/13","84.5↗","82.9↗","95.5↗","90↗","93.3↗","84.6↗","83.7↗","73.4↗","70.7↗","66↗"
="6584","南俊國際","300.5","-6.5","-2.12","11/13","61.7↘","63.2↘","79.3↗","72.7↗","79.9↗","75.4↗","84.4↗","","",""
="2882","國泰金","65.9","+1","+1.54","11/13","69.4↗","59.3↗","58.7↗","54.5↗","61.8↗","60.5↗","68.6↗","63↗","60.7↘","48.3↘"
="2891","中信金","42.9","-0.15","-0.35","11/13","58.5↘","55.9↘","60↗","55.6↗","65.5↗","67.1↗","77.2→","72.2→","79.8↗","62.2↗"
="2884","玉山金","30.1","-0.1","-0.33","11/13","45.4↘","38↘","27.8↗","38.3↗","47.3↗","53.6↗","54.9↘","56.7↘","69.8↗","62.7↗"
="2880","華南金","29.2","-0.05","-0.17","11/13","33.3↘","42↘","49↘","54.3↘","66.2→","65.4→","75.3↘","70.2↘","70.9↗","42↗"
="0050","元大台灣50","62.9","-0.3","-0.47","11/13","44.4↘","53.5↘","52.1↗","33↗","24.4↘","29↘","29↗","37↗","39.9↘","46↘"
="00878","國泰永續高股息","21.41","+0.01","+0.05","11/13","41.7↗","47.8↗","54.9↗","54↗","51.6↘","51.7↘","56.7↗","62.1↗","71.2",""
="006208","富邦台50","147.05","-1","-0.68","11/13","44.1↘","53↘","71.9↗","75.2↗","78.4↘","75.5↘","83.9↗","79.1↗","87.6↗","85.6↗"
