"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","252","+1","+0.4","90,542","11/13","248.6↗","249.1↘","249.9↗","245.9↗","226.9↗","223.4↗","203.1↗","195↗","180.8↗","182.2↗"
="2330","台積電","1460","-15","-1.02","22,779","11/13","1467↘","1478↘","1479→","1477↘","1368↗","1334↗","1250↗","1209↗","1119↗","1110↗"
="2308","台達電","958","-9","-0.93","11,008","11/13","968.8↘","974.2↘","997.8↘","1002↘","916.2↗","876.6↗","734↗","676.5↗","555.3↗","531↗"
="2454","聯發科","1245","0","0","3,040","11/13","1248↘","1278↘","1289↘","1300↘","1354↘","1360↘","1356↘","1343↘","1373↘","1373↘"
="3231","緯創","144","+5","+3.6","85,473","11/13","140.7↗","141.6↘","144.1↗","143.2↗","134↗","130.6↗","126.4↗","124.6↗","116.8↗","115.7↗"
="3491","昇達科","467.5","+4","+0.86","5,825","11/13","442.6↗","436.1↗","435.8↗","440.9↗","440.2↗","426.9↗","392.1↗","382↗","391.2↗","381.2↗"
="6669","緯穎","4460","-100","-2.19","1,935","11/13","4422↗","4358↗","4282↗","4194↗","3609↗","3520↗","3180↗","3062↗","2647↗","2608↗"
="3008","大立光","2235","0","0","245","11/13","2227↗","2222↗","2226↘","2231↗","2304↘","2316↘","2326↘","2325↘","2374↘","2402↘"
="3443","創意","1875","-10","-0.53","2,947","11/13","1856↗","1736↗","1665↗","1640↗","1471↗","1437↗","1353↗","1314↗","1262↗","1265↗"
="3661","世芯-KY","3525","+5","+0.14","949","11/13","3592↘","3536↗","3416↗","3362↗","3518↘","3588↘","3580↗","3449↗","3186↗","3125↗"
="2301","光寶科","164.5","-2","-1.2","18,193","11/13","166.8↘","170.2↘","174.6↘","172.5↗","164.6↗","158.4↗","143.2↗","136.8↗","122.6↗","119.2↗"
="4967","十銓","149","+0.5","+0.34","30,182","11/13","144.8↗","139.8↗","136.5↗","134.5↗","107↗","101.3↗","90.03↗","87.28↗","84.64↗","84.15↗"
="2344","華邦電","64.2","-0.6","-0.93","32,553","11/13","63.1↗","59.46↗","57↗","53.97↗","40.43↗","36.84↗","29.45↗","27.57↗","23.4↗","22.07↗"
="3711","日月光投控","231.5","+4.5","+1.98","20,997","11/13","228.7↘","234.5↗","226.2↗","218.4↗","187.9↗","181.2↗","168.5↗","164.1↗","159.7↗","159.7↗"
="2408","南亞科","163.5","+0.5","+0.31","362,941","11/13","159.9↗","148.6↗","140.9↗","131.7↗","95.28↗","87.16↗","70.84↗","67.46↗","55.27↗","51.25↗"
="6584","南俊國際","300.5","-6.5","-2.12","2,181","11/13","302.8↗","290↗","284.1↗","279.4↗","259.1↗","254.2↗","229.4↗","216.8↗","185.1↗","182.8↗"
="2882","國泰金","65.9","+1","+1.54","30,989","11/13","64.58↗","64.42↗","64.65↗","64.88↘","65↗","64.74↗","64.1↗","64.29↗","63.53↗","64.27↘"
="2891","中信金","42.9","-0.15","-0.35","31,157","11/13","42.72↗","42.47↗","42.35↗","42.35↗","42.48↗","42.46↗","42.73↘","42.64→","41.38↗","40.96↗"
="2884","玉山金","30.1","-0.1","-0.33","43,971","11/13","29.91↗","30↗","30.2↘","30.76↘","32.33↘","32.56↘","32.88↘","32.56↗","31.06↗","30.44↗"
="2880","華南金","29.2","-0.05","-0.17","6,455","11/13","29.53↘","29.52↘","29.54↘","29.59↘","29.4↗","29.16↗","28.85↗","28.47↗","28.08↗","27.82↗"
="0050","元大台灣50","62.9","-0.3","-0.47","80,483","11/13","62.98↘","63.42↘","63.5↗","63.33↗","59.54↗","58.38↗","55.15↗","72.8↘","116.5↘","129.5↘"
="00878","國泰永續高股息","21.41","+0.01","+0.05","40,610","11/13","21.37↘","21.48↘","21.55↘","21.52↗","21.24↗","21.11↗","21.1↗","21.02↗","21.15↘","21.32↘"
="006208","富邦台50","147.05","-1","-0.68","4,684","11/13","147.3↘","148.4↘","148.6↗","148.2↗","139.1↗","136.4↗","128.9↗","125.4↗","117.8↗","117↗"
