"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","252","+1","+0.4","11/13","30↗","20.1↘","27.2↘","27.1↗","35.3↘","15.6↘","35.8↗","29.9↗","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1460","-15","-1.02","11/13","32.2↘","20.9↘","34.4↘","40.8↘","35.4↘","8.74↘","40.2↗","30.7↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","958","-9","-0.93","11/13","26.7↘","25↘","34.1↘","46.7↘","43.2↘","8.91↘","61.2↗","45.3↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1245","0","0","11/13","11.4↘","22.6↗","19.6↗","17.5↗","21.2↘","26.4↗","10.3↗","13.9↘","23.2↘","16.9↗","21.1↘","23.4↘"
="3231","緯創","144","+5","+3.6","11/13","33.1↗","21.1↘","25↘","31↘","28.5↘","20.9↘","17.6↘","13.3↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","467.5","+4","+0.86","11/13","33.5↗","14.9↘","18.4↗","25↘","30.7↗","15.7↘","25↗","21.8↘","28↘","9.95↘","38.6↗","38.2↗"
="6669","緯穎","4460","-100","-2.19","11/13","35.9↘","17.2↗","39.2↘","33.6↗","40.3↗","7.4↘","42↗","32.5↗","42.7↗","9.87↘","39.6↗","41.1↘"
="3008","大立光","2235","0","0","11/13","19.3↗","21.9↘","14.4↘","14.7↘","16.7↘","23.7↘","15.7↗","19.4↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1875","-10","-0.53","11/13","45.6↘","13.5↗","38.5↗","36.6↗","39.4↗","13.3↘","22.5↗","17.2↗","32.1↗","15.1↘","18.2↗","24.3↘"
="3661","世芯-KY","3525","+5","+0.14","11/13","25.9↘","23.7↗","16.5↘","20.1↘","20.9↘","19.5↘","17.3↘","18.6↘","30.3↗","18.4↘","29.9↘","34.2↘"
="2301","光寶科","164.5","-2","-1.2","11/13","26.7↘","26.4↗","18↘","23↘","37↘","12.7↘","42.7↗","31.5↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","149","+0.5","+0.34","11/13","32↗","12.6↘","46.9↘","52.1↗","40.8↗","9.21↘","36.5↗","27.7↗","42.7↗","11.2↘","36.6↗","40.5↗"
="2344","華邦電","64.2","-0.6","-0.93","11/13","45.3↘","14.9↘","56.2↘","57.8↘","56.8↗","2.6↘","50.5↗","33.8↗","52.3↗","9.05↘","24.6↗","19.9↗"
="3711","日月光投控","231.5","+4.5","+1.98","11/13","39.1↗","16.9↘","46.3↘","41.1↗","43.3↘","8.34↗","30.6↗","22.9↗","37.9↘","10.3↘","34.7↗","35.6↗"
="2408","南亞科","163.5","+0.5","+0.31","11/13","46.5↗","13.3↘","54.9↗","53.7↘","58.5↗","3.2↘","48.7↗","34.4↗","54.5↗","9.73↘","23.4↗","16.9↗"
="6584","南俊國際","300.5","-6.5","-2.12","11/13","30.6↘","11.6↗","27.2↗","22.3↗","29↗","10↘","35.7↗","30.4↗","34↗","9.61↘","38.3↗",""
="2882","國泰金","65.9","+1","+1.54","11/13","23.2↘","15.9↘","15.1↗","19.1↘","17.9↗","17↘","8.69↘","12.4↘","19.8↘","18.2↗","18.9↘","23↗"
="2891","中信金","42.9","-0.15","-0.35","11/13","29.3↘","19.8↗","10.9↗","11↗","20.6↗","18.1↘","11.8↘","14.5↘","27.1↗","12.6↘","36.6↘","34.2↗"
="2884","玉山金","30.1","-0.1","-0.33","11/13","20.9↘","31.8↘","38.9↘","33.4↘","15.6↘","31↘","17.2↗","18.4↗","23.7↘","23.5↘","12.5↘","12.6↘"
="2880","華南金","29.2","-0.05","-0.17","11/13","11.5↘","20.3↗","14.9↗","15.3↗","23.5↘","17.2↘","16.1↘","15.9↗","22.6↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","62.9","-0.3","-0.47","11/13","33.8↘","27.2↘","26.6↘","31.8↘","19.9↘","50.4↘","50.1↘","48.2↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.41","+0.01","+0.05","11/13","29.1↘","31.6↘","16.9↘","19.9↘","24.1↘","30.7↘","20.8↘","25.7↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","147.05","-1","-0.68","11/13","34.4↘","26.3↗","32↘","39↘","39.1↘","11.4↘","37.4↗","28.4↗","43.1↘","15.9↘","31.7↗","31.4↗"
