"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","252","+1","+0.4","90,542","11/13","264.8↘","-4.85","245.9↗","+2.48","227↗","+11","37.9↘","0.66↗","0.15↘"
="2330","台積電","1460","-15","-1.02","22,779","11/13","1515↗","-3.6","1477↘","-1.17","1440↘","+1.4","74.7↗","0.27↘","0.05↗"
="2308","台達電","958","-9","-0.93","11,008","11/13","1071↗","-10.6","1002↘","-4.42","933.6↘","+2.61","137↗","0.18↘","0.14↗"
="2454","聯發科","1245","0","0","3,040","11/13","1368↗","-8.97","1300↘","-4.27","1233↘","+0.94","134↗","0.09↗","0.1↗"
="3231","緯創","144","+5","+3.6","85,473","11/13","153.2↗","-6.03","143.2↗","+0.52","133.3↗","+8.07","20↘","0.54↗","0.14↘"
="3491","昇達科","467.5","+4","+0.86","5,825","11/13","471.8↗","-0.92","440.9↗","+6.03","410↘","+14","61.9↗","0.93↗","0.14↗"
="6669","緯穎","4460","-100","-2.19","1,935","11/13","4652↗","-4.12","4194↗","+6.34","3737↗","+19.4","915↘","0.79↘","0.22↘"
="3008","大立光","2235","0","0","245","11/13","2283↗","-2.12","2231↗","+0.18","2179↗","+2.59","105↘","0.54↘","0.05↘"
="3443","創意","1875","-10","-0.53","2,947","11/13","1938↗","-3.26","1640↗","+14.3","1342↗","+39.7","596↗","0.89↘","0.36↗"
="3661","世芯-KY","3525","+5","+0.14","949","11/13","3771↗","-6.53","3362↗","+4.86","2952↗","+19.4","819↘","0.7↘","0.24↘"
="2301","光寶科","164.5","-2","-1.2","18,193","11/13","189.5↘","-13.2","172.5↗","-4.65","155.6↗","+5.74","33.9↘","0.26↘","0.2↘"
="4967","十銓","149","+0.5","+0.34","30,182","11/13","149.5↗","-0.36","134.5↗","+10.8","119.5↗","+24.7","30.1↗","0.98↘","0.22↗"
="2344","華邦電","64.2","-0.6","-0.93","32,553","11/13","67.92↗","-5.48","53.97↗","+19","40.02↗","+60.4","27.9↘","0.87↘","0.52↘"
="3711","日月光投控","231.5","+4.5","+1.98","20,997","11/13","255.5↘","-9.4","218.4↗","+6","181.3↗","+27.7","74.3↘","0.68↗","0.34↘"
="2408","南亞科","163.5","+0.5","+0.31","362,941","11/13","174.3↗","-6.2","131.7↗","+24.1","89.19↗","+83.3","85.1↘","0.87↘","0.65↘"
="6584","南俊國際","300.5","-6.5","-2.12","2,181","11/13","313↗","-3.98","279.4↗","+7.55","245.8↗","+22.2","67.1↗","0.81↘","0.24↘"
="2882","國泰金","65.9","+1","+1.54","30,989","11/13","66.32↘","-0.64","64.88↘","+1.58","63.43↗","+3.9","2.9↘","0.85↗","0.04↘"
="2891","中信金","42.9","-0.15","-0.35","31,157","11/13","43.16↗","-0.6","42.35↗","+1.29","41.54↘","+3.26","1.62↗","0.84↘","0.04↗"
="2884","玉山金","30.1","-0.1","-0.33","43,971","11/13","33.08↘","-9.01","30.76↘","-2.16","28.45↗","+5.8","4.63↘","0.36↘","0.15↘"
="2880","華南金","29.2","-0.05","-0.17","6,455","11/13","30↗","-2.68","29.59↘","-1.31","29.17↘","+0.1","0.83↗","0.04↗","0.03↗"
="0050","元大台灣50","62.9","-0.3","-0.47","80,483","11/13","64.73↘","-2.82","63.33↗","-0.68","61.93↗","+1.57","2.8↘","0.35↘","0.04↘"
="00878","國泰永續高股息","21.41","+0.01","+0.05","40,610","11/13","21.81↘","-1.85","21.52↗","-0.52","21.23↗","+0.84","0.58↘","0.31↘","0.03↘"
="006208","富邦台50","147.05","-1","-0.68","4,684","11/13","151.7↘","-3.07","148.2↗","-0.77","144.7↗","+1.64","7.03↘","0.34↘","0.05↘"
