"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/13","222.9↘","222.4↘","220.9↗","219.4↗","207.5↗","201.1↗","183.7↗","177.7↗","174.2↗","179.5↗"
="2330","台積電","1480","+30","+2.07","36,024","10/13","1421↗","1372↗","1350↗","1327↗","1232↗","1217↗","1146↗","1110↗","1076↗","1071↗"
="2308","台達電","1070","+60","+5.94","14,666","10/13","987.8↗","929↗","917.4↗","897.1↗","762.4↗","721.4↗","598.8↗","558↗","491.3↗","475.5↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/13","1328↗","1318↘","1349↘","1386↘","1384↘","1388↘","1352→","1348↘","1386↘","1371↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/13","151.3↘","144.6↗","136.8↗","132.4↗","123.2↗","122.3↗","120.3↗","118↗","112.7↗","113.2↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/13","458.7↗","453.6↘","452↗","446.6↗","400.8↗","389.9↗","368.6↗","368.4↗","380.9↗","368.7↗"
="3008","大立光","2250","-20","-0.88","558","10/13","2435↘","2391↘","2375↗","2358↘","2372↘","2373↗","2345↗","2320↗","2416↘","2412↘"
="3443","創意","1600","-15","-0.93","4,873","10/13","1452↗","1388↗","1360↗","1355↗","1305↗","1289↗","1243↗","1215↗","1228↗","1230↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/13","3420↗","3389↘","3482↘","3556↘","3783↘","3791↘","3464↗","3282↗","3165↗","3017↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/13","171.2↘","170.4↘","172.1↗","169.8↗","146.3↗","141.8↗","128.6↗","123.4↗","114.8↗","113.1↗"
="4967","十銓","137","+9","+7.03","7,062","10/13","107.2↗","97.02↗","94.15↗","91.16↗","80.36↗","79.18↗","76.89↗","76.38↗","78.51↗","80.3↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/13","41.83↗","37.78↗","36.63↗","34.2↗","25.23↗","23.94↗","21.85↗","20.94↗","19.21↗","19↗"
="2882","國泰金","65.7","0","0","17,331","10/13","65.44↗","65.39↘","65.51↘","65.48↗","64.24↗","63.9↗","64.14↗","62.92↗","63.86↘","64.59↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/13","42.37↘","42.58↘","42.82↘","42.85↗","42.55↗","42.54↘","42.7↗","42.15↗","41.03↗","40.42↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/13","32.72↘","32.92↘","33.08↘","33.2↘","33.41↗","33.38↘","32.86↗","32.17↗","30.65↗","30.11↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/13","29.16↘","29.28↘","29.29→","29.31↘","28.94↗","28.91↗","28.21↗","28.07↗","27.75↗","27.44↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/13","61.1↗","59.6↗","58.95↗","58.24↗","54.79↗","54.14↗","77.12↘","92.16↘","131.2↘","141.6↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/13","21.41↗","21.35↘","21.34↗","21.26↗","20.96↗","21↗","20.91↗","20.84↗","21.22↘","21.45↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/13","142.6↗","139↗","137.5↗","135.9↗","128↗","126.4↗","120.2↗","117↗","114.1↗","113.9↗"
