"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/09","225.4↗","223.4↗","220.8↗","219.3↗","206.7↗","200.2↗","183.2↗","177↗","174.1↗","179.4↗"
="2330","台積電","1480","+30","+2.07","36,024","10/09","1411↗","1364↗","1340↗","1318↗","1227↗","1212↗","1142↗","1106↗","1074↗","1069↗"
="2308","台達電","1070","+60","+5.94","14,666","10/09","960.6↗","915.1↗","904.5↗","887.4↗","752.4↗","712.6↗","592.2↗","552↗","488.3↗","472.9↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/09","1321↗","1319↘","1362↘","1395↘","1385↘","1390↘","1352↗","1349↘","1387↘","1371↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/09","152.1↗","142.2↗","135.1↗","131.1↗","122.7↗","121.9↗","120↗","117.6↗","112.6↗","113.1↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/09","456.8↗","453.8↗","450.7↗","446.3↗","398.3↗","388.2↗","367.6↗","367.7↗","380.4↗","368.1↗"
="3008","大立光","2250","-20","-0.88","558","10/09","2443↗","2392↗","2373↗","2360↗","2372↗","2372↗","2344↗","2318↗","2417↘","2413↘"
="3443","創意","1600","-15","-0.93","4,873","10/09","1428↗","1368↗","1346↗","1349↗","1299↗","1284↗","1240↗","1211↗","1228↗","1229↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/09","3403↗","3393↘","3508↘","3584↘","3791↘","3795↗","3458↗","3271↗","3162↗","3011↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/09","171.7↗","171.1↘","171.5↗","169.2↗","145.5↗","140.9↗","127.9↗","122.8↗","114.5↗","112.8↗"
="4967","十銓","137","+9","+7.03","7,062","10/09","99.64↗","93.36↗","91.85↗","88.56↗","79.36↗","78.3↗","76.39↗","75.96↗","78.29↗","80.17↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/09","40.43↗","37↗","35.73↗","33.3↗","24.72↗","23.52↗","21.6↗","20.71↗","19.07↗","18.9↗"
="2882","國泰金","65.7","0","0","17,331","10/09","65.38↗","65.46↗","65.53↗","65.46↗","64.16↗","63.87↗","64.1↗","62.82↗","63.88↘","64.61↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/09","42.53↘","42.68↘","42.88↘","42.84↗","42.55↗","42.55↘","42.7↗","42.1↗","41.01↗","40.4↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/09","32.82↘","33.02↘","33.13↘","33.27↘","33.4↗","33.43↘","32.84↗","32.13↗","30.62↗","30.1↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/09","29.2↘","29.28→","29.29↘","29.33↘","28.93↗","28.9↗","28.2↗","28.05↗","27.73↗","27.43↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/09","60.74↗","59.35↗","58.64↗","57.94↗","54.59↗","53.96↗","78.3↘","93.02↘","131.9↘","142.1↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/09","21.4↗","21.36↗","21.32↗","21.23↗","20.96↗","21↗","20.9↗","20.83↗","21.23↘","21.45↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/09","141.8↗","138.5↗","136.8↗","135.2↗","127.5↗","126↗","119.8↗","116.6↗","114↗","113.8↗"
