"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","206.5","+0.5","+0.24","65,965","10/15","25,050","31,203","-6,154","45","4,763","-4,718","3,262","1,192","+2,070","28,357","37,159","-8,801","－－＋"
="2330","台積電","1465","+40","+2.81","45,432","10/15","25,526","25,405","+121","200","588","-388","3,110","551","+2,559","28,836","26,545","+2,291","＋－＋"
="2308","台達電","1015","+23","+2.32","13,304","10/15","5,858","6,542","-684","29","269","-240","853","378","+475","6,740","7,189","-449","－－＋"
="2454","聯發科","1315","+10","+0.77","4,632","10/15","2,328","2,883","-555","22","129","-107","285","161","+124","2,635","3,173","-538","－－＋"
="3231","緯創","138","0","0","38,560","10/15","9,185","17,893","-8,709","388","141","+247","1,425","1,990","-566","10,997","20,025","-9,028","－＋－"
="3491","昇達科","434","+9.5","+2.24","1,531","10/15","565","354","+211","18","343","-325","118","44","+74","701","741","-40","＋－＋"
="3008","大立光","2220","-20","-0.89","826","10/15","156","490","-334","4","8","-4","58","38","+20","218","536","-318","－－＋"
="3443","創意","1475","+30","+2.08","2,664","10/15","945","867","+78","20","9","+10","122","57","+65","1,087","934","+153","＋＋＋"
="3661","世芯-KY","3080","+5","+0.16","2,517","10/15","1,346","1,276","+71","2","87","-85","66","39","+27","1,414","1,402","+12","＋－＋"
="2301","光寶科","161.5","+1.5","+0.94","35,671","10/15","17,244","11,520","+5,724","266","5","+261","997","834","+163","18,508","12,360","+6,148","＋＋＋"
="4967","十銓","125.5","+4.5","+3.72","56,217","10/15","11,917","14,248","-2,332","142","0","+142","318","159","+160","12,377","14,407","-2,030","－＋＋"
="2344","華邦電","40","-0.7","-1.72","309,480","10/15","75,973","90,677","-14,704","1,676","3,296","-1,620","3,025","10,163","-7,138","80,673","104,136","-23,463","－－－"
="2882","國泰金","66.4","+0.9","+1.37","29,393","10/15","18,858","24,951","-6,092","299","69","+230","6,666","489","+6,176","25,823","25,509","+314","－＋＋"
="2891","中信金","42.6","+0.25","+0.59","31,234","10/15","19,968","27,627","-7,660","410","137","+273","2,677","537","+2,140","23,055","28,301","-5,246","－＋＋"
="2884","玉山金","32.95","+0.15","+0.46","18,437","10/15","13,909","9,746","+4,163","214","506","-292","403","61","+342","14,526","10,313","+4,213","＋－＋"
="2880","華南金","29.65","+0.15","+0.51","13,450","10/15","8,829","7,445","+1,384","579","56","+523","2,342","1,142","+1,200","11,750","8,643","+3,107","＋＋＋"
="0050","元大台灣50","61.8","+1.1","+1.81","101,918","10/15","3,697","36,945","-33,248","1,944","0","+1,944","25,825","21,045","+4,781","31,467","57,990","-26,523","－＋＋"
="00878","國泰永續高股息","21.19","-0.01","-0.05","41,210","10/15","416","12,159","-11,744","0","0","0","3,832","7,266","-3,434","4,248","19,426","-15,178","－・－"
="006208","富邦台50","144.65","+2.85","+2.01","8,771","10/15","254","1,805","-1,552","0","0","0","1,791","3,883","-2,092","2,045","5,689","-3,644","－・－"
