"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/17","215↗","220.2↗","220.6↗","219.4↗","210.3↗","204.5↗","186.2↗","180.3↗","174.9↗","179.5↗"
="2330","台積電","1480","+30","+2.07","36,024","10/17","1448↗","1430↗","1392↗","1367↗","1257↗","1238↗","1165↗","1130↗","1083↗","1077↗"
="2308","台達電","1070","+60","+5.94","14,666","10/17","1012→","986.4↗","947.5↗","931.4↗","795.4↗","754.7↗","624.1↗","580.7↗","503↗","485.6↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/17","1319↘","1320↗","1319↘","1351↘","1382↘","1382↘","1352↗","1348↘","1384↘","1372↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/17","139.5↘","145.8↘","141.3↗","136.2↗","124.4↗","123.7↗","121.3↗","119.2↗","113.3↗","113.7↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/17","441.7↘","449.2↘","449.8↘","448.5↗","409.1↗","396↗","372.5↗","370.5↗","383.3↗","370.9↗"
="3008","大立光","2250","-20","-0.88","558","10/17","2247↘","2345↘","2344↘","2342↘","2360↘","2360↘","2343↘","2322↘","2409↘","2410↘"
="3443","創意","1600","-15","-0.93","4,873","10/17","1477↘","1452↗","1405↗","1379↗","1322↗","1306↗","1256↗","1232↗","1230↗","1234↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/17","3141↘","3272↘","3309↘","3416↘","3724↘","3744↘","3470↗","3315↗","3161↘","3036↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/17","164.8↘","168.2↘","169↘","169.8↘","149.6↗","145↗","131↗","125.9↗","116.1↗","114↗"
="4967","十銓","137","+9","+7.03","7,062","10/17","125.9↗","112.8↗","104.2↗","100.4↗","84.53↗","82.74↗","78.93↗","78.15↗","79.45↗","80.84↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/17","42.33↗","41.38↗","38.78↗","37.38↗","27.2↗","25.59↗","22.82↗","21.83↗","19.75↗","19.36↗"
="2882","國泰金","65.7","0","0","17,331","10/17","65.64↘","65.51↘","65.52↘","65.56↘","64.55↗","64.12↗","64.19↗","63.33↗","63.8↘","64.54↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/17","42.44↘","42.49↘","42.6↘","42.77↘","42.59↘","42.53↘","42.7↗","42.36↗","41.08↗","40.52↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/17","32.64↘","32.73↘","32.89↘","33.01↘","33.43↘","33.26↘","32.96↗","32.35↗","30.76↗","30.19↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/17","29.59↗","29.4↗","29.39↗","29.37↗","28.98↗","28.96↗","28.3↗","28.17↗","27.81↗","27.51↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/17","61.71↗","61.22↗","60.13↗","59.41↗","55.65↗","54.87↗","72.31↘","88.82↘","128.5↘","139.4↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/17","21.28↘","21.34↗","21.33↘","21.31↗","20.97↗","21↗","20.93↗","20.89↗","21.21↘","21.42↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/17","144.2↗","143↗","140.4↗","138.6↗","130↗","128.2↗","121.7↗","118.7↗","114.7↗","114.4↗"
