"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","221.5","-3.5","-1.56","56,701","10/09","16,319","24,807","-8,488","256","1,564","-1,308","1,194","886","+308","17,769","27,257","-9,488","－－＋"
="2330","台積電","1440","+25","+1.77","42,508","10/09","19,637","21,139","-1,502","191","259","-68","1,747","114","+1,633","21,575","21,512","+63","－－＋"
="2308","台達電","999","+18","+1.83","15,541","10/09","3,890","6,229","-2,339","161","85","+76","364","498","-134","4,415","6,812","-2,397","－＋－"
="2454","聯發科","1345","+10","+0.75","5,265","10/09","2,449","2,951","-502","9","97","-88","162","47","+115","2,620","3,095","-475","－－＋"
="3231","緯創","151","+0.5","+0.33","66,170","10/09","17,974","18,309","-335","1,946","364","+1,582","716","741","-25","20,636","19,414","+1,222","－＋－"
="3491","昇達科","469.5","+4.5","+0.97","2,417","10/09","864","670","+194","0","1","-1","103","176","-73","967","847","+120","＋－－"
="3008","大立光","2470","-15","-0.6","439","10/09","249","233","+16","1","11","-10","17","7","+11","268","251","+16","＋－＋"
="3443","創意","1515","+30","+2.02","6,229","10/09","2,467","1,179","+1,288","145","3","+142","334","164","+170","2,946","1,346","+1,601","＋＋＋"
="3661","世芯-KY","3515","+70","+2.03","1,385","10/09","703","430","+273","0","6","-6","46","18","+28","748","454","+294","＋－＋"
="2301","光寶科","171","-1","-0.58","25,184","10/09","8,732","12,548","-3,815","35","454","-419","457","600","-143","9,224","13,603","-4,378","－－－"
="4967","十銓","114","+5.5","+5.07","62,157","10/09","12,678","11,557","+1,121","0","0","0","353","122","+231","13,031","11,679","+1,352","＋・＋"
="2344","華邦電","43.45","+2.2","+5.33","546,684","10/09","159,861","120,408","+39,453","1,171","2,398","-1,227","13,314","11,765","+1,549","174,346","134,571","+39,775","＋－＋"
="2882","國泰金","66.4","+1.1","+1.68","26,157","10/09","21,163","4,661","+16,502","40","3,430","-3,390","899","655","+245","22,102","8,746","+13,357","＋－＋"
="2891","中信金","42.6","+0.1","+0.24","40,037","10/09","21,078","24,346","-3,268","59","9,175","-9,116","715","768","-54","21,851","34,289","-12,438","－－－"
="2884","玉山金","33","+0.2","+0.61","32,041","10/09","20,670","16,833","+3,837","0","292","-292","167","114","+53","20,837","17,239","+3,597","＋－＋"
="2880","華南金","29.25","+0.05","+0.17","8,257","10/09","7,228","5,127","+2,101","65","202","-137","129","120","+9","7,422","5,449","+1,973","＋－＋"
="0050","元大台灣50","61.6","+0.45","+0.74","76,479","10/09","1,390","15,774","-14,384","1,900","0","+1,900","5,661","13,862","-8,201","8,951","29,636","-20,685","－＋－"
="00878","國泰永續高股息","21.52","+0.03","+0.14","41,607","10/09","3,580","1,508","+2,072","0","0","0","18,346","2,987","+15,360","21,927","4,495","+17,432","＋・＋"
="006208","富邦台50","143.85","+1.45","+1.02","9,727","10/09","1,093","657","+435","34","0","+34","6,036","2,029","+4,007","7,163","2,686","+4,477","＋＋＋"
