"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/16","214↘","219.4↗","220.3↗","218.8↗","209.4↗","203.4↗","185.5↗","179.6↗","174.7↗","179.5↗"
="2330","台積電","1480","+30","+2.07","36,024","10/16","1446↗","1417↗","1385↗","1358↗","1251↗","1233↗","1160↗","1126↗","1081↗","1076↗"
="2308","台達電","1070","+60","+5.94","14,666","10/16","1012↗","973.6↗","940.4↗","923.5↗","788↗","746.6↗","617.8↗","575.2↗","500.1↗","483.1↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/16","1322↘","1316↗","1322↘","1362↘","1382→","1384↘","1352↗","1348→","1385↘","1371↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/16","142.4↘","146.8↘","140.4↗","135.2↗","124.2↗","123.3↗","121.1↗","118.9↗","113.2↗","113.6↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/16","447↘","450.1↗","451↘","448.1↗","407↗","394.1↗","371.4↗","370↗","382.7↗","370.4↗"
="3008","大立光","2250","-20","-0.88","558","10/16","2299↘","2360↘","2354↘","2346↘","2364↘","2364↘","2344↘","2322↗","2411↘","2411↘"
="3443","創意","1600","-15","-0.93","4,873","10/16","1481↘","1437↗","1393↗","1370↗","1318↗","1301↗","1252↗","1228↗","1229↗","1233↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/16","3227↘","3303↘","3350↘","3446↘","3738↘","3754↘","3468↗","3307↗","3163↘","3031↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/16","165.9↘","168.6↘","170.2↘","169.9↗","148.9↗","144.1↗","130.4↗","125.3↗","115.8↗","113.8↗"
="4967","十銓","137","+9","+7.03","7,062","10/16","123.1↗","108.9↗","101.6↗","98.4↗","83.46↗","81.78↗","78.39↗","77.7↗","79.21↗","80.7↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/16","42.23↗","40.36↗","38.28↗","36.58↗","26.68↗","25.14↗","22.56↗","21.59↗","19.61↗","19.26↗"
="2882","國泰金","65.7","0","0","17,331","10/16","65.88↗","65.52↗","65.59↘","65.6↗","64.5↗","64.06↗","64.17↗","63.23↗","63.81↘","64.55↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/16","42.46↗","42.54↘","42.65↘","42.82↘","42.6↘","42.53↗","42.69↘","42.31↗","41.07↗","40.49↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/16","32.73↘","32.81↘","32.93↘","33.05↘","33.43↘","33.28↘","32.94↗","32.3↗","30.73↗","30.17↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/16","29.49↗","29.36↗","29.35↗","29.34↗","28.97↗","28.95↗","28.28↗","28.14↗","27.79↗","27.49↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/16","61.62↗","60.83↗","59.89↗","59.14↗","55.44↗","54.68↗","73.49↘","89.64↘","129.2↘","139.9↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/16","21.31↘","21.33↘","21.34↘","21.3↗","20.97↗","21↗","20.93↗","20.88↗","21.21↘","21.42↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/16","143.9↗","142↗","139.8↗","138↗","129.5↗","127.7↗","121.3↗","118.3↗","114.6↗","114.3↗"
