"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/16","","223","+16.5","+7.99","154,274","33,877","206.5","215","225.5","211.5","6.78","17","2.12","","","","",""
="2330","台積電","市","10/16","","1485","+20","+1.37","42,491","62,811","1465","1465","1495","1465","2.05","26.4","8.41","","","","",""
="2308","台達電","市","10/16","","1025","+10","+0.99","7,987","8,119","1015","1005","1025","1000","2.46","60.9","12.55","","","","",""
="2454","聯發科","市","10/16","","1330","+15","+1.14","4,052","5,383","1315","1320","1340","1320","1.52","19.9","5.63","","","","",""
="3231","緯創","市","10/16","","139.5","+1.5","+1.09","58,307","8,158","138","139","141.5","137.5","2.9","20.5","2.93","","","","",""
="3491","昇達科","櫃","10/16","","455","+21","+4.84","2,210","1,002","434","439","461.5","438","5.41","59.7","12.15","","","","",""
="3008","大立光","市","10/16","","2245","+25","+1.13","604","1,358","2220","2230","2270","2220","2.25","13.2","1.69","","","","",""
="3443","創意","市","10/16","","1470","-5","-0.34","2,632","3,882","1475","1495","1510","1450","4.07","54.4","18.24","","","","",""
="3661","世芯-KY","市","10/16","","3095","+15","+0.49","1,613","5,010","3080","3140","3175","3070","3.41","39","7.13","","","","",""
="2301","光寶科","市","10/16","","169","+7.5","+4.64","53,539","9,054","161.5","170","172.5","165.5","4.33","29.4","4.77","","","","",""
="4967","十銓","市","10/16","","130","+4.5","+3.59","6,831","869","125.5","123","130","123","5.58","54.2","2.88","","","","",""
="2344","華邦電","市","10/16","","44","+4","+10","437,430","19,028","40","41.1","44","41.1","7.25","","2.26","","","","",""
="2882","國泰金","市","10/16","","65.8","-0.6","-0.9","23,705","1,576","66.4","66.2","67.1","65.8","1.96","12.6","1.39","","","","",""
="2891","中信金","市","10/16","","42.6","0","0","24,185","1,033","42.6","42.55","42.95","42.55","0.94","12.1","1.94","","","","",""
="2884","玉山金","市","10/16","","32.4","-0.55","-1.67","37,361","1,213","32.95","33","33","32.3","2.12","17.1","2.09","","","","",""
="2880","華南金","市","10/16","","29.8","+0.15","+0.51","10,431","311","29.65","29.7","29.95","29.65","1.01","17.4","1.91","","","","",""
="0050","元大台灣50","市","10/16","","63","+1.2","+1.94","115,802","7,244","61.8","62.1","63","62.1","1.46","0","1.0041","","","","",""
="00878","國泰永續高股息","市","10/16","","21.35","+0.16","+0.76","44,234","945","21.19","21.35","21.41","21.32","0.42","0","0.9958","","","","",""
="006208","富邦台50","市","10/16","","147.35","+2.7","+1.87","12,382","1,811","144.65","145.3","147.45","145.1","1.62","0","1.0012","","","","",""
