"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","206","-7","-3.29","108,702","10/14","22,064","35,962","-13,897","282","2,663","-2,381","1,673","3,722","-2,049","24,020","42,347","-18,328","－－－"
="2330","台積電","1425","+10","+0.71","44,821","10/14","21,511","22,673","-1,162","289","75","+213","848","1,160","-312","22,647","23,908","-1,261","－＋－"
="2308","台達電","992","-38","-3.69","21,049","10/14","6,342","10,450","-4,108","105","360","-255","749","1,156","-406","7,196","11,965","-4,769","－－－"
="2454","聯發科","1305","-10","-0.76","5,948","10/14","2,528","2,909","-380","17","562","-545","160","112","+49","2,706","3,582","-876","－－＋"
="3231","緯創","138","-7.5","-5.15","77,131","10/14","19,484","20,728","-1,243","314","451","-137","1,246","4,698","-3,452","21,044","25,877","-4,833","－－－"
="3491","昇達科","424.5","-27.5","-6.08","2,354","10/14","637","628","+9","40","0","+40","58","199","-141","735","827","-92","＋＋－"
="3008","大立光","2240","-80","-3.45","1,593","10/14","224","710","-487","2","7","-5","113","125","-12","339","841","-503","－－－"
="3443","創意","1445","-55","-3.67","5,808","10/14","1,994","1,448","+546","41","2","+39","95","271","-176","2,130","1,722","+408","＋＋－"
="3661","世芯-KY","3075","-295","-8.75","5,572","10/14","2,001","2,289","-288","0","329","-329","187","277","-91","2,187","2,895","-708","－－－"
="2301","光寶科","160","-8","-4.76","29,250","10/14","10,573","12,816","-2,243","308","701","-393","819","1,213","-394","11,701","14,730","-3,029","－－－"
="4967","十銓","121","-4","-3.2","65,302","10/14","18,052","17,061","+991","0","0","0","296","391","-95","18,348","17,452","+896","＋・－"
="2344","華邦電","40.7","-2.3","-5.35","598,421","10/14","164,558","165,945","-1,387","10,007","6,616","+3,391","7,233","21,076","-13,843","181,798","193,637","-11,839","－＋－"
="2882","國泰金","65.5","+0.2","+0.31","25,654","10/14","19,661","11,729","+7,932","165","1,692","-1,527","1,284","1,405","-121","21,110","14,827","+6,284","＋－－"
="2891","中信金","42.35","+0.2","+0.47","36,178","10/14","25,233","23,176","+2,057","855","3,326","-2,470","3,110","619","+2,491","29,198","27,121","+2,078","＋－＋"
="2884","玉山金","32.8","+0.3","+0.92","31,252","10/14","19,492","16,934","+2,558","307","402","-95","446","487","-41","20,245","17,824","+2,422","＋－－"
="2880","華南金","29.5","+0.25","+0.85","19,779","10/14","14,927","8,378","+6,549","428","176","+252","3,005","3,382","-377","18,360","11,936","+6,424","＋＋－"
="0050","元大台灣50","60.7","-0.3","-0.49","163,441","10/14","3,224","59,719","-56,495","1,185","0","+1,185","28,891","31,715","-2,824","33,300","91,434","-58,134","－＋－"
="00878","國泰永續高股息","21.2","-0.11","-0.52","55,161","10/14","858","6,987","-6,129","0","0","0","22,514","10,079","+12,435","23,372","17,066","+6,306","－・＋"
="006208","富邦台50","141.8","-0.25","-0.18","12,254","10/14","1,284","639","+646","0","0","0","2,852","4,919","-2,066","4,137","5,557","-1,421","＋・－"
