"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/15","214.4↘","218.8↘","219.8↘","218.5↘","208.6↗","202.5↗","184.8↗","178.9↗","174.5↗","179.4↘"
="2330","台積電","1480","+30","+2.07","36,024","10/15","1432↗","1399↗","1372↗","1347↗","1244↗","1227↗","1155↗","1120↗","1079↗","1074↗"
="2308","台達電","1070","+60","+5.94","14,666","10/15","1003↗","956.5↗","932.5↗","914↗","779.4↗","738.1↗","611.3↗","569.3↗","497.1↗","480.5↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/15","1323↘","1314↗","1327↘","1369↘","1382↘","1385↘","1352↘","1348↘","1385↘","1371↘"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/15","144.6↘","146.8↗","139.2↗","134.2↗","123.8↗","123↗","120.8↗","118.6↗","113↗","113.5↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/15","449↘","449.4↘","451.5↘","446.8↗","404.7↗","392.2↗","370.2↗","369.4↗","382.1↗","369.7↗"
="3008","大立光","2250","-20","-0.88","558","10/15","2347↘","2370↘","2362↘","2350↘","2367↘","2367↘","2344↘","2321↗","2413↘","2411↘"
="3443","創意","1600","-15","-0.93","4,873","10/15","1484↗","1424↗","1381↗","1363↗","1314↗","1296↗","1249↗","1224↗","1229↘","1232↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/15","3297↘","3340↘","3394↘","3478↘","3751↘","3766↘","3466↗","3299↗","3164↘","3027↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/15","166.5↘","169↘","171.3↘","169.5↘","148↗","143.3↗","129.7↗","124.6↗","115.4↗","113.5↗"
="4967","十銓","137","+9","+7.03","7,062","10/15","118.8↗","104.7↗","98.84↗","96.04↗","82.33↗","80.83↗","77.84↗","77.22↗","78.96↗","80.56↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/15","41.68↘","39.37↗","37.63↗","35.72↗","26.14↗","24.7↗","22.29↗","21.36↗","19.47↗","19.16↗"
="2882","國泰金","65.7","0","0","17,331","10/15","65.78↗","65.5↗","65.6↗","65.59↗","64.43↗","64.01↗","64.17↗","63.13↗","63.82↘","64.57↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/15","42.44↗","42.57→","42.69↘","42.85↘","42.6↗","42.53↘","42.69↘","42.26↗","41.05↗","40.47↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/15","32.81↗","32.9↗","33.01↘","33.11↘","33.44↗","33.31↘","32.92↗","32.26↗","30.7↗","30.15↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/15","29.37↗","29.34↗","29.32↗","29.32↗","28.97↗","28.93↗","28.25↗","28.11↗","27.77↗","27.47↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/15","61.25↗","60.31↗","59.52↗","58.79↗","55.19↗","54.48↗","74.69↘","90.45↘","129.9↘","140.5↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/15","21.34↘","21.33↘","21.34↘","21.28↗","20.97↗","21↘","20.92↗","20.86↗","21.21↘","21.43↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/15","143↗","140.8↗","138.9↗","137.2↗","128.9↗","127.3↗","120.9↗","117.8↗","114.4↗","114.1↗"
