"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","213","-8.5","-3.84","111,261","10/13","29,527","48,521","-18,994","334","357","-23","2,306","2,518","-212","32,167","51,396","-19,229","－－－"
="2330","台積電","1415","-25","-1.74","60,322","10/13","16,064","35,042","-18,979","1,013","75","+938","3,891","1,167","+2,723","20,967","36,285","-15,317","－＋＋"
="2308","台達電","1030","+31","+3.1","24,053","10/13","12,203","11,197","+1,006","287","25","+262","918","329","+589","13,408","11,552","+1,857","＋＋＋"
="2454","聯發科","1315","-30","-2.23","8,123","10/13","2,789","5,694","-2,905","85","33","+52","297","117","+180","3,171","5,844","-2,672","－＋＋"
="3231","緯創","145.5","-5.5","-3.64","72,177","10/13","23,956","25,928","-1,973","2,419","24","+2,395","1,546","1,753","-207","27,920","27,706","+215","－＋－"
="3491","昇達科","452","-17.5","-3.73","1,578","10/13","419","586","-166","0","86","-86","65","97","-32","484","768","-285","－－－"
="3008","大立光","2320","-150","-6.07","2,502","10/13","920","1,138","-217","8","17","-9","103","114","-11","1,031","1,269","-238","－－－"
="3443","創意","1500","-15","-0.99","3,477","10/13","1,551","992","+559","74","4","+70","120","171","-51","1,745","1,167","+578","＋＋－"
="3661","世芯-KY","3370","-145","-4.13","1,899","10/13","776","1,068","-291","3","2","+1","66","76","-10","846","1,146","-300","－＋－"
="2301","光寶科","168","-3","-1.75","24,693","10/13","11,178","8,801","+2,377","67","1,841","-1,774","1,015","979","+36","12,260","11,621","+638","＋－＋"
="4967","十銓","125","+11","+9.65","46,780","10/13","11,965","6,317","+5,648","0","0","0","278","186","+92","12,243","6,503","+5,740","＋・＋"
="2344","華邦電","43","-0.45","-1.04","399,485","10/13","100,961","101,501","-539","420","1,159","-739","4,356","12,042","-7,686","105,737","114,701","-8,964","－－－"
="2882","國泰金","65.3","-1.1","-1.66","19,255","10/13","9,357","12,487","-3,130","147","793","-646","1,041","587","+454","10,545","13,868","-3,322","－－＋"
="2891","中信金","42.15","-0.45","-1.06","39,116","10/13","21,608","32,449","-10,841","227","1,230","-1,003","3,975","352","+3,623","25,810","34,031","-8,220","－－＋"
="2884","玉山金","32.5","-0.5","-1.52","28,160","10/13","6,202","17,821","-11,619","1,183","539","+644","1,329","280","+1,049","8,714","18,641","-9,926","－＋＋"
="2880","華南金","29.25","0","0","13,273","10/13","6,721","10,639","-3,918","384","28","+356","3,653","185","+3,468","10,758","10,852","-94","－＋＋"
="0050","元大台灣50","61","-0.6","-0.97","277,611","10/13","12,378","111,189","-98,811","1,300","0","+1,300","4,743","85,916","-81,173","18,421","197,105","-178,684","－＋－"
="00878","國泰永續高股息","21.31","-0.21","-0.98","79,702","10/13","1,441","15,308","-13,867","0","0","0","10,405","14,916","-4,511","11,846","30,223","-18,378","－・－"
="006208","富邦台50","142.05","-1.8","-1.25","12,021","10/13","373","4,343","-3,970","0","0","0","822","2,803","-1,982","1,194","7,146","-5,952","－・－"
