"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/08","224.9↗","223.4↗","220.4↗","218.6↗","205.7↗","199.3↗","182.5↗","176.3↗","173.9↗","179.4↗"
="2330","台積電","1480","+30","+2.07","36,024","10/08","1388↗","1354↗","1329↗","1306↗","1221↗","1207↗","1137↗","1101↗","1072↗","1068↗"
="2308","台達電","1070","+60","+5.94","14,666","10/08","935↗","904.5↗","893.9↗","876.7↗","742.9↗","704.2↗","585.8↗","546.3↗","485.4↗","470.3↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/08","1309↗","1322↘","1375↘","1404↘","1386↘","1391↘","1352↘","1349↘","1387↘","1371↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/08","151.1↗","139.4↗","132.9↗","129.4↗","122.1↗","121.4↗","119.6↗","117.2↗","112.4↗","112.9↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/08","453.2↗","453↗","448.5↗","444.4↗","395.4↗","386.3↗","366.4↗","367↗","379.8↗","367.5↗"
="3008","大立光","2250","-20","-0.88","558","10/08","2420↗","2382↗","2362↗","2356↗","2369↗","2369↗","2341↗","2315↗","2417↗","2414↘"
="3443","創意","1600","-15","-0.93","4,873","10/08","1393↗","1348↗","1333↗","1344↗","1292↗","1279↗","1236↗","1206↗","1227↗","1228↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/08","3379↘","3412↘","3519↘","3604↘","3797↘","3793↗","3449↗","3260↗","3159↗","3005↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/08","171.4↘","172.3↘","171.2↗","167.6↗","144.6↗","140↗","127.2↗","122.1↗","114.2↗","112.5↗"
="4967","十銓","137","+9","+7.03","7,062","10/08","94.64↗","90.81↗","90.16↗","86.45↗","78.56↗","77.59↗","76.01↗","75.64↗","78.11↗","80.08↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/08","38.5↗","36.3↗","34.69↗","32.36↗","24.2↗","23.1↗","21.35↗","20.48↗","18.93↗","18.8↗"
="2882","國泰金","65.7","0","0","17,331","10/08","65.16↘","65.44↘","65.51↘","65.35↗","64.06↗","63.82↗","64.05↗","62.72↗","63.9↘","64.61↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/08","42.62↘","42.75↘","42.94↘","42.82↗","42.53↗","42.56↗","42.69↗","42.05↗","41↗","40.37↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/08","32.89↘","33.03↘","33.15↘","33.32↘","33.38↗","33.46↘","32.81↗","32.09↗","30.6↗","30.08↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/08","29.24↘","29.28↘","29.3↘","29.33↗","28.91↗","28.89↗","28.18↗","28.03↗","27.72↗","27.41↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/08","60.04↗","59.03↗","58.32↗","57.55↗","54.37↗","53.77↗","79.45↘","93.88↘","132.5↘","142.6↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/08","21.34↗","21.35↗","21.29↗","21.19↗","20.95↗","20.99↗","20.89↗","20.81↗","21.23↘","21.46↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/08","140.1↗","137.7↗","136↗","134.3↗","127↗","125.6↗","119.4↗","116.2↗","113.8↗","113.7↗"
