"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","223","+16.5","+7.99","154,274","10/16","81,773","25,834","+55,939","1,989","2,548","-559","6,853","1,120","+5,733","90,615","29,502","+61,113","＋－＋"
="2330","台積電","1485","+20","+1.37","42,491","10/16","16,484","23,467","-6,983","2,078","380","+1,698","3,289","1,286","+2,003","21,851","25,133","-3,282","－＋＋"
="2308","台達電","1025","+10","+0.99","7,987","10/16","3,986","2,683","+1,303","37","484","-447","363","151","+213","4,386","3,318","+1,068","＋－＋"
="2454","聯發科","1330","+15","+1.14","4,052","10/16","2,451","1,601","+851","15","677","-662","163","25","+138","2,629","2,303","+326","＋－＋"
="3231","緯創","139.5","+1.5","+1.09","58,307","10/16","10,683","29,841","-19,159","265","149","+116","2,195","415","+1,780","13,143","30,406","-17,263","－＋＋"
="3491","昇達科","455","+21","+4.84","2,210","10/16","955","539","+416","0","63","-63","292","38","+254","1,247","640","+607","＋－＋"
="3008","大立光","2245","+25","+1.13","604","10/16","263","311","-48","1","0","+1","29","10","+19","293","322","-28","－＋＋"
="3443","創意","1470","-5","-0.34","2,632","10/16","758","637","+121","16","3","+13","96","60","+37","870","700","+170","＋＋＋"
="3661","世芯-KY","3095","+15","+0.49","1,613","10/16","575","650","-75","1","236","-235","23","30","-7","599","916","-317","－－－"
="2301","光寶科","169","+7.5","+4.64","53,539","10/16","14,488","22,008","-7,520","376","543","-167","1,684","529","+1,155","16,548","23,080","-6,532","－－＋"
="4967","十銓","130","+4.5","+3.59","6,831","10/16","1,447","101","+1,346","0","0","0","88","59","+29","1,535","160","+1,375","＋・＋"
="2344","華邦電","44","+4","+10","437,430","10/16","119,952","54,556","+65,396","2,081","243","+1,838","13,954","4,943","+9,011","135,986","59,742","+76,245","＋＋＋"
="2882","國泰金","65.8","-0.6","-0.9","23,705","10/16","12,429","10,841","+1,588","857","695","+162","1,011","293","+718","14,297","11,829","+2,468","＋＋＋"
="2891","中信金","42.6","0","0","24,185","10/16","13,771","17,380","-3,608","123","1,748","-1,625","1,075","407","+668","14,969","19,535","-4,565","－－＋"
="2884","玉山金","32.4","-0.55","-1.67","37,361","10/16","9,231","25,930","-16,699","1","2,160","-2,159","849","276","+573","10,081","28,366","-18,285","－－＋"
="2880","華南金","29.8","+0.15","+0.51","10,431","10/16","8,801","5,591","+3,210","29","87","-58","477","50","+427","9,307","5,728","+3,579","＋－＋"
="0050","元大台灣50","63","+1.2","+1.94","115,802","10/16","10,852","26,191","-15,339","3,870","0","+3,870","18,062","21,951","-3,889","32,784","48,142","-15,358","－＋－"
="00878","國泰永續高股息","21.35","+0.16","+0.76","44,234","10/16","8,591","445","+8,146","0","0","0","16,233","1,791","+14,442","24,824","2,236","+22,588","＋・＋"
="006208","富邦台50","147.35","+2.7","+1.87","12,382","10/16","524","825","-301","0","0","0","2,769","4,640","-1,872","3,293","5,465","-2,172","－・－"
