"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/09","","221.5","-3.5","-1.56","56,701","12,630","225","227","227","221","2.67","16.9","2.11","","","","",""
="2330","台積電","市","10/09","","1440","+25","+1.77","42,508","61,325","1415","1440","1455","1430","1.77","25.6","8.15","","","","",""
="2308","台達電","市","10/09","","999","+18","+1.83","15,541","15,509","981","1000","1005","986","1.94","59.4","12.23","","","","",""
="2454","聯發科","市","10/09","","1345","+10","+0.75","5,265","7,098","1335","1350","1370","1335","2.62","20.2","5.7","","","","",""
="3231","緯創","市","10/09","","151","+0.5","+0.33","66,170","9,967","150.5","153.5","154","147.5","4.32","22.2","3.17","","","","",""
="3491","昇達科","櫃","10/09","","469.5","+4.5","+0.97","2,417","1,134","465","470","479","460","4.09","61.6","12.54","","","","",""
="3008","大立光","市","10/09","","2470","-15","-0.6","439","1,088","2485","2500","2500","2460","1.61","14.5","1.86","","","","",""
="3443","創意","市","10/09","","1515","+30","+2.02","6,229","9,468","1485","1520","1550","1495","3.7","56","18.79","","","","",""
="3661","世芯-KY","市","10/09","","3515","+70","+2.03","1,385","4,846","3445","3485","3530","3460","2.03","44.4","8.1","","","","",""
="2301","光寶科","市","10/09","","171","-1","-0.58","25,184","4,316","172","174.5","176","169","4.07","29.7","4.82","","","","",""
="4967","十銓","市","10/09","","114","+5.5","+5.07","62,157","7,097","108.5","113","118","110.5","6.91","47.5","2.53","","","","",""
="2344","華邦電","市","10/09","","43.45","+2.2","+5.33","546,684","23,568","41.25","42.9","44.35","41.7","6.42","","2.23","","","","",""
="2882","國泰金","市","10/09","","66.4","+1.1","+1.68","26,157","1,735","65.3","65.7","66.6","65.6","1.53","12.7","1.41","","","","",""
="2891","中信金","市","10/09","","42.6","+0.1","+0.24","40,037","1,709","42.5","42.9","43.1","42.35","1.76","12.1","1.94","","","","",""
="2884","玉山金","市","10/09","","33","+0.2","+0.61","32,041","1,057","32.8","32.95","33.15","32.9","0.76","17.5","2.13","","","","",""
="2880","華南金","市","10/09","","29.25","+0.05","+0.17","8,257","241","29.2","29.2","29.4","29.1","1.03","17.1","1.87","","","","",""
="0050","元大台灣50","市","10/09","","61.6","+0.45","+0.74","76,479","4,721","61.15","61.85","61.95","61.5","0.74","0","1.0006","","","","",""
="00878","國泰永續高股息","市","10/09","","21.52","+0.03","+0.14","41,607","896","21.49","21.62","21.66","21.49","0.79","0","0.9949","","","","",""
="006208","富邦台50","市","10/09","","143.85","+1.45","+1.02","9,727","1,401","142.4","143.85","144.5","143.5","0.7","0","0.9961","","","","",""
