"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/17","","226.5","+3.5","+1.57","119,856","27,171","223","224","230","222.5","3.36","17.3","2.15","","","","",""
="2330","台積電","市","10/17","","1450","-35","-2.36","43,865","63,870","1485","1455","1465","1450","1.01","25.8","8.21","","","","",""
="2308","台達電","市","10/17","","999","-26","-2.54","12,959","13,050","1025","1005","1050","996","5.27","59.4","12.23","","","","",""
="2454","聯發科","市","10/17","","1330","0","0","8,663","11,643","1330","1340","1360","1325","2.63","19.9","5.63","","","","",""
="3231","緯創","市","10/17","","136.5","-3","-2.15","65,226","8,906","139.5","136","138","135","2.15","20.1","2.87","","","","",""
="3491","昇達科","櫃","10/17","","443","-12","-2.64","1,118","502","455","453.5","460","443","3.74","58.1","11.83","","","","",""
="3008","大立光","市","10/17","","2210","-35","-1.56","760","1,689","2245","2235","2260","2200","2.67","13","1.66","","","","",""
="3443","創意","市","10/17","","1495","+25","+1.7","2,756","4,096","1470","1465","1510","1445","4.42","55.3","18.55","","","","",""
="3661","世芯-KY","市","10/17","","3085","-10","-0.32","1,689","5,220","3095","3075","3160","3020","4.52","38.9","7.11","","","","",""
="2301","光寶科","市","10/17","","165.5","-3.5","-2.07","25,119","4,176","169","167","169","164","2.96","28.8","4.67","","","","",""
="4967","十銓","市","10/17","","128","-2","-1.54","3,281","418","130","127","128.5","126","1.92","53.3","2.84","","","","",""
="2344","華邦電","市","10/17","","43.95","-0.05","-0.11","456,669","20,183","44","44","44.95","43.55","3.18","","2.26","","","","",""
="2882","國泰金","市","10/17","","65.2","-0.6","-0.91","15,221","995","65.8","65.8","66.1","65.1","1.52","12.5","1.38","","","","",""
="2891","中信金","市","10/17","","42.5","-0.1","-0.23","23,642","1,009","42.6","42.65","43.05","42.5","1.29","12.1","1.93","","","","",""
="2884","玉山金","市","10/17","","32.55","+0.15","+0.46","17,230","560","32.4","32.65","32.65","32.35","0.93","17.2","2.1","","","","",""
="2880","華南金","市","10/17","","29.75","-0.05","-0.17","11,058","330","29.8","29.95","29.95","29.65","1.01","17.4","1.91","","","","",""
="0050","元大台灣50","市","10/17","","62.05","-0.95","-1.51","166,192","10,319","63","62.05","62.3","61.9","0.63","0","1.005","","","","",""
="00878","國泰永續高股息","市","10/17","","21.36","+0.01","+0.05","41,245","883","21.35","21.4","21.49","21.34","0.7","0","0.9977","","","","",""
="006208","富邦台50","市","10/17","","145.1","-2.25","-1.53","10,989","1,597","147.35","145.35","145.65","144.9","0.51","0","1.0019","","","","",""
