"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","226.5","+3.5","+1.57","119,856","10/17","43,437","30,666","+12,771","2,377","3,150","-773","3,477","1,289","+2,187","49,291","35,105","+14,185","＋－＋"
="2330","台積電","1450","-35","-2.36","43,865","10/17","13,239","25,921","-12,682","1,272","708","+564","1,160","1,180","-21","15,671","27,809","-12,138","－＋－"
="2308","台達電","999","-26","-2.54","12,959","10/17","3,950","6,273","-2,324","41","584","-543","294","581","-287","4,285","7,439","-3,154","－－－"
="2454","聯發科","1330","0","0","8,663","10/17","5,703","5,015","+688","83","451","-368","134","108","+26","5,921","5,574","+346","＋－＋"
="3231","緯創","136.5","-3","-2.15","65,226","10/17","23,334","41,899","-18,566","309","642","-333","825","1,534","-710","24,467","44,075","-19,608","－－－"
="3491","昇達科","443","-12","-2.64","1,118","10/17","183","466","-283","0","0","0","72","144","-72","255","611","-355","－－－"
="3008","大立光","2210","-35","-1.56","760","10/17","343","269","+74","1","10","-9","37","47","-9","381","326","+56","＋－－"
="3443","創意","1495","+25","+1.7","2,756","10/17","1,028","746","+282","172","11","+161","169","51","+118","1,369","807","+562","＋＋＋"
="3661","世芯-KY","3085","-10","-0.32","1,689","10/17","657","734","-77","6","80","-74","54","24","+30","717","838","-121","－－＋"
="2301","光寶科","165.5","-3.5","-2.07","25,119","10/17","9,325","12,077","-2,752","127","1,364","-1,237","356","835","-479","9,808","14,276","-4,468","－－－"
="4967","十銓","128","-2","-1.54","3,281","10/17","348","197","+151","0","0","0","166","87","+79","514","284","+230","＋・＋"
="2344","華邦電","43.95","-0.05","-0.11","456,669","10/17","79,056","119,541","-40,486","284","40","+244","8,796","11,964","-3,168","88,136","131,546","-43,410","－＋－"
="2882","國泰金","65.2","-0.6","-0.91","15,221","10/17","7,006","11,507","-4,502","522","1,838","-1,316","500","153","+347","8,028","13,498","-5,471","－－＋"
="2891","中信金","42.5","-0.1","-0.23","23,642","10/17","14,680","10,763","+3,917","81","6,135","-6,054","432","1,347","-915","15,193","18,245","-3,052","＋－－"
="2884","玉山金","32.55","+0.15","+0.46","17,230","10/17","13,389","3,968","+9,421","0","3,555","-3,555","423","101","+322","13,812","7,624","+6,188","＋－＋"
="2880","華南金","29.75","-0.05","-0.17","11,058","10/17","7,879","4,273","+3,606","-1,343","120","0","2,305","1,505","-1,463","8,841","5,898","+2,143","＋・－"
="0050","元大台灣50","62.05","-0.95","-1.51","166,192","10/17","6,889","108,040","-101,150","1,756","4,850","-3,094","10,406","20,571","-10,165","19,051","133,461","-114,410","－－－"
="00878","國泰永續高股息","21.36","+0.01","+0.05","41,245","10/17","6,694","580","+6,114","0","0","0","20,125","2,744","+17,381","26,819","3,324","+23,495","＋・＋"
="006208","富邦台50","145.1","-2.25","-1.53","10,989","10/17","533","5,843","-5,310","0","0","0","1,528","3,078","-1,550","2,061","8,921","-6,860","－・－"
