"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/15","","206.5","+0.5","+0.24","65,965","13,608","206","207.5","208","203","2.43","15.8","1.96","","","","",""
="2330","台積電","市","10/15","","1465","+40","+2.81","45,432","65,812","1425","1435","1465","1425","2.81","26","8.29","","","","",""
="2308","台達電","市","10/15","","1015","+23","+2.32","13,304","13,349","992","1000","1015","987","2.82","60.3","12.43","","","","",""
="2454","聯發科","市","10/15","","1315","+10","+0.77","4,632","6,097","1305","1325","1330","1300","2.3","19.7","5.57","","","","",""
="3231","緯創","市","10/15","","138","0","0","38,560","5,338","138","139","140.5","136.5","2.9","20.3","2.9","","","","",""
="3491","昇達科","櫃","10/15","","434","+9.5","+2.24","1,531","664","424.5","429.5","443.5","425","4.36","57","11.59","","","","",""
="3008","大立光","市","10/15","","2220","-20","-0.89","826","1,830","2240","2250","2250","2195","2.46","13","1.67","","","","",""
="3443","創意","市","10/15","","1475","+30","+2.08","2,664","3,913","1445","1465","1495","1435","4.15","54.6","18.3","","","","",""
="3661","世芯-KY","市","10/15","","3080","+5","+0.16","2,517","7,688","3075","2980","3110","2975","4.39","38.9","7.1","","","","",""
="2301","光寶科","市","10/15","","161.5","+1.5","+0.94","35,671","5,735","160","160.5","163.5","158.5","3.12","28.1","4.55","","","","",""
="4967","十銓","市","10/15","","125.5","+4.5","+3.72","56,217","7,106","121","121.5","133","118.5","12","52.3","2.78","","","","",""
="2344","華邦電","市","10/15","","40","-0.7","-1.72","309,480","12,500","40.7","41.45","41.65","39.3","5.77","","2.05","","","","",""
="2882","國泰金","市","10/15","","66.4","+0.9","+1.37","29,393","1,943","65.5","65.8","66.4","65.4","1.53","12.7","1.41","","","","",""
="2891","中信金","市","10/15","","42.6","+0.25","+0.59","31,234","1,328","42.35","42.4","42.7","42.3","0.94","12.1","1.94","","","","",""
="2884","玉山金","市","10/15","","32.95","+0.15","+0.46","18,437","605","32.8","32.95","33","32.7","0.91","17.4","2.12","","","","",""
="2880","華南金","市","10/15","","29.65","+0.15","+0.51","13,450","397","29.5","29.5","29.65","29.3","1.19","17.3","1.9","","","","",""
="0050","元大台灣50","市","10/15","","61.8","+1.1","+1.81","101,918","6,246","60.7","61","61.8","60.6","1.98","0","0.9992","","","","",""
="00878","國泰永續高股息","市","10/15","","21.19","-0.01","-0.05","41,210","873","21.2","21.22","21.22","21.14","0.38","0","0.9958","","","","",""
="006208","富邦台50","市","10/15","","144.65","+2.85","+2.01","8,771","1,259","141.8","142.1","144.7","141.75","2.08","0","0.997","","","","",""
