"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/14","","206","-7","-3.29","108,702","22,810","213","216","217.5","205","5.87","15.7","1.96","","","","",""
="2330","台積電","市","10/14","","1425","+10","+0.71","44,821","64,625","1415","1455","1460","1420","2.83","25.3","8.07","","","","",""
="2308","台達電","市","10/14","","992","-38","-3.69","21,049","21,396","1030","1050","1060","990","6.8","59","12.14","","","","",""
="2454","聯發科","市","10/14","","1305","-10","-0.76","5,948","7,835","1315","1330","1340","1300","3.04","19.6","5.53","","","","",""
="3231","緯創","市","10/14","","138","-7.5","-5.15","77,131","10,976","145.5","148.5","149.5","137.5","8.25","20.3","2.9","","","","",""
="3491","昇達科","櫃","10/14","","424.5","-27.5","-6.08","2,354","1,034","452","458.5","461","424","8.19","55.7","11.34","","","","",""
="3008","大立光","市","10/14","","2240","-80","-3.45","1,593","3,625","2320","2335","2335","2240","4.09","13.1","1.68","","","","",""
="3443","創意","市","10/14","","1445","-55","-3.67","5,808","8,647","1500","1550","1560","1435","8.33","53.4","17.93","","","","",""
="3661","世芯-KY","市","10/14","","3075","-295","-8.75","5,572","17,500","3370","3145","3295","3035","7.72","38.8","7.09","","","","",""
="2301","光寶科","市","10/14","","160","-8","-4.76","29,250","4,798","168","170.5","171.5","160","6.85","27.8","4.51","","","","",""
="4967","十銓","市","10/14","","121","-4","-3.2","65,302","8,453","125","132","136","120","12.8","50.4","2.68","","","","",""
="2344","華邦電","市","10/14","","40.7","-2.3","-5.35","598,421","25,506","43","44.9","45.55","40.15","12.6","","2.09","","","","",""
="2882","國泰金","市","10/14","","65.5","+0.2","+0.31","25,654","1,697","65.3","65.4","66.9","65.4","2.3","12.6","1.39","","","","",""
="2891","中信金","市","10/14","","42.35","+0.2","+0.47","36,178","1,542","42.15","42.2","43","42.2","1.9","12.1","1.93","","","","",""
="2884","玉山金","市","10/14","","32.8","+0.3","+0.92","31,252","1,027","32.5","32.5","33.1","32.5","1.85","17.4","2.11","","","","",""
="2880","華南金","市","10/14","","29.5","+0.25","+0.85","19,779","584","29.25","29.45","29.6","29.25","1.2","17.2","1.89","","","","",""
="0050","元大台灣50","市","10/14","","60.7","-0.3","-0.49","163,441","10,048","61","61.85","62.15","60.65","2.46","0","1.0018","","","","",""
="00878","國泰永續高股息","市","10/14","","21.2","-0.11","-0.52","55,161","1,179","21.31","21.48","21.55","21.19","1.69","0","0.9995","","","","",""
="006208","富邦台50","市","10/14","","141.8","-0.25","-0.18","12,254","1,762","142.05","144.2","145.1","141.8","2.32","0","0.9977","","","","",""
