"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","244","-4","-1.61","11/07","-427","-1,246","-1,173","-4,257","-4,524","-17,329","+12,040","+88,243","-10,357","+92,849","+208,809","+91,898"
="2330","台積電","1460","-5","-0.34","11/07","+102","+560","+1,099","+2,534","+2,787","+9,235","+3,026","-1,993","+27,854","+64,503","+136,322","+19,842"
="2308","台達電","965","-13","-1.33","11/07","+51","+494","+596","-156","-2,276","-4,284","-2,258","+11,502","+7,470","+2,680","+39,205","+8,422"
="2454","聯發科","1260","-30","-2.33","11/07","+62","+98","+166","-72","-84","-2,815","-7,276","-59,788","-60,586","+8,860","+41,506","-56,314"
="3231","緯創","137.5","-4.5","-3.17","11/07","-180","-1,109","-8,208","-23,788","-23,905","-9,155","-22,921","+761","+26,321","+109,945","+80,546","+57,616"
="3491","昇達科","431","-4","-0.92","11/07","+90","+99","+99","+65","-899","-1,379","-902","-2,415","-1,242","+2,989","-279","-1,727"
="6669","緯穎","4075","-245","-5.67","11/07","+52","+96","+164","+292","+503","+820","-350","+128","+3,649","+1,579","","-1,456"
="3008","大立光","2205","-5","-0.23","11/07","+2","+7","+28","+28","+30","0","-451","-489","-1,078","-299","-1,402","-2,364"
="3443","創意","1720","-15","-0.86","11/07","+11","+165","+185","+991","-19","+367","+742","-927","+12","-10,289","+5,572","-1,796"
="3661","世芯-KY","3565","-105","-2.86","11/07","+103","+390","+311","+525","+898","+148","-1,751","+654","+2,396","-4,921","+5,954","+1,535"
="2301","光寶科","166.5","-2.5","-1.48","11/07","-1,303","-1,542","-2,617","-4,252","-5,221","-15,943","-7,862","-6,563","-25,614","+42,367","+188,922","-4,780"
="4967","十銓","137","-1","-0.72","11/07","0","0","0","-2","+55","+420","+420","+420","+420","+337","","+420"
="2344","華邦電","58.1","-0.9","-1.53","11/07","-120","-2,440","-2,401","-7,390","-12,618","-7,981","+162,316","+172,984","+166,276","+171,914","+173,232","+172,467"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","+23","-821","+186","+1,834","-26","+869","-5,102","-99,466","-153,073","+162,890","","-111,104"
="2408","南亞科","147","-1","-0.68","11/07","+533","+2,065","+3,621","+3,921","+1,649","+43,251","+67,399","+56,114","+75,456","-16,825","+60,860","+77,804"
="2882","國泰金","63.5","-1.2","-1.85","11/07","-325","+168","+451","+991","-2,418","-13,584","+10,534","+1,464,628","+1,467,133","+1,662,682","+1,741,499","+1,461,762"
="2891","中信金","41.9","-0.65","-1.53","11/07","-2,490","-5,851","-5,151","-8,019","-15,044","-57,360","-1,804","+833,213","+1,030,701","+2,722,375","+2,907,697","+987,679"
="2884","玉山金","29.6","-0.35","-1.17","11/07","+1,393","+2,508","+2,508","+1,243","-10,011","-22,152","-44,362","-19,778","-129,185","+283,438","+326,295","+61,995"
="2880","華南金","29.75","+0.15","+0.51","11/07","+373","+787","+2,014","+2,197","+1,047","-372","+32,901","-110,324","+193,036","+483,154","+520,803","-13,554"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","+2,550","-7,250","-6,086","-7,976","+972","+18,077","-25,247","-7,902","+29,852","+90,439","+131,458","+17,376"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","0","0","0","0","+560","+560","+7,170","+7,217","+12,530","+25,048","","+11,030"
="006208","富邦台50","146.25","-2.15","-1.45","11/07","-432","-432","-230","-230","-675","-641","-959","+4,018","+8,615","+9,526","+9,526","+8,216"
