"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","244","-4","-1.61","50,319","11/07","+42","+121","-244","-194","+208","+1,179","+1,118","+1,137","-843","+1,726"
="2330","台積電","1460","-5","-0.34","23,552","11/07","+11","+12","-46","-32","-59","+4","-143","-1,817","-159","-109"
="2308","台達電","965","-13","-1.33","9,673","11/07","+7","+29","-27","-42","-178","-148","+128","+707","+586","+457"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","+5","0","-1","-17","-2","-17","+61","+95","-66","+163"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","-85","+51","+124","+45","+86","-485","+113","-3,473","-348","+77"
="3491","昇達科","431","-4","-0.92","828","11/07","+10","-52","-72","-106","-325","-11","+66","-135","-107","-81"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","+10","+10","+7","+1","+8","+44","+57","+8","+60","-27"
="3008","大立光","2205","-5","-0.23","496","11/07","0","0","-1","-1","-1","-4","+8","-1","+6","-11"
="3443","創意","1720","-15","-0.86","4,858","11/07","-5","+43","+24","+69","+11","+75","+66","-14","+59","-22"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","-38","+35","+22","+14","+30","+43","-336","-33","-66","-300"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","+3","-29","+7","+6","-327","-242","-96","-188","+331","+361"
="4967","十銓","137","-1","-0.72","22,208","11/07","-14","-2","-132","+27","-253","+34","+805","+783","-593","-187"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","-662","-2,043","-3,742","-4,225","-7,225","-5,889","+20,573","+21,062","+21,823","+22,091"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","-28","-72","-279","-430","+116","+472","+550","+700","+562","+206"
="2408","南亞科","147","-1","-0.68","233,103","11/07","-393","+1,269","+1,671","+1,332","+2,601","+9,186","+13,343","+5,270","+19,990","+16,788"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","-27","-19","-25","-19","-2,942","-888","-790","-1,524","-919","-780"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","-2","+3","-5","-12","+9","-35","-400","-989","-155","-231"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","-19","+18","+18","+30","-105","-110","-155","-11","-840","-67"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","0","+1","+1","+1","0","-2","+47","-27","-59","-17"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","+18","+11","-150","-151","-31","+170","+1,214","+771","+1,450","+1,471"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","-7","-6","-11","-6","-15","-21","-20","-95","-12","-30"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","0","-2","-2","-4","-13","-21","-13","-8","-24","-4"
