"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/07","","244","-4","-1.61","50,319","12,386","248","246","250.5","244","2.62","18.6","2.32","","","","",""
="2330","台積電","市","11/07","","1460","-5","-0.34","23,552","34,382","1465","1460","1465","1455","0.68","25.9","8.26","","","","",""
="2308","台達電","市","11/07","","965","-13","-1.33","9,673","9,334","978","960","972","956","1.64","50.2","10.41","","","","",""
="2454","聯發科","市","11/07","","1260","-30","-2.33","8,573","10,899","1290","1285","1295","1260","2.71","18.9","5.34","","","","",""
="3231","緯創","市","11/07","","137.5","-4.5","-3.17","40,659","5,620","142","139.5","141.5","137","3.17","18.8","2.89","","","","",""
="3491","昇達科","櫃","11/07","","431","-4","-0.92","828","356","435","433.5","437","424","2.99","55.8","11.51","","","","",""
="6669","緯穎","市","11/07","","4075","-245","-5.67","2,614","10,874","4320","4280","4340","4075","6.13","21.5","8.33","","","","",""
="3008","大立光","市","11/07","","2205","-5","-0.23","496","1,098","2210","2190","2230","2190","1.81","12.7","1.62","","","","",""
="3443","創意","市","11/07","","1720","-15","-0.86","4,858","8,332","1735","1705","1745","1665","4.61","66.7","19.69","","","","",""
="3661","世芯-KY","市","11/07","","3565","-105","-2.86","3,015","10,840","3670","3625","3680","3505","4.77","44.9","8.22","","","","",""
="2301","光寶科","市","11/07","","166.5","-2.5","-1.48","12,088","2,018","169","168","169","165.5","2.07","26.5","4.52","","","","",""
="4967","十銓","市","11/07","","137","-1","-0.72","22,208","3,060","138","137","143","130.5","9.06","57.3","3.04","","","","",""
="2344","華邦電","市","11/07","","58.1","-0.9","-1.53","22,850","1,335","59","58.5","59.2","57.6","2.71","","2.76","","","","",""
="3711","日月光投控","市","11/07","","228.5","-5.5","-2.35","20,331","4,656","234","231","233","226.5","2.78","29","3.38","","","","",""
="2408","南亞科","市","11/07","","147","-1","-0.68","233,103","34,736","148","148.5","153.5","145","5.74","","2.89","","","","",""
="2882","國泰金","市","11/07","","63.5","-1.2","-1.85","14,973","958","64.7","64.3","64.6","63.5","1.7","11","1.35","","","","",""
="2891","中信金","市","11/07","","41.9","-0.65","-1.53","19,687","830","42.55","42.4","42.5","41.9","1.41","11.6","1.91","","","","",""
="2884","玉山金","市","11/07","","29.6","-0.35","-1.17","77,359","2,303","29.95","29.95","30.1","29.6","1.67","15.8","1.91","","","","",""
="2880","華南金","市","11/07","","29.75","+0.15","+0.51","6,676","199","29.6","29.9","29.9","29.6","1.01","17.5","1.91","","","","",""
="0050","元大台灣50","市","11/07","","62.55","-0.75","-1.18","111,188","6,953","63.3","62.65","62.75","62.4","0.55","","1.003","","","","",""
="00878","國泰永續高股息","市","11/07","","21.33","-0.22","-1.02","74,602","1,593","21.55","21.39","21.4","21.32","0.37","","1.0038","","","","",""
="006208","富邦台50","市","11/07","","146.25","-2.15","-1.45","7,526","1,102","148.4","146.8","146.85","146","0.57","","0.9998","","","","",""
