"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","244","-4","-1.61","50,319","11/07","18,437","17,922","+515","440","867","-427","403","1,962","-1,558","19,281","20,751","-1,470","＋－－"
="2330","台積電","1460","-5","-0.34","23,552","11/07","12,215","15,469","-3,253","139","37","+102","326","624","-298","12,680","16,130","-3,450","－＋－"
="2308","台達電","965","-13","-1.33","9,673","11/07","3,008","4,841","-1,833","78","27","+51","123","303","-180","3,208","5,171","-1,963","－＋－"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","2,045","5,677","-3,632","104","42","+62","295","200","+95","2,445","5,920","-3,475","－＋＋"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","16,579","22,595","-6,016","40","220","-180","349","1,503","-1,154","16,969","24,318","-7,349","－－－"
="3491","昇達科","431","-4","-0.92","828","11/07","253","299","-46","90","0","+90","15","72","-57","358","371","-13","－＋－"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","825","1,365","-540","71","19","+52","46","112","-65","942","1,496","-554","－＋－"
="3008","大立光","2205","-5","-0.23","496","11/07","361","305","+56","2","0","+2","6","3","+3","369","308","+61","＋＋＋"
="3443","創意","1720","-15","-0.86","4,858","11/07","1,386","1,925","-539","12","1","+11","115","155","-41","1,512","2,081","-569","－＋－"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","1,138","1,219","-82","105","2","+103","112","99","+13","1,355","1,320","+35","－＋＋"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","4,944","6,105","-1,161","3","1,306","-1,303","120","334","-214","5,067","7,745","-2,678","－－－"
="4967","十銓","137","-1","-0.72","22,208","11/07","4,762","3,308","+1,454","0","0","0","236","92","+144","4,998","3,400","+1,598","＋・＋"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","9,976","4,096","+5,879","0","120","-120","1,917","1,839","+79","11,893","6,055","+5,838","＋－＋"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","13,467","12,472","+996","237","214","+23","486","587","-101","14,190","13,273","+918","＋＋－"
="2408","南亞科","147","-1","-0.68","233,103","11/07","42,950","69,541","-26,591","586","53","+533","2,824","1,873","+950","46,360","71,467","-25,108","－＋＋"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","5,427","11,546","-6,119","367","692","-325","660","174","+486","6,454","12,412","-5,958","－－＋"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","6,087","12,802","-6,716","347","2,837","-2,490","946","291","+655","7,380","15,931","-8,551","－－＋"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","33,038","62,746","-29,708","1,403","10","+1,393","269","589","-320","34,710","63,346","-28,635","－＋－"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","5,429","3,240","+2,189","431","58","+373","190","124","+66","6,050","3,422","+2,628","＋＋＋"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","624","60,974","-60,350","2,550","0","+2,550","12,616","22,974","-10,358","15,790","83,948","-68,158","－＋－"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","1,628","23,420","-21,792","0","0","0","5,879","34,513","-28,634","7,507","57,933","-50,426","－・－"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","311","1,611","-1,300","0","432","-432","2,251","3,254","-1,003","2,562","5,297","-2,735","－－－"
