"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","244","-4","-1.61","50,319","11/07","246.9↘","251↗","246.4↗","238.3↗","223.5↗","220.2↗","199.3↗","191.8↗","179.3↗","181.5↗"
="2330","台積電","1460","-5","-0.34","23,552","11/07","1480↘","1486↗","1479↘","1471↗","1344↗","1315↗","1233↗","1193↗","1111↗","1102↗"
="2308","台達電","965","-13","-1.33","9,673","11/07","973.6↘","1008↘","1009↘","1010↘","895.2↗","856.6↗","711.2↗","656.5↗","544.1↗","521.3↗"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","1299↘","1306↘","1313↘","1316↘","1366↘","1368↘","1357↗","1346↘","1377↘","1373↗"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","139.9↘","145.2↘","144↘","143.6↘","131.8↗","129.1↗","125.5↗","123.6↗","116↗","115.3↗"
="3491","昇達科","431","-4","-0.92","828","11/07","427.8↘","431↘","438.7↘","440.8↘","435.3↗","420.5↗","387.4↗","378.8↗","390↗","378.7↗"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","4235↘","4209↘","4133↗","3998↗","3488↗","3442↗","3101↗","2988↗","2605↗","2568↗"
="3008","大立光","2205","-5","-0.23","496","11/07","2215↘","2219↘","2230↘","2247↘","2317↘","2327↘","2332↘","2325↘","2383↘","2405↘"
="3443","創意","1720","-15","-0.86","4,858","11/07","1655↗","1580↗","1585↗","1559↗","1428↗","1390↗","1320↗","1289↗","1248↗","1254↗"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","3494↗","3370↗","3316↗","3294↗","3552↘","3628↘","3549↗","3424↗","3172↗","3103↗"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","170.9↘","178↘","174.3↘","172.2↘","161.6↗","156.3↗","140.8↗","134.7↗","121.3↗","118.2↗"
="4967","十銓","137","-1","-0.72","22,208","11/07","135.2↗","133.2↗","131.5↗","129.4↗","101.2↗","96.38↗","87.2↗","84.91↗","83.18↗","83.21↗"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","56.6↗","55.13↗","51.86↗","49.46↗","36.84↗","33.76↗","27.64↗","26.03↗","22.38↗","21.3↗"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","236.5↘","228.2↗","217.4↗","207.6↗","181.6↗","175.8↗","165.2↗","161.3↗","158.4↗","158.5↗"
="2408","南亞科","147","-1","-0.68","233,103","11/07","140.3↗","135.2↗","125.8↗","117.6↗","86.01↗","79.41↗","66.64↗","63.49↗","52.54↗","49.15↗"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","64.16↘","64.47↘","64.82↘","65.08↘","64.81↘","64.7↘","64.15↘","64.22↗","63.53↘","64.3↘"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","42.23↗","42.15↘","42.18↘","42.25↘","42.38↘","42.47↘","42.73↘","42.62↘","41.29↗","40.86↗"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","30.06↘","30.04↘","30.86↘","31.33↘","32.61↘","32.83↘","32.96↘","32.56↘","31↗","30.39↗"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","29.61↗","29.53↘","29.6↘","29.58↗","29.26↗","29.08↗","28.73↗","28.41↗","28.03↗","27.75↗"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","63.42↘","63.78↗","63.41↘","62.96↗","58.71↗","57.71↗","55.93↘","76.7↘","119.2↘","131.7↘"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","21.52↘","21.62↘","21.57↘","21.51↘","21.16↗","21.1↗","21.08↗","21↗","21.16↘","21.33↘"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","148.4↘","149.4↗","148.4↘","147.3↗","137.2↗","134.9↗","127.4↗","124.1↗","117.1↗","116.4↗"
