"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","244","-4","-1.61","11/07","+515","+1,628","-11,589","-9,709","+14,616","+91,553","+770,559","+939,489","+35,725","-449,347","-1,602,616","+387,167"
="2330","台積電","1460","-5","-0.34","11/07","-3,253","-5,350","-36,151","-29,717","-40,466","-99,573","-76,701","+237,824","-22,082","+733,876","-893,654","+339"
="2308","台達電","965","-13","-1.33","11/07","-1,833","-3,078","-3,788","-10,498","-22,515","-27,813","-62,247","+302","-12,898","-18,080","-129,606","-32,905"
="2454","聯發科","1260","-30","-2.33","11/07","-3,632","-6,848","-5,915","-5,373","-8,344","-16,316","-34,654","-19,662","-25,489","-49,986","-20,406","-33,726"
="3231","緯創","137.5","-4.5","-3.17","11/07","-6,016","-3,119","-2,401","-9,406","-4,134","-97,311","-19,513","+74,625","-26,235","-63,966","-40,657","-481"
="3491","昇達科","431","-4","-0.92","11/07","-46","+282","+218","-107","+84","+987","+4,245","-1,357","+1,393","+7,676","+8,562","+1,756"
="6669","緯穎","4075","-245","-5.67","11/07","-540","-696","-985","-1,000","-1,346","-1,031","-2,753","+4,788","-1,929","-706","","-337"
="3008","大立光","2205","-5","-0.23","11/07","+56","-16","-93","-123","-606","-1,544","-1,113","-3,343","-2,239","-5,454","-22,914","-1,168"
="3443","創意","1720","-15","-0.86","11/07","-539","-311","-937","-441","-666","+4,052","+7,722","+6,633","+7,093","-8,189","+28,504","+7,047"
="3661","世芯-KY","3565","-105","-2.86","11/07","-82","+464","+254","-81","-221","-1,260","-4,041","-915","+2,577","+1,970","+4,553","-5,446"
="2301","光寶科","166.5","-2.5","-1.48","11/07","-1,161","-3,263","-2,461","-5,386","-28,578","-31,366","-43,452","+12,146","+80,137","-373,206","-385,156","+60,599"
="4967","十銓","137","-1","-0.72","11/07","+1,454","+326","+854","-1,654","-2,408","+5,641","+6,584","+7,025","+5,499","+3,037","","+6,625"
="2344","華邦電","58.1","-0.9","-1.53","11/07","+5,879","+10,780","+18,133","+32,704","+54,571","+169,725","+491,039","+535,749","+401,283","-64,589","+331,647","+445,863"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","+996","+3,636","+9,915","+19,897","+52,110","+103,380","+158,521","+133,148","+120,648","+193,310","","+88,749"
="2408","南亞科","147","-1","-0.68","11/07","-26,591","-23,349","-32,296","-44,477","-44,369","-26,427","+185,899","+246,945","+161,797","-23,409","-126,377","+160,838"
="2882","國泰金","63.5","-1.2","-1.85","11/07","-6,119","-4,493","-9,257","-7,790","-16,918","+6,204","+65,724","-1,001,047","-1,068,532","-311,051","-988,467","-1,109,153"
="2891","中信金","41.9","-0.65","-1.53","11/07","-6,716","+8,546","+6,879","+14,882","+501","-26,787","-65,121","-96,638","+258,942","-1,366,174","-1,538,062","+20,416"
="2884","玉山金","29.6","-0.35","-1.17","11/07","-29,708","-71,683","-71,683","-54,031","-282,593","-271,098","-234,900","+112,226","+469,705","+174,957","-2,579,976","+350,940"
="2880","華南金","29.75","+0.15","+0.51","11/07","+2,189","+2,309","+2,483","+5,865","+14,556","+38,004","+87,297","+129,067","+12,466","-141","+54,443","+148,743"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","-60,350","-78,350","-180,139","-261,452","-350,427","-919,350","-1,449,384","-1,927,892","-2,500,139","-2,333,418","-2,761,237","-2,425,078"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","-21,792","-18,333","-62,539","-101,420","-81,143","-73,943","+130,496","+156,226","-558,786","-1,638,189","","-249,217"
="006208","富邦台50","146.25","-2.15","-1.45","11/07","-1,300","-4,376","-9,640","-14,423","-14,969","-28,165","-2,879","+110,843","+12,086","-132,247","-199,519","+56,114"
