"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","244","-4","-1.61","11/07","45.1↘","54.8↘","68.8↘","71.3↘","73.7↘","69.6↘","76.1↗","71.6↗","86.1↗","70.4↗"
="2330","台積電","1460","-5","-0.34","11/07","39.6↘","53.9↘","76.6↘","77.6↘","81.1↘","77.5↘","84.3↗","80.8↗","91.4↗","88.7↗"
="2308","台達電","965","-13","-1.33","11/07","33↘","46.8↘","71↘","78.5↘","87.3↘","83.1↘","91.1↗","86.4↗","97.1↗","91.6↗"
="2454","聯發科","1260","-30","-2.33","11/07","28.3↘","35.5↘","30.5↘","39.4↘","41.2↘","51.5↘","56.7↘","59.8↘","65.1↘","63.5↘"
="3231","緯創","137.5","-4.5","-3.17","11/07","36.2↘","44.8↘","51.9↘","56.4↘","61.5↘","61.8↘","75.6↘","74.7↘","91.2↗","80.2↗"
="3491","昇達科","431","-4","-0.92","11/07","47.2↘","47.3↘","51.6↘","56.6↘","63.5↘","64.1↘","78.9↘","77.1↘","85.2↗","81.5↗"
="6669","緯穎","4075","-245","-5.67","11/07","43.5↘","55.8↘","68.5↘","69.7↘","76.7↘","72.3↘","74.9↗","72.3↗","94.5↗",""
="3008","大立光","2205","-5","-0.23","11/07","38.6↘","40.3↘","36.5↘","41.3↘","34↘","43.7↘","39.3↘","44.1↘","44.6↘","51.2↘"
="3443","創意","1720","-15","-0.86","11/07","71.1↘","66.9↘","76.6↗","71.4↗","77.3↗","65.2↗","65.5↗","63.8↗","79.9↗","79.8↗"
="3661","世芯-KY","3565","-105","-2.86","11/07","62.4↘","57.3↘","54.5↗","53.4↗","58↗","57.9↗","68.1↗","67.9↗","94.1↗","93.3"
="2301","光寶科","166.5","-2.5","-1.48","11/07","32.9↘","44.7↘","57.1↘","64.3↘","74.1↘","70.4↘","79.5↘","76.2↘","84.5↗","76.3↗"
="4967","十銓","137","-1","-0.72","11/07","59.6↘","63.4↘","93.8↗","86↗","84.6↗","71.1↗","70.6↗","66.3↗","84.9↗",""
="2344","華邦電","58.1","-0.9","-1.53","11/07","70.2↘","72.4↘","95.8↗","91.5↗","90.9↗","81.6↗","83.5↗","73.6↗","70.7↗","62.3↗"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","56.5↘","66↘","74.8↘","73.9↘","74.3↘","70.2↘","83.2↗","76.8↗","89.3↗",""
="2408","南亞科","147","-1","-0.68","11/07","80↘","79.6↘","94.1↗","88.2↗","92.2↗","82.7↗","81.8↗","71.3↗","68.7↗","64.3↗"
="2882","國泰金","63.5","-1.2","-1.85","11/07","32.2↘","37.7↘","40.5↘","47.9↘","53.7↘","56.7↘","61.7↘","60↘","58.5↘","47.6↘"
="2891","中信金","41.9","-0.65","-1.53","11/07","40.5↘","43.6↘","41.4↗","48.9↗","60.7↗","65↗","72↘","69.7↘","79.1↗","61.6↗"
="2884","玉山金","29.6","-0.35","-1.17","11/07","23.3↘","26.9↘","18↘","34.2↘","43.8↘","51.7↘","52.6↘","55.4↘","68.9↗","62.2↗"
="2880","華南金","29.75","+0.15","+0.51","11/07","62.1↗","58.1↗","61.9↗","60.4↗","69.9↗","67.3↗","80.2↗","72.6↗","71.8↗","42.5↗"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","36.5↘","52.5↘","50.5↘","32.4↘","24.3↘","28.9↘","28.9↗","36.9↗","39.9↘","45.9↘"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","29.9↘","43↘","51.7↘","52.5↘","50.3↘","51.1↘","55.7↘","61.6↘","70.5",""
="006208","富邦台50","146.25","-2.15","-1.45","11/07","37.3↘","52.1↘","70.6↘","74.6↘","77.1↘","74.7↘","83.7↗","78.9↗","87.5↗","85.5↗"
