"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","244","-4","-1.61","11/07","8.45↘","9.14↘","-1.37↘","19.6↗","14.8↗","9.48↘","23.2↗","17.6↗","11.2↗"
="2330","台積電","1460","-5","-0.34","11/07","37.2↘","47.9↘","-21.4↘","116↗","89.9↗","51.9↘","173↗","136↗","74↗"
="2308","台達電","965","-13","-1.33","11/07","22.9↘","39.6↘","-33.4↘","151↘","129↗","44.9↘","135↗","71.6↗","126↗"
="2454","聯發科","1260","-30","-2.33","11/07","-18.3↘","-17.5↘","-1.58↘","-11.8↘","-0.15↘","-23.2↘","95.6↘","119↘","-46.2↘"
="3231","緯創","137.5","-4.5","-3.17","11/07","2.05↘","3.89↘","-3.68↘","8.63↘","6.55↗","4.16↘","13.9↗","12.4↗","2.99↗"
="3491","昇達科","431","-4","-0.92","11/07","-2.38↘","0.78↘","-6.31↗","22.8↘","18.6↗","8.41↘","57.2↗","54.7↗","5.03↘"
="6669","緯穎","4075","-245","-5.67","11/07","233↘","245↘","-23.7↘","434↗","326↗","216↘","514↗","338↗","352↗"
="3008","大立光","2205","-5","-0.23","11/07","-35↗","-32.9↘","-4.31↗","-34.9↘","-23.3↘","-23.2↘","-38.1↘","-4.25↘","-67.6↘"
="3443","創意","1720","-15","-0.86","11/07","69.9↗","59.1↗","21.7↗","102↗","62↗","79↗","81.2↗","56.7↗","48.9↗"
="3661","世芯-KY","3565","-105","-2.86","11/07","2.89↗","-58.1↗","122↗","91.3↘","166↘","-149↗","371↘","344↗","54.1↘"
="2301","光寶科","166.5","-2.5","-1.48","11/07","2.61↘","4.53↘","-3.85↘","17.6↘","15↗","5.24↘","16.5↗","9.43↗","14.1↗"
="4967","十銓","137","-1","-0.72","11/07","9.85↘","10.7↘","-1.79↗","12.7↗","5.71↗","14↗","7.56↗","5.08↗","4.98↗"
="2344","華邦電","58.1","-0.9","-1.53","11/07","5.99↗","5.75↗","0.49↘","8.51↗","5.1↗","6.82↗","3.83↗","-0.09↗","7.85↗"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","17.4↘","15.3↗","4.22↘","16.7↗","8.2↗","17.1↗","18↗","12.1↗","11.7↗"
="2408","南亞科","147","-1","-0.68","11/07","17.1↗","15.5↗","3.23↗","20.5↗","11.9↗","17.3↗","8.93↗","-1.47↗","20.8↗"
="2882","國泰金","63.5","-1.2","-1.85","11/07","-0.29↘","-0.1↘","-0.38↘","0.5↘","0.47↗","0.08↘","3.26↘","3.66↘","-0.8↘"
="2891","中信金","41.9","-0.65","-1.53","11/07","-0.11↘","-0.11↗","0.01↘","0.43↘","0.65↘","-0.43↘","3.67↘","3.73↘","-0.12↘"
="2884","玉山金","29.6","-0.35","-1.17","11/07","-0.84↘","-0.74↘","-0.2↗","0.2↘","0.76↘","-1.12↘","1.36↘","1.15↗","0.41↘"
="2880","華南金","29.75","+0.15","+0.51","11/07","0.09↗","0.1↘","-0.03↗","0.58↘","0.54↗","0.07↘","1.6↗","1.45↗","0.3↗"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","1.28↘","1.59↘","-0.63↘","-18.8↗","-24.4↗","11.2↗","-22↘","-6.68↘","-30.6↗"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","0.08↘","0.13↘","-0.08↘","0.08↗","-0.03↗","0.21↘","0.22↘","0.43↘","-0.41↗"
="006208","富邦台50","146.25","-2.15","-1.45","11/07","3.23↘","4.05↘","-1.64↘","9.76↗","7.6↗","4.31↘","14↗","10.8↗","6.24↗"
