"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","244","-4","-1.61","50,319","11/07","25↘","40↘","53.9↘","12.1↘","","",""
="2330","台積電","市","1460","-5","-0.34","23,552","11/07","7.14↘","32.8↘","53↘","-7.51↘","76.5↘","2日前",""
="2308","台達電","市","965","-13","-1.33","9,673","11/07","22.6↘","23.6↘","28↘","15↗","","",""
="2454","聯發科","市","1260","-30","-2.33","8,573","11/07","0↘","27.2↘","36.3↘","9.1↘","40.8↘","今日",""
="3231","緯創","市","137.5","-4.5","-3.17","40,659","11/07","22.4↘","31.2↘","39.8↘","13.8↘","","",""
="3491","昇達科","櫃","431","-4","-0.92","828","11/07","50.6↘","40↗","32.7↗","54.6↗","27.2↗","1日前",""
="6669","緯穎","市","4075","-245","-5.67","2,614","11/07","23.1↘","58.9↘","72.7↘","31.3↘","","",""
="3008","大立光","市","2205","-5","-0.23","496","11/07","42.3↘","35.9↗","30.7↗","46.3↗","25.5↗","2日前",""
="3443","創意","市","1720","-15","-0.86","4,858","11/07","87.1↘","74.2↗","61.3↗","99.8↗","","",""
="3661","世芯-KY","市","3565","-105","-2.86","3,015","11/07","82.6↘","81.7↗","75.7↗","93.9↘","","",""
="2301","光寶科","市","166.5","-2.5","-1.48","12,088","11/07","7.58↘","21.7↘","36↘","-7.01↘","","",""
="4967","十銓","市","137","-1","-0.72","22,208","11/07","73.1↘","65.4↗","61.2↗","73.6↗","58.7↗","1日前",""
="2344","華邦電","市","58.1","-0.9","-1.53","22,850","11/07","89.6↘","89.5↗","87.4↗","93.6↘","85.2↗","1日前",""
="3711","日月光投控","市","228.5","-5.5","-2.35","20,331","11/07","57↘","71.2↘","80.5↘","52.6↘","","",""
="2408","南亞科","市","147","-1","-0.68","233,103","11/07","79.4↘","83.6↘","84.3↘","82.2↘","84.4↘","今日","是"
="2882","國泰金","市","63.5","-1.2","-1.85","14,973","11/07","0↘","17.9↘","20.4↘","12.9↘","20.8↘","今日",""
="2891","中信金","市","41.9","-0.65","-1.53","19,687","11/07","13.6↘","29.5↘","28.7↗","31.1↘","28.8↘","即將交叉",""
="2884","玉山金","市","29.6","-0.35","-1.17","77,359","11/07","8.33↘","16.8↘","18.1↘","14.2↘","18.4↘","今日",""
="2880","華南金","市","29.75","0.15","+0.51","6,676","11/07","76.5↗","58.9↗","49.5↗","77.8↗","40↗","2日前",""
="0050","元大台灣50","市","62.55","-0.75","-1.18","111,188","11/07","9.8↘","42.9↘","63.3↘","2.13↘","","",""
="00878","國泰永續高股息","市","21.33","-0.22","-1.02","74,602","11/07","18.7↘","41.4↘","53.8↘","16.5↘","","",""
="006208","富邦台50","市","146.25","-2.15","-1.45","7,526","11/07","4.17↘","40.4↘","61.8↘","-2.55↘","","",""
