代號,名稱,市場,成交,漲跌價,漲跌幅,成交張數,昨收,最高,最低,PER,PBR,K值(日),D值(日),J值(日),KD近期交叉時間(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),+DI(日),-DI(日),ADX(日),布林%b,布林中軌,布林上軌,布林下軌,5日均線,20日均線,60日均線,外資5日累計,外資1月累計,投信5日累計,投信1月累計,技術評分,評分原因,關鍵訊號,趨勢強度,漲跌幅數值
2317,鴻海,市,239.0,-3.5,-1.44,"50,956",242.5,240.5,238.0,18.2,2.27,81.7↗,71.4↗,102↘,,68.3↘,64.8↘,6.66↗,4.98↗,3.35↗,38.3↘,17.5↘,27.1↗,0.87↘,224.5↗,244.2↗,204.7↗,237.1↗,224.5↗,209↗,"+68,532","+149,243","-3,815","+9,369",8.2,KD多頭 | RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林偏強 | 均線多排,✨完美均線,極強,-1.44
2880,華南金,市,29.85,0.05,0.17,"11,264",29.8,29.9,29.7,17.6,1.91,83↗,79.3↗,90.3↗,,72↗,65.5↗,0.19↗,0.17↗,0.05↗,23.3↘,18.8↘,15.6↘,0.89↘,29.45↗,29.96↗,28.95↗,29.75↗,29.45↗,29.03↗,"+14,122","+27,086","-2,355","+9,496",6.7,KD多頭 | RSI偏強 | MACD多頭 | DMI轉多 | 布林偏強 | 均線多排,✨完美均線,強勢,0.17
3443,創意,市,1615.0,-50.0,-3.0,"3,837",1665.0,1645.0,1585.0,59.7,20.03,76.3↘,76.4↘,76.3↘,今日,67.7↘,68.3↘,76.5↗,55.9↗,41.2↘,38.4↘,13.7↗,34.7↗,0.86↘,1443↗,1679↗,1208↗,1595↗,1443↗,1333↗,"+2,126","+6,768",+112,+538,6.7,RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林偏強 | 均線多排,✨完美均線,強勢,-3.0
00878,國泰永續高股息,市,21.51,-0.01,-0.05,"23,005",21.52,21.52,21.43,,0.9949,69.7↗,59.9↗,89.3↗,,67.1↘,63.7↘,0.12↘,0.12↘,-0.01↘,36.6↘,22.8↘,22.8↗,0.81↘,21.37↗,21.59↗,21.15↘,21.47↗,21.37↗,21.02↗,"+28,720","+93,019",0,0,6.5,KD多頭 | RSI強勢 | DMI多頭 | 布林強勢 | 均線多排,✨完美均線,強勢,-0.05
0050,元大台灣50,市,62.35,-0.35,-0.56,"166,688",62.7,62.4,61.75,,1.0037,79.2↘,84.3↘,69.1↘,1日前,57.6↘,65.3↘,1.74↘,1.7↗,0.08↘,42.2↘,24.2↗,37↘,0.73↘,60.59↗,64.47↗,56.71↗,62.68↘,60.59↗,55.67↗,"-350,646","-801,171","+6,906","+20,441",6.2,RSI強勢 | MACD多頭 | DMI強勢多頭 | 布林強勢 | 站穩月線,,強勢,-0.56
3231,緯創,市,143.0,-0.5,-0.35,"53,129",143.5,148.0,141.5,19.5,3.01,41.8↗,37.1↗,51.1↗,1日前,55.6↘,59.1↘,4.86↘,5.8↘,-1.89↗,35.2↗,17↘,36.9↘,0.56↘,140.6↗,160↘,121.3↗,141.5↗,140.6↗,125.4↗,"-61,759","+9,936","+10,548","+52,630",6.0,KD黃金交叉 | RSI強勢 | DMI強勢多頭 | 布林強勢 | 均線多排,✨完美均線,強勢,-0.35
2912,統一超,市,248.0,0.5,0.2,731,247.5,248.0,246.0,23.1,7.31,72.3↗,47.4↗,122↗,,67.7↗,54.5↗,-1.78↗,-2.26↗,0.95↗,17.5↘,18↘,30.7↘,0.65↗,246.2↘,252.5↘,239.8↗,245.1↗,246.2↘,251.8↘,"+2,975",-597,"-2,510","-3,553",5.2,KD轉多 | RSI強勢 | MACD轉多 | 布林強勢 | 站穩月線,KD黃金交叉 / MACD黃金交叉,偏多,0.2
2308,台達電,市,1010.0,-10.0,-0.98,"5,326",1020.0,1020.0,1000.0,60.0,12.36,57.4↘,65.5↘,41.1↘,,58.7↘,66.2↘,58.2↘,62.5↘,-8.68↘,36.4↘,7.73↘,59.4↗,0.7↘,958.5↗,1086↗,830.8↗,1013↘,958.5↗,787.8↗,-476,"-10,016","-1,403","-3,569",4.7,RSI強勢 | DMI強勢多頭 | 布林強勢 | 站穩月線,,偏多,-0.98
2330,台積電,市,1450.0,-10.0,-0.68,"26,135",1460.0,1455.0,1435.0,25.8,8.21,68.9↘,76.9↘,53.1↘,,53.7↘,62.5↘,56.9↘,58.5↘,-3.25↘,42.5↘,22.6↗,47.2↘,0.68↘,1405↗,1528↗,1282↗,1464↘,1405↗,1260↗,"-30,601","-80,193","+4,055","+6,360",4.7,RSI強勢 | DMI強勢多頭 | 布林強勢 | 站穩月線,,偏多,-0.68
006208,富邦台50,市,145.7,-1.15,-0.78,"6,382",146.85,146.05,144.5,,0.9999,78.7↘,83.8↘,68.6↘,1日前,57.5↘,65.1↘,4.47↘,4.49↘,-0.04↘,43.8↘,21.9↗,46↘,0.73↘,141.5↗,150.8↗,132.1↗,146.5↘,141.5↗,130.1↗,"-8,454","-7,064",0,+283,4.7,RSI強勢 | DMI強勢多頭 | 布林強勢 | 站穩月線,,偏多,-0.78
