"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","244","-7.5","-2.98","11/04","-110","-3,426","-5,601","-3,425","-6,306","-17,284","+17,176","+88,967","-6,286","+91,521","+209,513","+92,729"
="2330","台積電","1505","-5","-0.33","11/04","+940","+1,437","+1,729","+1,779","+4,104","+8,139","+901","-2,713","+28,136","+63,738","+135,093","+18,744"
="2308","台達電","975","-8","-0.81","11/04","+87","-738","-2,147","-3,298","-3,282","-4,737","-1,817","+11,805","+6,881","+1,696","+38,623","+7,841"
="2454","聯發科","1315","+15","+1.15","11/04","+33","-190","-294","-603","-922","-3,087","-7,590","-60,569","-59,852","+9,429","+41,405","-56,432"
="3231","緯創","139","-4.5","-3.14","11/04","-5,804","-15,579","-19,563","-18,357","-10,426","-2,306","-26,072","+9,829","+45,289","+117,647","+88,755","+65,825"
="3491","昇達科","420.5","-10","-2.32","11/04","0","-34","-34","-596","-1,043","-1,464","-1,010","-3,348","-1,339","+2,890","-453","-1,826"
="6669","緯穎","4300","-15","-0.35","11/04","+71","+95","+139","+285","+586","+546","-277","+124","+3,366","+1,406","","-1,653"
="3008","大立光","2215","-30","-1.34","11/04","+1","0","+1","+2","+29","-30","-529","-581","-1,101","-247","-1,641","-2,392"
="3443","創意","1635","+55","+3.48","11/04","+355","+745","+845","+631","-311","+243","+188","-1,155","+387","-9,557","+5,326","-2,043"
="3661","世芯-KY","3445","-5","-0.14","11/04","+94","+192","+573","+613","+542","-232","-2,167","+474","+2,521","-4,858","+5,620","+1,202"
="2301","光寶科","170","-10","-5.56","11/04","-899","-1,635","-2,861","-3,986","-5,760","-14,526","+6,898","-4,998","-22,395","+44,075","+191,539","-2,163"
="4967","十銓","126.5","-14","-9.96","11/04","-1","-2","-2","-2","+221","+420","+420","+420","+420","+338","","+420"
="2344","華邦電","53.3","-3.3","-5.83","11/04","-2,294","-4,989","-7,831","-10,261","-10,081","-797","+164,722","+175,376","+168,701","+174,315","+175,633","+174,868"
="3711","日月光投控","239","-7","-2.85","11/04","+1,224","+1,648","+1,387","+343","+2,150","-521","-5,119","-100,420","-153,211","+162,593","","-111,289"
="2408","南亞科","131.5","-5.5","-4.01","11/04","+75","+301","-5,818","-5,374","+1,952","+39,481","+60,495","+52,477","+71,847","-18,810","+57,239","+74,183"
="2882","國泰金","64.6","+0.7","+1.1","11/04","+449","+540","-20","-3,213","-7,330","-20,344","+18,613","+1,458,652","+1,467,873","+1,663,765","+1,740,977","+1,461,311"
="2891","中信金","42.4","+0.35","+0.83","11/04","-1,472","-2,868","-528","-4,875","-30,278","-61,282","+8,642","+814,030","+1,049,438","+2,730,305","+2,912,520","+992,830"
="2884","玉山金","30.3","+0.15","+0.5","11/04","-418","-1,265","+186","-6,222","-18,461","-25,170","-43,165","-22,148","-132,751","+280,926","+323,787","+59,487"
="2880","華南金","29.6","+0.2","+0.68","11/04","+197","+183","+125","+93","-3,104","-2,491","+32,407","-113,833","+195,079","+481,140","+518,789","-15,568"
="0050","元大台灣50","63.95","-0.2","-0.31","11/04","-290","-1,890","-2,042","-642","+13,058","+26,313","-21,261","-1,416","+35,893","+96,692","+137,579","+23,462"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/04","0","0","0","+560","+560","+560","+7,170","+7,217","+15,060","+25,048","","+11,030"
="006208","富邦台50","149.75","-0.45","-0.3","11/04","0","0","-200","-265","-445","-256","-729","+4,248","+8,845","+9,756","+9,756","+8,446"
