"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","244","-7.5","-2.98","11/04","10.5↘","9.27↗","2.48↘","19.7↗","14.9↗","9.71↘","23.4↗","17.7↗","11.5↗"
="2330","台積電","1505","-5","-0.33","11/04","51.2↘","54.5↘","-6.61↘","118↗","90.4↗","55.9↘","175↗","136↗","78↗"
="2308","台達電","975","-8","-0.81","11/04","38.2↘","51.8↘","-27.2↘","152↘","129↗","46.9↘","136↗","71.8↗","128↗"
="2454","聯發科","1315","+15","+1.15","11/04","-17.2↗","-18.2↗","2↗","-9.26↘","0.35↘","-19.2↘","98.1↘","119↘","-42.2↘"
="3231","緯創","139","-4.5","-3.14","11/04","4.21↘","5.17↘","-1.92↘","8.83↘","6.59↗","4.48↘","14.1↗","12.4↗","3.31↗"
="3491","昇達科","420.5","-10","-2.32","11/04","-0.79↘","3.71↘","-9↘","22.6↘","18.5↗","8.09↘","57↗","54.6↗","4.71↘"
="6669","緯穎","4300","-15","-0.35","11/04","272↗","245↗","54.7↘","447↗","328↗","237↗","527↗","340↗","373↗"
="3008","大立光","2215","-30","-1.34","11/04","-33↗","-30.6↘","-4.83↗","-33.4↘","-23↘","-20.8↘","-36.6↘","-3.95↘","-65.2↘"
="3443","創意","1635","+55","+3.48","11/04","53.7↗","54.6↘","-1.76↗","97.4↗","61.2↗","72.3↗","77↗","55.9↗","42.2↗"
="3661","世芯-KY","3445","-5","-0.14","11/04","-45.3↗","-99.7↗","109↗","87↘","165↘","-155↗","366↘","343↗","47.2↘"
="2301","光寶科","170","-10","-5.56","11/04","5.3↘","5.69↘","-0.79↘","17.8↘","15↗","5.65↘","16.7↗","9.48↗","14.5↗"
="4967","十銓","126.5","-14","-9.96","11/04","10.8↘","11.5↘","-1.23↘","12.5↗","5.66↗","13.6↘","7.31↗","5.03↗","4.58↗"
="2344","華邦電","53.3","-3.3","-5.83","11/04","5.96↘","5.57↗","0.78↘","8.38↗","5.08↗","6.6↗","3.7↗","-0.12↗","7.63↗"
="3711","日月光投控","239","-7","-2.85","11/04","18.1↗","12.8↗","10.5↘","17.4↗","8.32↗","18.1↗","18.6↗","12.2↗","12.7↗"
="2408","南亞科","131.5","-5.5","-4.01","11/04","16.3↘","14.3↗","3.97↘","19.9↗","11.8↗","16.3↗","8.33↗","-1.59↗","19.8↗"
="2882","國泰金","64.6","+0.7","+1.1","11/04","-0.17↘","0.05↘","-0.45↗","0.54↘","0.47↗","0.14↘","3.3↘","3.67↘","-0.74↘"
="2891","中信金","42.4","+0.35","+0.83","11/04","-0.14↗","-0.12↘","-0.05↗","0.45↘","0.65↘","-0.41↗","3.68↘","3.73↘","-0.1↘"
="2884","玉山金","30.3","+0.15","+0.5","11/04","-0.85↗","-0.65↘","-0.4↗","0.22↘","0.76↘","-1.08↘","1.38↘","1.16↗","0.45↘"
="2880","華南金","29.6","+0.2","+0.68","11/04","0.07↘","0.12↘","-0.1↗","0.57↘","0.54↗","0.05↘","1.59↗","1.45↗","0.28↘"
="0050","元大台灣50","63.95","-0.2","-0.31","11/04","1.72↘","1.76↘","-0.08↘","-18.7↗","-24.4↗","11.3↗","-21.9↘","-6.66↘","-30.4↗"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/04","0.15↘","0.15↗","0↘","0.1↗","-0.02↗","0.24↘","0.24↗","0.43↘","-0.39↗"
="006208","富邦台50","149.75","-0.45","-0.3","11/04","4.36↘","4.51↘","-0.31↘","9.97↗","7.65↗","4.65↘","14.2↗","10.9↗","6.58↗"
