"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/04","","244","-7.5","-2.98","90,514","22,485","251.5","252","255","244","4.37","18.6","2.32","","","","",""
="2330","台積電","市","11/04","","1505","-5","-0.33","33,795","50,964","1510","1520","1525","1495","1.99","26.7","8.52","","","","",""
="2308","台達電","市","11/04","","975","-8","-0.81","17,518","17,355","983","980","1010","975","3.56","50.7","10.52","","","","",""
="2454","聯發科","市","11/04","","1315","+15","+1.15","6,296","8,223","1300","1290","1315","1285","2.31","19.7","5.57","","","","",""
="3231","緯創","市","11/04","","139","-4.5","-3.14","52,505","7,436","143.5","143","145","139","4.18","19","2.92","","","","",""
="3491","昇達科","櫃","11/04","","420.5","-10","-2.32","902","384","430.5","432","433","420.5","2.9","54.5","11.23","","","","",""
="6669","緯穎","市","11/04","","4300","-15","-0.35","879","3,801","4315","4330","4375","4285","2.09","22.6","8.79","","","","",""
="3008","大立光","市","11/04","","2215","-30","-1.34","304","676","2245","2260","2260","2205","2.45","13","1.66","","","","",""
="3443","創意","市","11/04","","1635","+55","+3.48","8,101","13,396","1580","1615","1710","1575","8.54","63.4","18.71","","","","",""
="3661","世芯-KY","市","11/04","","3445","-5","-0.14","1,719","5,999","3450","3470","3540","3440","2.9","43.4","7.94","","","","",""
="2301","光寶科","市","11/04","","170","-10","-5.56","33,297","5,781","180","180.5","181.5","170","6.39","27.1","4.61","","","","",""
="4967","十銓","市","11/04","","126.5","-14","-9.96","16,199","2,128","140.5","142","144","126.5","12.5","52.9","2.81","","","","",""
="2344","華邦電","市","11/04","","53.3","-3.3","-5.83","40,675","2,219","56.6","56.8","56.8","53","6.71","","2.74","","","","",""
="3711","日月光投控","市","11/04","","239","-7","-2.85","38,238","9,284","246","248.5","251.5","237","5.89","30.3","3.54","","","","",""
="2408","南亞科","市","11/04","","131.5","-5.5","-4.01","150,824","20,794","137","141","143","131","8.76","","2.63","","","","",""
="2882","國泰金","市","11/04","","64.6","+0.7","+1.1","12,223","789","63.9","64","64.8","64","1.25","11.2","1.37","","","","",""
="2891","中信金","市","11/04","","42.4","+0.35","+0.83","29,539","1,252","42.05","42.05","42.55","42.05","1.19","11.7","1.93","","","","",""
="2884","玉山金","市","11/04","","30.3","+0.15","+0.5","53,164","1,614","30.15","30.15","30.5","30.1","1.33","16.2","1.95","","","","",""
="2880","華南金","市","11/04","","29.6","+0.2","+0.68","8,385","248","29.4","29.4","29.65","29.35","1.02","17.4","1.9","","","","",""
="0050","元大台灣50","市","11/04","","63.95","-0.2","-0.31","82,568","5,301","64.15","64.5","64.85","63.85","1.56","","1","","","","",""
="00878","國泰永續高股息","市","11/04","","21.57","-0.12","-0.55","68,775","1,488","21.69","21.76","21.79","21.55","1.11","","0.9991","","","","",""
="006208","富邦台50","市","11/04","","149.75","-0.45","-0.3","5,161","778","150.2","151.35","152","149.7","1.53","","0.9983","","","","",""
