"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","244","-7.5","-2.98","11/04","+4,662","+1,880","-6,171","-9,783","+43,398","+92,422","+837,706","+960,979","+64,182","-462,945","-1,612,329","+398,756"
="2330","台積電","1505","-5","-0.33","11/04","+2,907","+6,435","-1,292","+3,004","-28,057","-85,558","-26,593","+290,442","-5,939","+790,247","-865,104","+36,491"
="2308","台達電","975","-8","-0.81","11/04","-3,314","-6,710","-11,148","-22,832","-16,813","-30,441","-58,059","+8,688","-8,011","-11,489","-124,828","-29,117"
="2454","聯發科","1315","+15","+1.15","11/04","+2,866","+542","-498","-1,956","-7,413","-11,519","-29,148","-12,991","-20,758","-43,008","-14,762","-27,811"
="3231","緯創","139","-4.5","-3.14","11/04","+2,404","-7,005","-15,391","+3,536","-32,035","-99,994","-1,736","+70,205","+5,368","-54,000","-44,446","+1,920"
="3491","昇達科","420.5","-10","-2.32","11/04","-341","-325","+173","+364","-79","+1,272","+3,894","-839","+1,408","+7,314","+8,386","+1,538"
="6669","緯穎","4300","-15","-0.35","11/04","+29","-15","-187","+15","-1,120","-145","-1,938","+5,554","-1,435","+826","","+648"
="3008","大立光","2215","-30","-1.34","11/04","-14","-30","+85","-174","-304","-814","-969","-2,957","-2,341","-5,321","-23,000","-1,075"
="3443","創意","1635","+55","+3.48","11/04","+244","+495","+584","+926","+2,011","+6,393","+7,186","+7,382","+7,833","-7,238","+29,430","+7,984"
="3661","世芯-KY","3445","-5","-0.14","11/04","+25","-335","-463","-81","-1,381","-1,199","-4,152","-2,051","+2,990","+889","+4,254","-5,700"
="2301","光寶科","170","-10","-5.56","11/04","-3,621","-2,926","-10,520","-23,701","-24,673","-41,329","-48,722","+16,864","+87,701","-370,235","-384,744","+63,060"
="4967","十銓","126.5","-14","-9.96","11/04","-2,408","-2,509","-2,770","-2,974","-2,491","+5,175","+5,275","+6,446","+5,100","+2,227","","+5,771"
="2344","華邦電","53.3","-3.3","-5.83","11/04","+3,455","+14,571","+8,254","+16,553","+54,908","+63,163","+437,636","+510,698","+391,162","-80,722","+311,581","+427,730"
="3711","日月光投控","239","-7","-2.85","11/04","+6,114","+9,982","+20,363","+32,012","+56,411","+103,308","+146,315","+122,996","+99,729","+195,064","","+78,835"
="2408","南亞科","131.5","-5.5","-4.01","11/04","-8,864","-12,181","-4,101","-15,637","-8,311","-6,403","+220,760","+263,766","+199,383","+12,626","-94,155","+193,135"
="2882","國泰金","64.6","+0.7","+1.1","11/04","+2,591","+1,467","-4,681","+461","+2,791","+23,458","+76,955","-990,723","-1,048,024","-297,166","-989,519","-1,099,896"
="2891","中信金","42.4","+0.35","+0.83","11/04","+3,757","+8,003","+4,112","+5,221","-9,879","-22,264","-66,830","-56,571","+260,870","-1,374,150","-1,577,758","+13,537"
="2884","玉山金","30.3","+0.15","+0.5","11/04","+11,527","+17,652","+14,017","-26,860","-190,649","-197,155","-151,695","+249,022","+538,165","+241,192","-2,513,183","+422,623"
="2880","華南金","29.6","+0.2","+0.68","11/04","+2,449","+3,382","+5,404","+9,793","+22,021","+37,765","+59,353","+138,965","+7,682","-535","+45,310","+146,260"
="0050","元大台灣50","63.95","-0.2","-0.31","11/04","-24,559","-81,313","-87,367","-117,637","-400,817","-845,383","-1,218,594","-1,745,721","-2,331,051","-2,155,956","-2,586,934","-2,244,939"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/04","-28,368","-38,881","-38,415","-27,639","-8,300","+38,862","+210,922","+216,215","-528,171","-1,580,341","","-186,678"
="006208","富邦台50","149.75","-0.45","-0.3","11/04","-778","-4,782","-4,625","-4,358","-7,880","-18,583","+7,448","+121,325","+17,049","-122,655","-189,879","+65,754"
