"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","244","-7.5","-2.98","90,514","11/04","268.3↗","-9.05","235.4↗","+3.68","202.4↗","+20.5","65.8↘","0.63↘","0.28↘"
="2330","台積電","1505","-5","-0.33","33,795","11/04","1530↘","-1.66","1464↗","+2.8","1398↗","+7.68","133↘","0.81↘","0.09↘"
="2308","台達電","975","-8","-0.81","17,518","11/04","1073↘","-9.16","1010↗","-3.48","947↗","+2.96","126↘","0.22↘","0.13↘"
="2454","聯發科","1315","+15","+1.15","6,296","11/04","1349↘","-2.54","1320↗","-0.42","1292↗","+1.8","57.6↘","0.4↗","0.04↘"
="3231","緯創","139","-4.5","-3.14","52,505","11/04","157.6↘","-11.8","145.7↘","-4.61","133.8↘","+3.86","23.8↗","0.22↘","0.16↗"
="3491","昇達科","420.5","-10","-2.32","902","11/04","474.7↗","-11.4","445↘","-5.51","415.3↘","+1.25","59.4↗","0.09↘","0.13↗"
="6669","緯穎","4300","-15","-0.35","879","11/04","4545↗","-5.39","3890↗","+10.5","3236↗","+32.9","1309↘","0.81↘","0.34↘"
="3008","大立光","2215","-30","-1.34","304","11/04","2478↘","-10.6","2286↘","-3.08","2093↘","+5.85","386↗","0.32↘","0.17↗"
="3443","創意","1635","+55","+3.48","8,101","11/04","1685↗","-2.97","1518↗","+7.71","1351↗","+21","334↘","0.85↗","0.22↘"
="3661","世芯-KY","3445","-5","-0.14","1,719","11/04","3595↗","-4.16","3276↗","+5.16","2957↘","+16.5","637↗","0.77↘","0.19↗"
="2301","光寶科","170","-10","-5.56","33,297","11/04","190.3↘","-10.7","172.8↘","-1.62","155.3↘","+9.49","35.1↗","0.42↘","0.2↗"
="4967","十銓","126.5","-14","-9.96","16,199","11/04","148↘","-14.5","123.8↗","+2.16","99.7↗","+26.9","48.3↘","0.56↘","0.39↘"
="2344","華邦電","53.3","-3.3","-5.83","40,675","11/04","58.14↗","-8.33","46.94↗","+13.6","35.73↗","+49.2","22.4↘","0.78↘","0.48↘"
="3711","日月光投控","239","-7","-2.85","38,238","11/04","247.9↗","-3.58","198.4↗","+20.4","149↗","+60.4","98.9↗","0.91↘","0.5↗"
="2408","南亞科","131.5","-5.5","-4.01","150,824","11/04","145↗","-9.29","109.2↗","+20.4","73.43↗","+79.1","71.5↘","0.81↘","0.66↘"
="2882","國泰金","64.6","+0.7","+1.1","12,223","11/04","66.55↗","-2.93","65.24↘","-0.99","63.94↘","+1.03","2.61↗","0.25↗","0.04↗"
="2891","中信金","42.4","+0.35","+0.83","29,539","11/04","42.78↘","-0.89","42.27↘","+0.3","41.76↗","+1.52","1.02↘","0.63↗","0.02↘"
="2884","玉山金","30.3","+0.15","+0.5","53,164","11/04","34.23↘","-11.5","31.74↘","-4.54","29.26↘","+3.56","4.97↗","0.21↗","0.16↗"
="2880","華南金","29.6","+0.2","+0.68","8,385","11/04","30↗","-1.32","29.49↗","+0.38","28.98↗","+2.14","1.02↗","0.61↗","0.03↗"
="0050","元大台灣50","63.95","-0.2","-0.31","82,568","11/04","65.33↘","-2.11","62.66↗","+2.06","59.99↗","+6.6","5.34↘","0.74↘","0.09↘"
="00878","國泰永續高股息","21.57","-0.12","-0.55","68,775","11/04","21.85↗","-1.3","21.5↗","+0.32","21.15↗","+1.99","0.7↘","0.6↘","0.03↘"
="006208","富邦台50","149.75","-0.45","-0.3","5,161","11/04","153.2↘","-2.24","146.5↗","+2.2","139.9↗","+7.06","13.3↘","0.74↘","0.09↘"
