"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","244","-7.5","-2.98","90,514","11/04","26.3↘","59.5↘","75.6↘","27.4↘","87.2↘","1日前",""
="2330","台積電","市","1505","-5","-0.33","33,795","11/04","77.8↘","78.2↘","77↗","80.5↘","77.9↘","即將交叉",""
="2308","台達電","市","975","-8","-0.81","17,518","11/04","0↘","19.2↘","39.3↘","-21.2↘","","",""
="2454","聯發科","市","1315","15","+1.15","6,296","11/04","53.8↗","37.7↗","34.7↗","43.7↗","34.1↗","今日",""
="3231","緯創","市","139","-4.5","-3.14","52,505","11/04","0↘","38.1↘","56.3↘","1.52↘","67.8↘","1日前",""
="3491","昇達科","櫃","420.5","-10","-2.32","902","11/04","5.77↘","20.5↘","27.9↘","5.67↘","","",""
="6669","緯穎","市","4300","-15","-0.35","879","11/04","80.8↘","85.3↘","85.4↘","85.1↘","85.4↘","今日",""
="3008","大立光","市","2215","-30","-1.34","304","11/04","17.4↘","24.6↘","25.3↘","23.1↘","25.4↘","今日","是"
="3443","創意","市","1635","55","+3.48","8,101","11/04","74.6↗","51.5↗","44.9↗","64.5↗","42.4↗","今日",""
="3661","世芯-KY","市","3445","-5","-0.14","1,719","11/04","81.7↘","77.2↗","66.4↗","98.9↘","","",""
="2301","光寶科","市","170","-10","-5.56","33,297","11/04","18.2↘","45.6↘","57.8↘","21.2↘","66.4↘","2日前",""
="4967","十銓","市","126.5","-14","-9.96","16,199","11/04","5.41↘","49.9↘","60.1↘","29.5↘","63.1↘","今日","是"
="2344","華邦電","市","53.3","-3.3","-5.83","40,675","11/04","69.6↘","82.1↘","85.2↘","75.9↘","86.3↘","今日","是"
="3711","日月光投控","市","239","-7","-2.85","38,238","11/04","79.7↘","89.1↘","90.9↘","85.5↘","91.3↘","今日",""
="2408","南亞科","市","131.5","-5.5","-4.01","150,824","11/04","67.8↘","80↘","86↘","68↘","91↘","2日前",""
="2882","國泰金","市","64.6","0.7","+1.1","12,223","11/04","36.7↗","20.5↗","18.4↗","24.6↗","18.1↗","今日",""
="2891","中信金","市","42.4","0.35","+0.83","29,539","11/04","44.8↗","25.7↗","21.4↗","34.3↗","20.1↗","今日",""
="2884","玉山金","市","30.3","0.15","+0.5","53,164","11/04","25.4↗","17.4↗","16.4↗","19.5↗","16.3↗","今日",""
="2880","華南金","市","29.6","0.2","+0.68","8,385","11/04","55.6↗","37.8↗","39.4↘","34.6↗","39.3↗","即將交叉",""
="0050","元大台灣50","市","63.95","-0.2","-0.31","82,568","11/04","71↘","81.9↘","86↘","73.6↘","88.1↘","1日前",""
="00878","國泰永續高股息","市","21.57","-0.12","-0.55","68,775","11/04","33.3↘","59.1↘","69.3↘","38.8↘","75.2↘","1日前",""
="006208","富邦台50","市","149.75","-0.45","-0.3","5,161","11/04","70↘","81.3↘","85.6↘","72.6↘","87.8↘","1日前",""
