"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","244","-7.5","-2.98","11/04","37.6↘","21.3↗","35.2↘","29.8↘","38.9↘","14.1↘","36.1↗","29.6↗","37.8↘","15.3↘","29.5↗","32.1↗"
="2330","台積電","1505","-5","-0.33","11/04","39.7↘","17.4↘","44.3↘","46.1↘","38.5↘","7.71↘","39.1↗","29.8↗","44.9↘","13.8↘","35.8↗","33.9↗"
="2308","台達電","975","-8","-0.81","11/04","27.9↘","17.2↗","53.2↘","54.1↘","48↘","4.49↗","62↗","44.4↗","54.9↘","8.07↘","38.9↗","33.4↗"
="2454","聯發科","1315","+15","+1.15","11/04","14.3↘","22.4↘","15.4↗","18.4↘","22.4↘","23.5↘","9.92↘","14.1↘","23.7↘","15.4↘","21.5↘","23.6↘"
="3231","緯創","139","-4.5","-3.14","11/04","28.9↘","23.7↗","35.1↘","39.1↘","32.3↘","18.8↗","18.6↗","13.8↗","30.3↘","12.3↘","36↗","42.3↘"
="3491","昇達科","420.5","-10","-2.32","11/04","18.5↘","20.9↗","21.5↘","32.2↘","25↘","16.8↘","24.8↘","22.2↘","28.3↘","10.7↘","38.4↗","38.2↗"
="6669","緯穎","4300","-15","-0.35","11/04","41.7↘","10.1↘","40↗","28.4↗","39.9↘","8.99↘","40↗","30.9↗","41.1↘","10.6↘","39.4↗","41↘"
="3008","大立光","2215","-30","-1.34","11/04","19.1↘","25.2↗","13.7↗","14.8↗","17.7↘","22.7↘","15.2↘","19.8↘","15.3↘","24.7↘","17.8↗","17.6↗"
="3443","創意","1635","+55","+3.48","11/04","39.9↗","18.8↘","30.6↗","27.4↗","30.1↘","15.8↘","20.2↗","16.2↗","26.4↘","16.3↘","17.4↗","23.9↘"
="3661","世芯-KY","3445","-5","-0.14","11/04","29.2↘","21.7↘","19.4↘","20.1↗","19.5↘","21.7↘","18.6↘","18.8↗","29.5↘","19.1↘","29.6↘","34.1↘"
="2301","光寶科","170","-10","-5.56","11/04","26.6↘","23.1↗","28.1↘","31↘","40.6↘","10.7↗","42.9↗","30.3↗","38.9↘","10.7↘","36.9↗","38.6↗"
="4967","十銓","126.5","-14","-9.96","11/04","35.7↘","17.4↗","57.3↘","51↗","44.2↘","6.01↘","35.9↗","27.5↗","41.2↘","12.1↘","36.3↗","40.3↗"
="2344","華邦電","53.3","-3.3","-5.83","11/04","46.2↘","11.3↗","64↘","62.5↘","53↘","3.43↘","47.4↗","32.8↗","48.4↘","10.8↘","24.1↗","19.7↗"
="3711","日月光投控","239","-7","-2.85","11/04","50.9↘","10.2↗","49.3↗","39.4↗","47.4↘","8.35↘","27.8↗","21.5↗","39.3↘","10.7↘","34.7↗","35.6↗"
="2408","南亞科","131.5","-5.5","-4.01","11/04","44.3↘","11.5↗","57.9↗","55.9↘","55.1↘","4.26↘","45.5↗","33.2↗","50.1↘","11.5↘","22.9↗","16.7↗"
="2882","國泰金","64.6","+0.7","+1.1","11/04","19.5↗","21.2↘","17.4↘","20.1↘","16.8↘","18.4↗","9.16↘","12.9↘","20.1↘","18.5↗","18.9↘","23↗"
="2891","中信金","42.4","+0.35","+0.83","11/04","25↗","20.9↘","8.56↗","11.7↘","18↘","20.3↘","12.2↘","15↘","26.6↘","13↘","36.4↘","34.1↗"
="2884","玉山金","30.3","+0.15","+0.5","11/04","12.6↗","37.8↘","43.5↗","31.7↗","16.9↘","33↘","16↗","18.2↗","23.9↘","23.4↘","12.5↘","12.6↘"
="2880","華南金","29.6","+0.2","+0.68","11/04","15.4↗","18.5↘","13.5↘","16.7↘","24.9↘","18.9↘","16.1↘","15.6↘","22.9↘","11.6↘","24.6↗","22.2↗"
="0050","元大台灣50","63.95","-0.2","-0.31","11/04","39.7↘","19.9↘","37.1↘","36.9↘","20.7↘","51.1↘","50.6↘","47.6↗","18.5↘","48.2↘","36↗","31.6↗"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/04","33.6↘","25.1↗","24.6↘","23.9↘","26.3↘","27.7↘","20.8↘","25.9↘","15.5↘","27.4↘","26.9↗","29.3↘"
="006208","富邦台50","149.75","-0.45","-0.3","11/04","41.8↘","18.7↘","44.3↘","45.3↘","43.3↘","9.2↘","36.8↗","28↗","44.3↘","16.3↘","31.7↗","31.4↗"
