"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","244","-7.5","-2.98","11/03","46.1↘","56.1↘","68.8↘","71.3↘","79.2↘","72.6↘","77.2↗","72.4↗","86.7↗","71.1↗"
="2330","台積電","1505","-5","-0.33","11/03","66.2↘","67.8↘","95.1↗","86.6↗","88.3↗","81.6↗","85.2↗","81.6↗","91.7↗","89.1↗"
="2308","台達電","975","-8","-0.81","11/03","33↘","49↘","74.7↘","80.5↘","90.7↘","85.3↘","91.3↗","86.7↗","97.2↗","91.8↗"
="2454","聯發科","1315","+15","+1.15","11/03","50.1↗","46.1↗","41.4↗","45.1↗","46.9↘","54.1↘","59.9↘","61.4↘","66.7↘","64.6↘"
="3231","緯創","139","-4.5","-3.14","11/03","33.3↘","45.8↘","53.4↘","57.4↘","67.6↘","65.2↘","79.7↗","77.1↗","91.6↗","80.9↗"
="3491","昇達科","420.5","-10","-2.32","11/03","34.8↘","41.8↘","45.4↘","53.6↘","63.3↘","64↘","78.7↘","77↘","85.1↗","81.5↗"
="6669","緯穎","4300","-15","-0.35","11/03","76.1↘","76.3↘","80.9↘","76.9↘","85.5↘","77.2↘","76.4↗","73.4↗","94.9↗",""
="3008","大立光","2215","-30","-1.34","11/03","39.6↘","40.9↘","37.4→","41.9→","38↗","44.9↗","40.7↘","44.6↘","45↘","51.5↘"
="3443","創意","1635","+55","+3.48","11/03","67.8↗","63.9↗","72.5↗","68.4↗","72.2↗","61.7↗","62.4↗","61.9↗","78.1↗","78.4↗"
="3661","世芯-KY","3445","-5","-0.14","11/03","65↘","55↘","49.8↘","51↘","55.2↘","56.6↘","66.5↘","67↘","93.9↗","93"
="2301","光寶科","170","-10","-5.56","11/03","38.2↘","47.9↘","61.7↘","67.2↘","89.5↗","78.7↗","85.8↗","80.5↗","85.8↗","77.7↗"
="4967","十銓","126.5","-14","-9.96","11/03","46.1↘","56.7↘","75.3↘","74.9↘","85.3↗","71.9↗","71.3↗","66.8↗","85.2↗",""
="2344","華邦電","53.3","-3.3","-5.83","11/03","60.5↘","68.1↘","90.6↘","87.8↘","90.5↗","81.1↗","83↗","73.1↗","70.2↗","61.8↗"
="3711","日月光投控","239","-7","-2.85","11/03","76.4↘","77.4↘","85↘","80.9↘","86.4↘","77.6↘","85.2↗","78.7↗","90.3↗",""
="2408","南亞科","131.5","-5.5","-4.01","11/03","68.6↘","74.1↘","90.7↘","85.2↘","91.3↗","81.4↗","80.4↗","69.8↗","67.4↗","63.2↗"
="2882","國泰金","64.6","+0.7","+1.1","11/03","44.5↗","45.2↗","48.9↗","50.9↗","55.4↘","57.5↘","62.9↘","60.6↘","58.9↘","47.7↘"
="2891","中信金","42.4","+0.35","+0.83","11/03","59.2↗","51.8↗","50.9↗","52.2↗","61.5↗","65.4↗","72.7↘","70.1↘","79.2↗","61.7↗"
="2884","玉山金","30.3","+0.15","+0.5","11/03","35.7↗","32.6↗","27.9↗","39↗","47.6↗","53.8↗","55.1↘","56.8↘","69.9↗","62.8↗"
="2880","華南金","29.6","+0.2","+0.68","11/03","56.4↗","54.8↗","59.4↗","59.2↗","67.6↗","66.1↗","77.5↘","71.2↘","71.2↗","42.2↗"
="0050","元大台灣50","63.95","-0.2","-0.31","11/03","58.1↘","65↘","56.8↘","33.4↘","24.8↘","29.2↘","29.6↗","37.4↗","40.1↘","46.1↘"
="00878","國泰永續高股息","21.57","-0.12","-0.55","11/03","44.7↘","55.7↘","62.9↘","57.5↘","56.9↘","54.1↘","59.6↗","63.3↗","73.5",""
="006208","富邦台50","149.75","-0.45","-0.3","11/03","58.1↘","65↘","84.8↘","82.7↘","84.2↘","78.8↘","84.6↗","79.7↗","88↗","86↗"
