"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","244","-7.5","-2.98","90,514","11/04","255↘","249.2↗","239.5↗","235.4↗","221↗","217.6↗","196.6↗","189.6↗","178.4↗","181.1↗"
="2330","台積電","1505","-5","-0.33","33,795","11/04","1505↗","1487↗","1478↗","1464↗","1326↗","1301↗","1220↗","1181↗","1106↗","1097↗"
="2308","台達電","975","-8","-0.81","17,518","11/04","1005↘","1022↘","1018↘","1010↗","876.7↗","839.7↗","694↗","641.6↗","535.9↗","514.1↗"
="2454","聯發科","1315","+15","+1.15","6,296","11/04","1307→","1315↘","1318→","1320↗","1371↘","1371↘","1356→","1347↘","1380↘","1372↗"
="3231","緯創","139","-4.5","-3.14","52,505","11/04","148.1↘","146.4↘","143.9↘","145.7↘","130.2↗","128.4↗","124.8↗","122.9↗","115.6↗","115.1↗"
="3491","昇達科","420.5","-10","-2.32","902","11/04","428.4↘","439↘","440.4↘","445↘","430.3↗","416.2↗","384.7↗","377.1↗","389.5↗","377↗"
="6669","緯穎","4300","-15","-0.35","879","11/04","4278↗","4176↗","4040↗","3890↗","3417↗","3381↗","3052↗","2943↗","2583↗","2542↗"
="3008","大立光","2215","-30","-1.34","304","11/04","2221↘","2241↗","2236↘","2286↘","2327↘","2337↘","2336↘","2327↘","2389↘","2406↘"
="3443","創意","1635","+55","+3.48","8,101","11/04","1531↗","1569↗","1540↗","1518↗","1400↗","1367↗","1302↗","1276↗","1242↗","1248↗"
="3661","世芯-KY","3445","-5","-0.14","1,719","11/04","3399↗","3285↗","3228↗","3276↗","3568↘","3643↘","3524↗","3404↗","3166↗","3089↗"
="2301","光寶科","170","-10","-5.56","33,297","11/04","181.1↘","178↗","173.3↗","172.8↘","159↗","154.8↗","139↗","133↗","120.3↗","117.4↗"
="4967","十銓","126.5","-14","-9.96","16,199","11/04","131.2↘","130.8↘","129.4↗","123.8↗","97.42↗","93.15↗","85.29↗","83.42↗","82.29↗","82.66↗"
="2344","華邦電","53.3","-3.3","-5.83","40,675","11/04","54.66↘","51.46↗","48.64↗","46.94↗","34.48↗","31.73↗","26.47↗","25.04↗","21.73↗","20.81↗"
="3711","日月光投控","239","-7","-2.85","38,238","11/04","235.7↗","216.8↗","206.9↗","198.4↗","176.3↗","171.7↗","162.6↗","159.2↗","157.5↗","157.5↗"
="2408","南亞科","131.5","-5.5","-4.01","150,824","11/04","133.7↗","124.4↗","115↗","109.2↗","80.13↗","74.36↗","63.91↗","61.01↗","50.78↗","47.83↗"
="2882","國泰金","64.6","+0.7","+1.1","12,223","11/04","64.38↘","64.95↘","65.18↘","65.24↘","64.82↗","64.66↗","64.28↘","64.13↗","63.6↘","64.35↘"
="2891","中信金","42.4","+0.35","+0.83","29,539","11/04","42.05↗","42.12→","42.24↗","42.27↘","42.42↘","42.51↘","42.74↗","42.59↗","41.24↗","40.79↗"
="2884","玉山金","30.3","+0.15","+0.5","53,164","11/04","30.04↗","30.82↘","31.42↘","31.74↘","32.83↘","32.99↘","33↘","32.56↗","30.96↗","30.35↗"
="2880","華南金","29.6","+0.2","+0.68","8,385","11/04","29.41↗","29.56↘","29.6↗","29.49↗","29.17↗","29.07↘","28.64↗","28.37↗","27.99↗","27.7↗"
="0050","元大台灣50","63.95","-0.2","-0.31","82,568","11/04","64.33↗","63.7↗","63.18↗","62.66↗","58.06↗","57.19↗","59.51↘","79.44↘","121.2↘","133.4↘"
="00878","國泰永續高股息","21.57","-0.12","-0.55","68,775","11/04","21.7↘","21.64↗","21.53↗","21.5↗","21.1↗","21.09↗","21.06↗","20.99↗","21.17↘","21.35↘"
="006208","富邦台50","149.75","-0.45","-0.3","5,161","11/04","150.7↗","149.2↗","147.9↗","146.5↗","135.7↗","133.7↗","126.3↗","123.1↗","116.6↗","116↗"
