"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","246.5","+7.5","+3.14","10/27","+571","-694","+868","-2,471","-10,926","-7,127","+22,134","+101,791","+3,449","+88,853","+212,969","+96,993"
="2330","台積電","1480","+30","+2.07","10/27","-301","-202","+531","+3,189","+6,214","+6,767","-3,867","-4,130","+29,204","+62,715","+134,721","+16,754"
="2308","台達電","1070","+60","+5.94","10/27","-49","+48","-226","-909","-2,133","-1,095","+1,898","+14,549","+9,550","+4,616","+42,688","+10,649"
="2454","聯發科","1335","+40","+3.09","10/27","+542","+268","+63","-470","-2,101","-3,503","-8,401","-63,381","-57,258","+12,367","+42,989","-55,689"
="3231","緯創","146.5","+3.5","+2.45","10/27","+746","+2,460","+3,320","+11,626","+13,914","+43,510","-13,358","+29,052","+78,087","+134,077","+104,924","+82,267"
="3491","昇達科","446.5","+1","+0.22","10/27","-299","-339","-344","-344","-778","-805","-330","-3,218","-382","+3,589","+246","-1,127"
="3008","大立光","2250","-20","-0.88","10/27","0","+9","+27","+6","-20","-88","-463","-645","-1,083","-182","-1,605","-2,395"
="3443","創意","1600","-15","-0.93","10/27","-312","-358","-400","-361","-68","+253","+30","-1,144","+645","-9,288","+5,280","-2,090"
="3661","世芯-KY","3065","-85","-2.7","10/27","-42","-64","-82","-63","-786","-1,210","-2,715","-229","+1,947","-4,679","+5,014","+595"
="2301","光寶科","182","+11.5","+6.74","10/27","+308","-353","-1,830","-6,686","-9,995","-13,563","+23,593","-1,030","-16,584","+49,635","+194,379","+749"
="4967","十銓","137","+9","+7.03","10/27","+57","+113","+169","+280","+422","+422","+422","+422","+422","+341","","+422"
="2344","華邦電","50.9","+4.6","+9.94","10/27","+63","+88","+150","+2,813","+5,927","+42,378","+174,858","+183,935","+174,500","+184,457","+185,919","+185,148"
="2882","國泰金","65.7","0","0","10/27","-716","-868","-2,182","-5,394","-8,492","-21,110","+33,944","+1,464,246","+1,484,559","+1,667,341","+1,743,695","+1,463,465"
="2891","中信金","42.65","+0.65","+1.55","10/27","-4,423","-8,456","-17,415","-26,743","-37,622","-60,151","+7,466","+814,010","+1,081,833","+2,738,839","+2,920,688","+998,301"
="2884","玉山金","30.3","-2.35","-7.2","10/27","-5,080","-6,106","-9,684","-11,471","-16,929","-26,354","-31,986","-16,567","-125,123","+288,581","+330,595","+66,926"
="2880","華南金","29.75","-0.1","-0.34","10/27","-926","-1,545","-2,886","-3,281","-2,208","+745","+34,381","-115,457","+202,866","+481,203","+518,937","-15,527"
="0050","元大台灣50","63.8","+1.45","+2.33","10/27","+4,300","+6,800","+6,800","+14,300","+19,505","+25,591","-20,838","+154","+34,451","+94,261","+134,322","+20,704"
="00878","國泰永續高股息","21.73","+0.22","+1.02","10/27","0","0","0","0","0","0","+6,610","+6,657","+14,500","+24,756","","+10,470"
="006208","富邦台50","149.35","+3.65","+2.51","10/27","-150","-150","-150","-150","-150","+39","-434","+5,361","+9,140","+10,051","+10,051","+8,741"
