"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","246.5","+7.5","+3.14","10/27","+15,749","+12,644","+24,790","+71,510","+101,175","+126,760","+870,557","+989,418","+62,810","-526,228","-1,594,874","+388,301"
="2330","台積電","1480","+30","+2.07","10/27","+979","-7,512","-22,464","-16,941","-56,626","-63,356","+6,190","+351,348","-11,588","+775,679","-781,982","+41,784"
="2308","台達電","1070","+60","+5.94","10/27","+5,197","+4,936","+5,157","+7,045","+2,238","-1,253","-28,176","+37,044","+16,949","+12,720","-105,115","-5,193"
="2454","聯發科","1335","+40","+3.09","10/27","+772","-2,728","-3,575","-4,397","-6,698","-17,683","-32,472","-16,232","-19,549","-40,457","+4,981","-24,610"
="3231","緯創","146.5","+3.5","+2.45","10/27","-2,428","-11,265","-12,295","-45,622","-95,271","-53,879","+42,572","+103,216","+16,916","-61,902","-58,873","+1,225"
="3491","昇達科","446.5","+1","+0.22","10/27","-30","-238","-523","+493","+679","+2,265","+3,587","+62","+1,053","+6,305","+8,732","+1,642"
="3008","大立光","2250","-20","-0.88","10/27","-142","-192","+85","-83","-1,095","-16","-764","-2,381","-2,457","-4,572","-20,802","-703"
="3443","創意","1600","-15","-0.93","10/27","-773","-507","+155","+1,072","+2,657","+7,232","+6,664","+5,681","+6,839","-8,880","+28,245","+6,941"
="3661","世芯-KY","3065","-85","-2.7","10/27","-222","-149","-634","-874","-1,534","-1,542","-4,234","-1,559","+4,416","+673","+3,572","-5,447"
="2301","光寶科","182","+11.5","+6.74","10/27","+3,508","+6,619","+7,034","+8,950","+4,535","-18,107","-48,358","+44,509","+111,158","-341,790","-347,293","+92,686"
="4967","十銓","137","+9","+7.03","10/27","-90","+52","+83","+1,032","+6,837","+9,514","+9,449","+9,430","+8,220","+5,578","","+8,943"
="2344","華邦電","50.9","+4.6","+9.94","10/27","+27,651","+41,996","+53,057","+95,073","+103,352","+67,322","+408,652","+526,901","+395,854","-87,940","+323,143","+418,944"
="2882","國泰金","65.7","0","0","10/27","+1,789","+3,386","+3,942","+12,613","+8,409","+36,604","+68,693","-997,598","-1,027,218","-294,658","-979,618","-1,090,446"
="2891","中信金","42.65","+0.65","+1.55","10/27","+13,393","+11,179","+6,906","+5,509","-10,626","-17,151","-32,131","+113,412","+236,356","-1,374,175","-1,644,834","+33,308"
="2884","玉山金","30.3","-2.35","-7.2","10/27","-111,900","-105,172","-98,386","-92,067","-104,242","-87,935","-11,660","+370,231","+603,330","+314,150","-2,402,056","+521,633"
="2880","華南金","29.75","-0.1","-0.34","10/27","+1,077","+4,509","+9,947","+11,593","+22,424","+30,682","+49,608","+153,206","-21,956","-14,836","+49,852","+135,264"
="0050","元大台灣50","63.8","+1.45","+2.33","10/27","-5,805","-111,552","-172,565","-255,300","-560,343","-698,428","-1,069,970","-1,573,991","-2,172,655","-2,001,299","-2,427,195","-2,080,455"
="00878","國泰永續高股息","21.73","+0.22","+1.02","10/27","+9,719","+9,548","+10,253","+32,324","+14,846","+106,701","+233,508","+192,893","-541,518","-1,582,219","","-158,356"
="006208","富邦台50","149.35","+3.65","+2.51","10/27","-223","-1,650","-3,100","-3,367","-13,853","-8,424","+27,943","+128,157","-4,927","-117,374","-184,772","+70,860"
