"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/27","247.6↗","-0.45","225.8↗","+9.19","203.9↘","+20.9","43.7↗","0.97↗","0.19↗"
="2330","台積電","1480","+30","+2.07","36,024","10/27","1535↗","-3.6","1412↗","+4.83","1288↗","+14.9","247↗","0.78↗","0.17↘"
="2308","台達電","1070","+60","+5.94","14,666","10/27","1100↗","-2.73","967.4↗","+10.6","834.6↗","+28.2","265↗","0.89↗","0.27↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/27","1358↘","-1.69","1321↘","+1.04","1285↗","+3.93","73.5↘","0.69↗","0.06↘"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/27","159.4↘","-8.12","141.8↗","+3.28","124.3↗","+17.9","35.2↘","0.63↗","0.25↘"
="3491","昇達科","446.5","+1","+0.22","1,361","10/27","471.7↘","-5.33","451.1↘","-1.01","430.5↘","+3.72","41.2↘","0.39↗","0.09↘"
="3008","大立光","2250","-20","-0.88","558","10/27","2499↘","-9.95","2323↘","-3.13","2147↘","+4.8","352↗","0.29↘","0.15↗"
="3443","創意","1600","-15","-0.93","4,873","10/27","1695↗","-5.58","1458↗","+9.78","1220↗","+31.1","474↗","0.8↘","0.33↘"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/27","3574↘","-14.2","3283↘","-6.64","2992↗","+2.46","583↘","0.13↘","0.18↘"
="2301","光寶科","182","+11.5","+6.74","63,266","10/27","179.1↘","+1.63","169.2↘","+7.53","159.4↗","+14.2","19.7↘","1.15↗","0.12↘"
="4967","十銓","137","+9","+7.03","7,062","10/27","148.3↗","-7.63","110.7↗","+23.8","72.99↗","+87.7","75.3↗","0.85↗","0.68↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/27","51.07↗","-0.34","40.76↗","+24.9","30.45↘","+67.2","20.6↗","0.99↗","0.51↗"
="2882","國泰金","65.7","0","0","17,331","10/27","66.34↘","-0.96","65.54↘","+0.24","64.75↗","+1.46","1.58↘","0.6↗","0.02↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/27","43.13↘","-1.12","42.52↘","+0.3","41.91↗","+1.76","1.22↘","0.6↗","0.03↘"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/27","33.94↗","-10.7","32.68↘","-7.3","31.43↘","-3.59","2.51↗","-0.45↘","0.08↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/27","29.99↗","-0.8","29.48↗","+0.92","28.96↗","+2.71","1.03↗","0.77↘","0.03↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/27","64.85↗","-1.61","60.86↗","+4.84","56.87↗","+12.2","7.98↗","0.87↗","0.13↗"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/27","21.66↗","+0.34","21.38↗","+1.61","21.11↘","+2.92","0.54↗","1.13↗","0.03↗"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/27","151.7↗","-1.58","142.1↗","+5.09","132.5↗","+12.7","19.2↗","0.88↗","0.14↗"
