"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","246.5","+7.5","+3.14","10/27","75.6↗","69.2↗","87.3↗","80.8↗","82.6↗","73.6↗","76.5↗","71.9↗","86.3↗","70.6↗"
="2330","台積電","1480","+30","+2.07","10/27","64.4↗","66.9↗","94.4↗","85.7↗","87.7↗","81↗","84.7↗","81.1↗","91.5↗","88.9↗"
="2308","台達電","1070","+60","+5.94","10/27","77.1↗","74.3↗","92.1↗","89.7↗","93.9↗","88↗","92.3↗","87.9↗","97.4↗","92.5↗"
="2454","聯發科","1335","+40","+3.09","10/27","53.9↗","48.2↗","46.4↗","47.5↗","52.2↗","56.1↗","62.2↗","62.6↗","68.2↘","65.5↘"
="3231","緯創","146.5","+3.5","+2.45","10/27","65.8↗","63.5↗","66.7↗","65.3↗","74.9↗","68.4↗","80.5↗","77.6↗","91.9↗","81.3↗"
="3491","昇達科","446.5","+1","+0.22","10/27","45.7↗","50.6↗","63.1↗","61.2↗","68.7↘","66.8↘","84.4↘","80.4↘","85.7↗","82.1↗"
="3008","大立光","2250","-20","-0.88","10/27","41.9↘","42.7↘","40.4↘","43.7↘","36.5↘","44.8↘","40.9↘","44.7↘","45.1↘","51.5↘"
="3443","創意","1600","-15","-0.93","10/27","63.4↘","65.9↘","76.7↘","70.1↘","72.5↗","62.1↗","62.9↗","62.2↗","78.4↗","78.6↗"
="3661","世芯-KY","3065","-85","-2.7","10/27","34↘","36.6↘","34.1↘","43.6↘","47.6↘","52.2↘","57.9↘","61.7↘","85.4↘","86.4"
="2301","光寶科","182","+11.5","+6.74","10/27","78↗","67.1↗","79.8↗","77.3↗","89.8↗","79↗","86↗","80.8↗","86↗","77.9↗"
="4967","十銓","137","+9","+7.03","10/27","87.9↗","84.4↗","93.8↗","86↗","84.5↗","71.1↗","70.6↗","66.3↗","84.9↗",""
="2344","華邦電","50.9","+4.6","+9.94","10/27","81.6↗","77.4↗","94.1↗","89.3↗","89↗","78.9↗","80.7↗","70.8↗","68.1↗","60.1↗"
="2882","國泰金","65.7","0","0","10/27","53.1→","53.3→","57.2→","54.1→","63↗","61.2↗","68.3↗","62.9↗","60.5↘","48.3↘"
="2891","中信金","42.65","+0.65","+1.55","10/27","60.6↗","53.2↗","53↗","53.5↗","66.7↘","68.1↘","75.9↘","71.5↘","79.6↗","62.1↗"
="2884","玉山金","30.3","-2.35","-7.2","10/27","14.9↘","23.4↘","20.9↘","37.1↘","47.7↘","54.5↘","55.8↘","57.2↘","70.2↗","62.9↗"
="2880","華南金","29.75","-0.1","-0.34","10/27","60.1↘","61↘","66.8↘","62.4↘","72.4↗","68.6↗","80.2↗","72.6↗","71.8↗","42.5↗"
="0050","元大台灣50","63.8","+1.45","+2.33","10/27","70.9↗","71.3↗","57.9↗","32.7↗","24.3↗","28.9↗","29.5↗","37.3↗","40↘","46.1↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","10/27","81.3↗","71.7↗","73↗","61.2↗","57.7↗","54.4↗","59.9↗","63.5↗","73.9",""
="006208","富邦台50","149.35","+3.65","+2.51","10/27","71.5↗","71.4↗","95.6↗","87.3↗","86.8↗","79.9↗","84.4↗","79.5↗","87.9↗","85.9↗"
