"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","248","1","+0.4","65,794","11/06","39.3↗","47.5↘","60.9↘","20.7↗","","",""
="2330","台積電","市","1465","5","+0.34","29,955","11/06","14.3↘","45.7↘","63.1↘","10.9↘","76.5↘","1日前",""
="2308","台達電","市","978","11","+1.14","10,520","11/06","31↗","24.1↗","30.1↘","12.2↗","27.3↗","即將交叉",""
="2454","聯發科","市","1290","-40","-3.01","8,025","11/06","16.7↘","40.8↘","40.8↗","40.9↘","40.8↘","即將交叉","是"
="3231","緯創","市","142","4.5","+3.27","43,113","11/06","40.8↗","35.5↗","44.2↘","18.2↗","38.8↗","即將交叉",""
="3491","昇達科","櫃","435","13","+3.08","1,299","11/06","58.9↗","34.7↗","29↗","46.1↗","27.2↗","今日",""
="6669","緯穎","市","4320","155","+3.72","1,547","11/06","85.9↗","76.8↗","79.6↘","71.2↗","78.9↗","即將交叉","是"
="3008","大立光","市","2210","10","+0.45","427","11/06","44.4↗","32.7↗","28.1↗","41.9↗","25.5↗","1日前","是"
="3443","創意","市","1735","130","+8.1","9,030","11/06","91.4↗","67.7↗","54.9↗","93.1↗","42.4↗","2日前",""
="3661","世芯-KY","市","3670","330","+9.88","4,297","11/06","100↗","81.3↗","72.6↗","98.7↗","","",""
="2301","光寶科","市","169","0","0","16,548","11/06","15.2→","28.7↘","43.1↘","-0.22↘","","",""
="4967","十銓","市","138","4","+2.99","23,145","11/06","76.9↗","61.5↗","59.2↗","66.2↗","58.7↗","今日","是"
="2344","華邦電","市","59","3","+5.36","40,871","11/06","100↗","89.4↗","86.4↗","95.5↗","85.2↗","今日","是"
="3711","日月光投控","市","234","-1","-0.43","25,136","11/06","67.3↘","78.3↘","85.1↘","64.6↘","91.3↘","2日前",""
="2408","南亞科","市","148","10","+7.25","276,959","11/06","96.6↗","85.7↗","84.7↗","87.9↗","84.5↗","今日",""
="2882","國泰金","市","64.7","0.6","+0.94","15,438","11/06","40↗","26.9↗","21.7↗","37.3↗","18.1↗","2日前",""
="2891","中信金","市","42.55","0.3","+0.71","33,165","11/06","55.2↗","37.5↗","28.3↗","55.7↗","20.1↗","2日前",""
="2884","玉山金","市","29.95","-0.35","-1.16","80,792","11/06","23.1↘","21.1↗","18.8↗","25.7↗","16.3↗","2日前",""
="2880","華南金","市","29.6","-0.1","-0.34","8,852","11/06","55.6↘","50.1↗","44.8↗","60.9↗","40↗","1日前",""
="0050","元大台灣50","市","63.3","0.15","+0.24","68,680","11/06","39.2↘","59.5↘","73.5↘","31.4↘","","",""
="00878","國泰永續高股息","市","21.55","0.09","+0.42","44,018","11/06","53.1↗","52.7↗","60↘","38↗","53.1↗","即將交叉",""
="006208","富邦台50","市","148.4","0.85","+0.58","8,126","11/06","40↘","58.5↘","72.6↘","30.3↘","","",""
