"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","248","+1","+0.4","11/06","-819","-746","-515","-6,005","-5,362","-17,177","+13,121","+88,853","-8,631","+92,257","+209,236","+92,325"
="2330","台積電","1465","+5","+0.34","11/06","+459","+997","+1,936","+2,725","+2,785","+9,159","+2,555","-1,737","+28,097","+64,683","+136,221","+19,741"
="2308","台達電","978","+11","+1.14","11/06","+444","+545","+618","-1,616","-2,230","-4,376","-2,276","+11,958","+7,395","+2,377","+39,154","+8,372"
="2454","聯發科","1290","-40","-3.01","11/06","+36","+105","+90","-238","-420","-2,865","-7,455","-59,882","-60,624","+9,251","+41,445","-56,376"
="3231","緯創","142","+4.5","+3.27","11/06","-929","-8,029","-13,833","-27,592","-22,011","-10,249","-28,937","+2,435","+26,854","+109,994","+80,726","+57,796"
="3491","昇達科","435","+13","+3.08","11/06","+9","+9","+9","-25","-1,029","-1,454","-1,034","-2,729","-1,323","+2,899","-369","-1,817"
="6669","緯穎","4320","+155","+3.72","11/06","+44","+112","+216","+284","+464","+768","-304","+273","+3,625","+1,552","","-1,508"
="3008","大立光","2210","+10","+0.45","11/06","+5","+26","+27","+27","+37","0","-466","-495","-1,080","-286","-1,404","-2,366"
="3443","創意","1735","+130","+8.1","11/06","+154","+175","+591","+1,080","-76","+357","+442","-937","+257","-10,274","+5,561","-1,807"
="3661","世芯-KY","3670","+330","+9.88","11/06","+287","+208","+324","+803","+773","+33","-1,867","+557","+2,485","-5,156","+5,851","+1,432"
="2301","光寶科","169","0","0","11/06","-240","-1,314","-2,214","-4,175","-4,579","-15,150","-3,208","-5,901","-24,146","+42,874","+190,225","-3,477"
="4967","十銓","138","+4","+2.99","11/06","0","0","-1","-2","+111","+420","+420","+420","+420","+338","","+420"
="2344","華邦電","59","+3","+5.36","11/06","-2,320","-2,281","-4,575","-10,112","-12,473","-4,857","+162,423","+173,104","+166,389","+172,034","+173,352","+172,587"
="3711","日月光投控","234","-1","-0.43","11/06","-844","+163","+1,386","+1,550","+903","+347","-5,190","-99,547","-153,229","+162,811","","-111,127"
="2408","南亞科","148","+10","+7.25","11/06","+1,532","+3,088","+3,163","-2,730","+181","+42,649","+66,866","+55,566","+74,923","-16,510","+60,327","+77,271"
="2882","國泰金","64.7","+0.6","+0.94","11/06","+493","+776","+1,225","+756","-2,245","-15,207","+11,084","+1,460,551","+1,467,361","+1,664,379","+1,741,824","+1,462,087"
="2891","中信金","42.55","+0.3","+0.71","11/06","-3,360","-2,661","-4,133","-3,189","-16,587","-57,823","-2,925","+830,862","+1,035,045","+2,726,862","+2,910,188","+990,170"
="2884","玉山金","29.95","-0.35","-1.16","11/06","+1,115","+1,115","+697","+1,301","-12,430","-23,867","-45,330","-21,703","-132,239","+282,041","+324,902","+60,602"
="2880","華南金","29.6","-0.1","-0.34","11/06","+414","+1,641","+1,838","+1,766","+55","-690","+32,579","-110,778","+192,996","+482,781","+520,430","-13,927"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","-9,800","-8,636","-8,926","-10,678","+922","+15,677","-27,797","-10,252","+26,907","+88,056","+128,908","+14,826"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","0","0","0","0","+560","+560","+7,170","+7,217","+14,060","+25,048","","+11,030"
="006208","富邦台50","148.4","+0.85","+0.58","11/06","0","+202","+202","+2","-243","-54","-527","+4,450","+9,047","+9,958","+9,958","+8,648"
