"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","248","+1","+0.4","11/06","2,510","1,700","26","+784","59,669","1.71","0.43","40","123","4","+79","3,524","0.1","0.03","12","0.02","5.91"
="2330","台積電","1465","+5","+0.34","11/06","666","545","13","+108","18,798","0.29","0.07","1","4","2","+1","317","0","0","2","0.01","1.69"
="2308","台達電","978","+11","+1.14","11/06","415","235","7","+173","7,027","1.08","0.27","22","44","0","+22","851","0.13","0.03","1","0.01","12.1"
="2454","聯發科","1290","-40","-3.01","11/06","344","64","4","+276","6,283","1.57","0.39","5","0","0","-5","158","0.04","0.01","0","0","2.51"
="3231","緯創","142","+4.5","+3.27","11/06","1,705","2,084","20","-399","54,749","6.89","1.72","27","163","0","+136","1,916","0.24","0.06","82","0.19","3.5"
="3491","昇達科","435","+13","+3.08","11/06","46","165","0","-119","4,147","24.8","6.2","2","27","87","-62","147","0.87","0.22","3","0.23","3.54"
="6669","緯穎","4320","+155","+3.72","11/06","158","93","0","+65","1,545","3.33","0.83","3","3","0","0","112","0.24","0.06","0","0","7.25"
="3008","大立光","2210","+10","+0.45","11/06","9","4","0","+5","846","2.54","0.63","0","0","0","0","8","0.02","0.01","0","0","0.95"
="3443","創意","1735","+130","+8.1","11/06","1,276","827","5","+444","4,743","14.2","3.54","0","49","1","+48","188","0.56","0.14","4","0.04","3.96"
="3661","世芯-KY","3670","+330","+9.88","11/06","499","340","5","+154","5,370","27.3","6.64","0","73","0","+73","135","0.69","0.17","0","0","2.51"
="2301","光寶科","169","0","0","11/06","591","637","4","-50","24,897","4.3","1.07","46","16","2","-32","471","0.08","0.02","0","0","1.89"
="4967","十銓","138","+4","+2.99","11/06","1,455","1,007","2","+446","7,108","33.5","8.37","30","85","43","+12","905","4.26","1.07","27","0.12","12.7"
="2344","華邦電","59","+3","+5.36","11/06","1,279","4,684","11","-3,416","111,388","9.9","2.48","1,142","245","484","-1,381","23,669","2.1","0.53","3,064","7.5","21.2"
="3711","日月光投控","234","-1","-0.43","11/06","754","321","0","+433","6,184","0.56","0.14","40","6","10","-44","808","0.07","0.02","5","0.02","13.1"
="2408","南亞科","148","+10","+7.25","11/06","21,031","14,135","219","+6,677","129,817","16.8","4.19","1,215","2,885","8","+1,662","21,038","2.72","0.68","403","0.15","16.2"
="2882","國泰金","64.7","+0.6","+0.94","11/06","35","99","0","-64","6,094","0.17","0.04","0","8","0","+8","469","0.01","0","0","0","7.7"
="2891","中信金","42.55","+0.3","+0.71","11/06","136","374","0","-238","5,010","0.1","0.03","0","5","0","+5","128","0","0","0","0","2.55"
="2884","玉山金","29.95","-0.35","-1.16","11/06","730","511","156","+63","16,398","0.41","0.1","33","80","10","+37","122","0","0","3","0","0.74"
="2880","華南金","29.6","-0.1","-0.34","11/06","10","3","0","+7","455","0.01","0","0","1","0","+1","47","0","0","0","0","10.3"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","427","444","0","-17","8,743","0.25","0.06","30","23","0","-7","1,665","0.05","0.01","4","0.01","19"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","97","182","7","-92","5,355","0.1","0.03","0","1","0","+1","30","0","0","0","0","0.56"
="006208","富邦台50","148.4","+0.85","+0.58","11/06","24","20","10","-6","339","0.07","0.02","2","0","0","-2","10","0","0","0","0","2.95"
