"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","248","+1","+0.4","65,794","11/06","270.5↗","-8.33","237.4↗","+4.49","204.2↗","+21.5","66.4↗","0.66↘","0.28↗"
="2330","台積電","1465","+5","+0.34","29,955","11/06","1526↘","-4.02","1468↗","-0.24","1411↗","+3.85","116↘","0.47↗","0.08↘"
="2308","台達電","978","+11","+1.14","10,520","11/06","1070↗","-8.63","1011↘","-3.26","951.6↘","+2.78","119↗","0.22↗","0.12↗"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","1351↗","-4.53","1319↘","-2.22","1287↘","+0.21","64↗","0.04↘","0.05↗"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","155↘","-8.37","144.2↘","-1.54","133.5↗","+6.39","21.5↘","0.4↗","0.15↘"
="3491","昇達科","435","+13","+3.08","1,299","11/06","473.3↘","-8.1","442.5↘","-1.69","411.7↘","+5.67","61.7↘","0.38↗","0.14↗"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","4592↗","-5.93","3966↗","+8.93","3339↗","+29.4","1253↘","0.78↗","0.32↘"
="3008","大立光","2210","+10","+0.45","427","11/06","2419↘","-8.63","2261↘","-2.26","2103↗","+5.07","315↘","0.34↗","0.14↘"
="3443","創意","1735","+130","+8.1","9,030","11/06","1714↗","+1.23","1547↗","+12.2","1380↗","+25.7","334↗","1.06↗","0.22↗"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","3643↗","+0.75","3288↗","+11.6","2933↘","+25.1","709↗","1.04↗","0.22↗"
="2301","光寶科","169","0","0","16,548","11/06","190.1↘","-11.1","172.4↘","-2","154.8↘","+9.2","35.4↗","0.4↗","0.21↗"
="4967","十銓","138","+4","+2.99","23,145","11/06","142.7↘","-3.28","128↗","+7.81","113.3↗","+21.8","29.4↘","0.84↗","0.23↘"
="2344","華邦電","59","+3","+5.36","40,871","11/06","60.57↗","-2.59","48.61↗","+21.4","36.66↗","+61","23.9↗","0.93↗","0.49↗"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","254.5↗","-8.05","204.9↗","+14.2","155.4↗","+50.6","99.1↗","0.79↘","0.48↘"
="2408","南亞科","148","+10","+7.25","276,959","11/06","152.5↗","-2.93","114.8↗","+28.9","77.11↗","+91.9","75.4↗","0.94↗","0.66↗"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","66.59↘","-2.83","65.18↘","-0.73","63.76↘","+1.47","2.83↗","0.33↗","0.04↗"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","42.81↗","-0.6","42.28↗","+0.63","41.76↗","+1.89","1.05↗","0.76↗","0.02↗"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","34.07↘","-12.1","31.49↘","-4.89","28.91↘","+3.59","5.16↗","0.2↘","0.16↗"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","29.97↘","-1.23","29.55↗","+0.18","29.13↗","+1.63","0.84↘","0.56↘","0.03↘"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","65.24↗","-2.97","62.9↗","+0.64","60.55↗","+4.54","4.69↘","0.59↗","0.07↘"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","21.85↗","-1.38","21.52↗","+0.16","21.18↗","+1.75","0.67↘","0.55↗","0.03↘"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","153↗","-3.03","147.1↗","+0.88","141.2↗","+5.11","11.8↘","0.61↗","0.08↘"
