"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","248","+1","+0.4","65,794","11/06","24,763","23,650","+1,113","637","1,456","-819","1,189","1,612","-423","26,590","26,719","-129","＋－－"
="2330","台積電","1465","+5","+0.34","29,955","11/06","16,272","18,368","-2,097","509","50","+459","1,356","273","+1,083","18,137","18,691","-554","－＋＋"
="2308","台達電","978","+11","+1.14","10,520","11/06","4,144","5,388","-1,244","453","9","+444","457","451","+6","5,054","5,849","-795","－＋＋"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","3,177","6,393","-3,216","78","41","+36","224","109","+116","3,479","6,543","-3,064","－＋＋"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","20,463","17,567","+2,897","527","1,456","-929","1,097","712","+385","22,088","19,735","+2,352","＋－＋"
="3491","昇達科","435","+13","+3.08","1,299","11/06","662","334","+328","9","0","+9","143","32","+112","814","366","+449","＋＋＋"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","552","707","-155","49","5","+44","67","26","+40","668","739","-71","－＋＋"
="3008","大立光","2210","+10","+0.45","427","11/06","258","330","-72","5","0","+5","9","3","+7","273","333","-60","－＋＋"
="3443","創意","1735","+130","+8.1","9,030","11/06","2,553","2,326","+228","157","3","+154","304","193","+111","3,015","2,522","+493","＋＋＋"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","1,485","939","+546","287","0","+287","274","218","+55","2,046","1,157","+889","＋＋＋"
="2301","光寶科","169","0","0","16,548","11/06","7,304","9,406","-2,102","28","268","-240","236","353","-116","7,569","10,027","-2,458","－－－"
="4967","十銓","138","+4","+2.99","23,145","11/06","3,954","5,081","-1,127","0","0","0","92","81","+11","4,046","5,162","-1,117","－・＋"
="2344","華邦電","59","+3","+5.36","40,871","11/06","12,980","8,079","+4,901","80","2,400","-2,320","6,951","2,683","+4,268","20,011","13,162","+6,849","＋－＋"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","15,509","12,869","+2,640","339","1,183","-844","650","337","+313","16,498","14,389","+2,109","＋－＋"
="2408","南亞科","148","+10","+7.25","276,959","11/06","70,614","67,372","+3,242","1,546","14","+1,532","4,408","2,149","+2,259","76,568","69,535","+7,034","＋＋＋"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","12,130","10,503","+1,626","621","128","+493","586","455","+131","13,336","11,086","+2,250","＋＋＋"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","29,632","14,370","+15,262","265","3,625","-3,360","659","1,173","-515","30,555","19,169","+11,387","＋－－"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","23,266","65,241","-41,975","1,503","388","+1,115","1,020","1,473","-453","25,789","67,102","-41,312","－＋－"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","6,478","6,359","+120","450","36","+414","333","330","+3","7,261","6,724","+537","＋＋＋"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","1,045","19,045","-18,000","0","9,800","-9,800","11,115","13,897","-2,782","12,160","42,741","-30,581","－－－"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","8,014","4,554","+3,460","0","0","0","7,529","7,241","+287","15,543","11,795","+3,747","＋・＋"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","1,206","4,282","-3,076","0","0","0","3,030","805","+2,225","4,236","5,087","-851","－・＋"
