"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","248","+1","+0.4","65,794","11/06","+2.29","-7.51","-4.47","-9.27","+2.83","+44.9","+46.1","+42.4","-11","+91.5"
="2330","台積電","1465","+5","+0.34","29,955","11/06","+0.32","-15.2","-15","-11.9","-17.2","-6.49","-38.3","-85.2","-31.4","-27.5"
="2308","台達電","978","+11","+1.14","10,520","11/06","+2.65","-3.84","-3.41","-6.99","-18.4","-16.7","+25.5","+401","+192","+112"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","-3.07","-3.66","-13.2","-7.6","-10.7","-11.2","+51.9","+23.4","-32.8",""
="3231","緯創","142","+4.5","+3.27","43,113","11/06","+7.64","+12.2","+13.3","-0.31","+8.8","-26.1","+16.8","-63.4","-12.3","+9.24"
="3491","昇達科","435","+13","+3.08","1,299","11/06","-29.7","-35.8","-40","-23.8","-69.1","-3.29","+48.5","-47.1","-39","-38.2"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","0","-2.61","-3.45","-7.44","-1.75","+33.3","+86.7","-15.8","+89.8","-24.8"
="3008","大立光","2210","+10","+0.45","427","11/06","0","-11.1","-11.1","-11.1","-20","-42.9","-42.9","-11.1","+300","-57.9"
="3443","創意","1735","+130","+8.1","9,030","11/06","+34.3","+18.2","+56.7","+89.9","-12.6","+97.9","+114","-5.53","+55.4","-8.29"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","+118","+80","+73.1","+95.7","+98.5","+165","-68.8","-15.1","-24.6","-66"
="2301","光寶科","169","0","0","16,548","11/06","-6.36","+0.86","+0.86","-5.42","+1.51","-34","-29.6","-26.1","+218","+317"
="4967","十銓","138","+4","+2.99","23,145","11/06","+1.34","-11.5","-2.69","+5.48","-23.5","+337","+863","+376","-36.9","-16"
="2344","華邦電","59","+3","+5.36","40,871","11/06","-5.51","-11.5","-27","-19.4","-21.5","-34.4","+594","+1,102","+4,559","+2,484"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","-5.16","-23.7","-31.4","-4.49","+29.3","+181","+302","+662","+325","+40.8"
="2408","南亞科","148","+10","+7.25","276,959","11/06","+8.58","+10.9","+8.75","+5.11","+16.7","+81.8","+192","+39.4","+2,444","+445"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","+1.74","+0.43","+1.3","-2.7","-28.9","-64.7","-62.2","-76.7","-65.7","-61.6"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","+4.07","-2.29","-8.57","-6.57","+28","-22.9","-75.6","-89.8","-50.6","-64.1"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","+43.5","+43.5","+54.4","+45.2","-41.3","-42.7","-53.4","+40.2","-86.5","-28.2"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","+2.17","+2.17","+2.17","0","-7.84","-4.08","","-35.6","-55.7","-26.6"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","-0.42","-9.17","-8.01","-7.81","-1.01","+10.3","+286","+138","+653","+685"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","+3.45","-11.8","+7.14","0","-23.1","-82.5","-50","-75.8","-6.25","-43.4"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","-16.7","-16.7","-28.6","-23.1","-56.5","-68.8","-54.5","-50","-83.1","-28.6"
